player,nationality,position,squad,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Charlie Austin,eng ENG,FW,West Brom,31-228,1989,1.5,4,3,2,1,1,1,2,50.0,1,23,7,30.4,5,8,10,0,0,0,0,2,6,3,0,Matches
Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,29-160,1991,13.6,23,19,4,13,6,4,17,23.5,13,342,96,28.1,49,177,116,12,1,0,11,13,36,6,0,Matches
Luke Ayling,eng ENG,DF,Leeds United,29-177,1991,22.8,59,35,30,22,7,17,46,37.0,29,304,111,36.5,155,114,35,56,23,1,33,23,82,55,2,Matches
César Azpilicueta,es ESP,DF,Chelsea,31-174,1989,12.6,23,12,9,10,4,8,14,57.1,6,174,52,29.9,73,68,33,22,3,0,19,15,38,45,1,Matches
Eric Bailly,ci CIV,DF,Manchester Utd,26-312,1994,6.1,8,5,4,3,1,0,0,,0,39,15,38.5,18,20,1,12,11,0,1,16,24,32,0,Matches
Fabián Balbuena,py PAR,DF,West Ham,29-179,1991,12.0,22,13,18,4,0,10,19,52.6,9,118,41,34.7,76,41,1,23,4,0,19,12,34,81,1,Matches
George Baldock,eng ENG,DF,Sheffield Utd,27-346,1993,18.5,30,12,18,9,3,12,26,46.2,14,265,61,23.0,114,98,53,26,3,0,23,12,42,43,0,Matches
Gareth Bale,wal WAL,FW,Tottenham,31-217,1989,2.8,4,2,2,1,1,1,5,20.0,4,40,8,20.0,7,21,12,4,1,0,3,2,6,5,0,Matches
Patrick Bamford,eng ENG,FW,Leeds United,27-166,1993,21.8,17,11,4,7,6,5,20,25.0,15,353,104,29.5,20,156,177,11,4,0,7,7,24,20,0,Matches
Phil Bardsley,sco SCO,DF,Burnley,35-235,1985,3.0,6,4,5,1,0,2,4,50.0,2,39,9,23.1,17,19,3,4,1,0,3,3,9,14,0,Matches
Ross Barkley,eng ENG,MF,Aston Villa,27-075,1993,11.0,3,0,2,1,0,2,7,28.6,5,150,36,24.0,21,87,42,13,2,0,11,3,6,3,0,Matches
Ross Barkley,eng ENG,MF,Chelsea,27-075,1993,0.5,0,0,0,0,0,0,0,,0,5,1,20.0,2,2,1,0,0,0,0,0,0,0,0,Matches
Ashley Barnes,eng ENG,FW,Burnley,31-111,1989,14.4,14,6,2,6,6,4,12,33.3,8,183,46,25.1,22,70,91,15,3,0,12,4,18,9,0,Matches
