,Unnamed: 0,player,nationality,position,squad,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,npxg_xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches
25,25,Elliot Anderson,sco SCO,MF,Newcastle Utd,18-099,2002,1,0,4,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
26,26,Felipe Anderson,br BRA,"FW,MF",West Ham,27-304,1993,2,0,3,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
27,27,Michail Antonio,eng ENG,FW,West Ham,30-322,1990,15,13,1068,11.9,5,3,5,0,0,1,0,0.42,0.25,0.67,0.42,0.67,5.9,5.9,1.3,7.2,0.49,0.11,0.61,0.49,0.61,Matches
28,28,Alphonse Areola,fr FRA,GK,Fulham,27-352,1993,21,21,1890,21.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
29,29,Stuart Armstrong,sco SCO,MF,Southampton,28-320,1992,18,17,1484,16.5,3,2,3,0,0,1,0,0.18,0.12,0.3,0.18,0.3,1.4,1.4,1.4,2.8,0.09,0.08,0.17,0.09,0.17,Matches
30,30,Kepa Arrizabalaga,es ESP,GK,Chelsea,26-133,1994,3,3,270,3.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
31,31,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,31-240,1989,19,17,1576,17.5,5,1,4,1,1,2,0,0.29,0.06,0.34,0.23,0.29,6.2,5.5,1.5,7.0,0.36,0.09,0.44,0.31,0.4,Matches
32,32,Serge Aurier,ci CIV,DF,Tottenham,28-051,1992,13,13,1075,11.9,2,1,2,0,0,0,0,0.17,0.08,0.25,0.17,0.25,1.0,1.0,1.3,2.3,0.09,0.11,0.19,0.09,0.19,Matches
33,33,Charlie Austin,eng ENG,FW,West Brom,31-223,1989,5,0,138,1.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.13,0.0,0.13,0.13,0.13,Matches
34,34,Jordan Ayew,gh GHA,FW,Crystal Palace,29-155,1991,19,12,1130,12.6,1,2,1,0,0,1,0,0.08,0.16,0.24,0.08,0.24,1.7,1.7,0.3,2.0,0.13,0.03,0.16,0.13,0.16,Matches
35,35,Luke Ayling,eng ENG,DF,Leeds United,29-172,1991,22,22,1959,21.8,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,1.9,2.7,0.04,0.09,0.12,0.04,0.12,Matches
36,36,César Azpilicueta,es ESP,DF,Chelsea,31-169,1989,13,11,1041,11.6,1,1,1,0,0,4,0,0.09,0.09,0.17,0.09,0.17,0.6,0.6,0.6,1.2,0.05,0.05,0.11,0.05,0.11,Matches
37,37,Eric Bailly,ci CIV,DF,Manchester Utd,26-307,1994,7,6,548,6.1,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
38,38,Fabián Balbuena,py PAR,DF,West Ham,29-174,1991,12,12,1080,12.0,1,0,1,0,0,1,0,0.08,0.0,0.08,0.08,0.08,0.6,0.6,0.0,0.6,0.05,0.0,0.05,0.05,0.05,Matches
39,39,George Baldock,eng ENG,DF,Sheffield Utd,27-341,1993,19,19,1663,18.5,0,1,0,0,0,3,0,0.0,0.05,0.05,0.0,0.05,1.0,1.0,1.3,2.3,0.06,0.07,0.13,0.06,0.13,Matches
40,40,Gareth Bale,wal WAL,FW,Tottenham,31-212,1989,6,2,232,2.6,1,0,1,0,0,0,0,0.39,0.0,0.39,0.39,0.39,0.6,0.6,0.3,0.9,0.25,0.11,0.36,0.25,0.36,Matches
41,41,Patrick Bamford,eng ENG,FW,Leeds United,27-161,1993,22,22,1874,20.8,12,5,11,1,1,1,0,0.58,0.24,0.82,0.53,0.77,12.2,11.4,2.5,13.9,0.58,0.12,0.71,0.55,0.67,Matches
42,42,Phil Bardsley,sco SCO,DF,Burnley,35-230,1985,3,3,270,3.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.04,0.0,0.04,0.04,0.04,Matches
43,43,Ross Barkley,eng ENG,MF,Aston Villa,27-070,1993,12,12,916,10.2,3,1,3,0,0,0,0,0.29,0.1,0.39,0.29,0.39,2.8,2.8,2.6,5.4,0.28,0.25,0.53,0.28,0.53,Matches
44,44,Ross Barkley,eng ENG,MF,Chelsea,27-070,1993,2,0,42,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.06,0.16,0.22,0.06,0.22,Matches
45,45,Ashley Barnes,eng ENG,FW,Burnley,31-106,1989,16,13,1113,12.4,2,0,1,1,1,4,0,0.16,0.0,0.16,0.08,0.08,3.4,2.7,0.6,3.2,0.28,0.05,0.32,0.22,0.26,Matches
46,46,Harvey Barnes,eng ENG,"FW,MF",Leicester City,23-066,1997,22,19,1715,19.1,7,3,7,0,0,0,0,0.37,0.16,0.52,0.37,0.52,5.1,5.1,0.9,6.1,0.27,0.05,0.32,0.27,0.32,Matches
47,47,Kyle Bartley,eng ENG,DF,West Brom,29-267,1991,15,13,1240,13.8,2,1,2,0,0,2,0,0.15,0.07,0.22,0.15,0.22,1.5,1.5,0.0,1.5,0.11,0.0,0.11,0.11,0.11,Matches
48,48,Chris Basham,eng ENG,"DF,MF",Sheffield Utd,32-208,1988,23,23,1896,21.1,0,1,0,0,0,2,0,0.0,0.05,0.05,0.0,0.05,0.6,0.6,0.7,1.3,0.03,0.03,0.06,0.03,0.06,Matches
49,49,Michy Batshuayi,be BEL,FW,Crystal Palace,27-134,1993,15,6,641,7.1,1,1,1,0,0,0,0,0.14,0.14,0.28,0.14,0.28,1.1,1.1,1.4,2.5,0.16,0.2,0.36,0.16,0.36,Matches
50,50,Jan Bednarek,pl POL,DF,Southampton,24-307,1996,22,22,1885,20.9,1,1,1,0,0,2,1,0.05,0.05,0.1,0.05,0.1,0.9,0.9,0.2,1.1,0.04,0.01,0.05,0.04,0.05,Matches
