player,nationality,position,squad,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,gca_og_for,matches
George Baldock,eng ENG,DF,Sheffield Utd,27-346,1993,18.5,22,1.19,18,0,1,2,0,1,1,0.05,1,0,0,0,0,0,0,Matches
Gareth Bale,wal WAL,FW,Tottenham,31-217,1989,2.8,11,3.94,2,3,4,1,1,0,0,0.00,0,0,0,0,0,0,0,Matches
Patrick Bamford,eng ENG,FW,Leeds United,27-166,1993,21.8,35,1.60,24,0,4,2,3,2,13,0.60,7,0,2,1,3,0,0,Matches
Phil Bardsley,sco SCO,DF,Burnley,35-235,1985,3.0,3,0.99,1,0,1,0,1,0,0,0.00,0,0,0,0,0,0,0,Matches
Ross Barkley,eng ENG,MF,Aston Villa,27-075,1993,11.0,52,4.72,32,12,7,1,0,0,4,0.36,3,1,0,0,0,0,0,Matches
Ross Barkley,eng ENG,MF,Chelsea,27-075,1993,0.5,3,6.43,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Ashley Barnes,eng ENG,FW,Burnley,31-111,1989,14.4,35,2.44,25,0,0,5,4,1,2,0.14,0,0,0,1,1,0,0,Matches
Harvey Barnes,eng ENG,"FW,MF",Leicester City,23-071,1997,20.1,60,2.99,38,0,8,7,6,1,7,0.35,4,0,2,0,1,0,0,Matches
Kyle Bartley,eng ENG,DF,West Brom,29-272,1991,14.8,5,0.34,3,0,0,2,0,0,1,0.07,1,0,0,0,0,0,0,Matches
Chris Basham,eng ENG,"DF,MF",Sheffield Utd,32-213,1988,22.1,15,0.68,13,0,1,0,1,0,1,0.05,1,0,0,0,0,0,0,Matches
Michy Batshuayi,be BEL,FW,Crystal Palace,27-139,1993,7.8,20,2.56,13,1,4,0,2,0,2,0.26,1,0,0,0,1,0,0,Matches
Jan Bednarek,pl POL,DF,Southampton,24-312,1996,21.9,8,0.36,7,0,0,1,0,0,1,0.05,1,0,0,0,0,0,0,Matches
Donny van de Beek,nl NED,"MF,FW",Manchester Utd,23-306,1997,3.6,10,2.80,9,0,0,0,0,1,0,0.00,0,0,0,0,0,0,0,Matches
Héctor Bellerín,es ESP,DF,Arsenal,25-336,1995,20.2,37,1.83,33,1,0,2,1,0,6,0.30,5,0,0,0,1,0,0,Matches
Saïd Benrahma,dz ALG,"MF,FW",West Ham,25-192,1995,9.5,33,3.49,29,0,2,1,1,0,6,0.63,6,0,0,0,0,0,0,Matches
Josh Benson,eng ENG,MF,Burnley,21-075,1999,2.9,1,0.34,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Christian Benteke,be BEL,FW,Crystal Palace,30-077,1990,8.9,19,2.14,17,0,0,1,1,0,2,0.23,2,0,0,0,0,0,0,Matches
Jóhann Berg Guðmundsson,is ISL,MF,Burnley,30-114,1990,8.3,12,1.44,9,0,0,1,1,1,0,0.00,0,0,0,0,0,0,0,Matches
Sander Berge,no NOR,MF,Sheffield Utd,23-004,1998,11.3,22,1.95,18,0,2,1,0,1,1,0.09,0,0,0,1,0,0,0,Matches
Steven Bergwijn,nl NED,"FW,MF",Tottenham,23-133,1997,11.3,27,2.38,20,1,0,1,5,0,4,0.35,2,0,0,1,1,0,0,Matches
Bernard,br BRA,"FW,MF",Everton,28-163,1992,3.3,13,3.94,11,0,1,0,1,0,1,0.30,1,0,0,0,0,0,0,Matches
Bernardo,br BRA,"DF,MF",Brighton,25-280,1995,2.3,4,1.75,2,0,0,2,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Ryan Bertrand,eng ENG,DF,Southampton,31-197,1989,20.9,24,1.15,18,5,0,0,1,0,2,0.10,2,0,0,0,0,0,0,Matches
Yves Bissouma,ml MLI,MF,Brighton,24-172,1996,20.6,34,1.65,30,0,0,2,0,2,1,0.05,1,0,0,0,0,0,0,Matches
Jayden Bogle,eng ENG,DF,Sheffield Utd,20-206,2000,7.8,10,1.28,6,1,2,0,1,0,1,0.13,0,0,1,0,0,0,0,Matches
Willy Boly,ci CIV,DF,Wolves,30-015,1991,16.0,10,0.62,8,0,0,2,0,0,1,0.06,1,0,0,0,0,0,0,Matches
Jarrod Bowen,eng ENG,"FW,MF",West Ham,24-060,1996,19.6,59,3.01,33,10,3,7,5,1,8,0.41,4,3,0,1,0,0,0,Matches
Robbie Brady,ie IRL,MF,Burnley,29-035,1992,11.2,16,1.43,11,2,0,2,0,1,1,0.09,0,1,0,0,0,0,0,Matches
Rhian Brewster,eng ENG,FW,Sheffield Utd,20-323,2000,8.2,13,1.59,9,0,0,2,2,0,0,0.00,0,0,0,0,0,0,0,Matches
Josh Brownhill,eng ENG,MF,Burnley,25-061,1995,17.8,23,1.29,17,0,2,1,2,1,0,0.00,0,0,0,0,0,0,0,Matches
Joe Bryan,eng ENG,"DF,FW",Fulham,27-154,1993,5.0,12,2.39,6,3,1,1,1,0,1,0.20,0,0,0,0,1,0,0,Matches
Kean Bryan,eng ENG,DF,Sheffield Utd,24-109,1996,3.3,1,0.31,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Oliver Burke,sco SCO,FW,Sheffield Utd,23-317,1997,10.0,24,2.39,16,0,4,2,0,2,1,0.10,1,0,0,0,0,0,0,Matches
Dan Burn,eng ENG,DF,Brighton,28-285,1992,13.4,11,0.82,11,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
David Button,eng ENG,GK,West Brom,31-357,1989,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
