player,nationality,position,squad,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,matches
Serge Aurier,ci CIV,DF,Tottenham,28-051,1992,11.9,745,57,251,318,206,17,640,8,18,44.4,9,0,392,1440,802,39,11,2,8,11,460,407,88.5,29,Matches
Charlie Austin,eng ENG,FW,West Brom,31-223,1989,1.5,57,5,9,22,28,3,55,2,4,50.0,2,0,35,125,67,2,0,1,6,4,89,39,43.8,6,Matches
Jordan Ayew,gh GHA,FW,Crystal Palace,29-155,1991,12.6,528,8,69,283,230,39,515,21,45,46.7,24,1,395,2194,1120,43,24,7,37,47,695,383,55.1,68,Matches
Luke Ayling,eng ENG,DF,Leeds United,29-172,1991,21.8,1933,174,887,897,338,43,1743,26,35,74.3,27,5,1229,8723,5608,150,40,3,20,20,1344,1276,94.9,42,Matches
César Azpilicueta,es ESP,DF,Chelsea,31-169,1989,11.6,1125,53,369,550,248,21,1027,3,6,50.0,3,0,641,2505,1542,56,19,0,5,4,815,783,96.1,19,Matches
Eric Bailly,ci CIV,DF,Manchester Utd,26-307,1994,6.1,395,59,226,186,7,2,391,2,2,100.0,2,0,241,1528,792,23,0,0,1,1,247,244,98.8,0,Matches
Fabián Balbuena,py PAR,DF,West Ham,29-174,1991,12.0,552,85,290,272,21,9,532,1,2,50.0,1,0,287,1391,643,12,3,0,1,0,304,290,95.4,5,Matches
George Baldock,eng ENG,DF,Sheffield Utd,27-341,1993,18.5,883,51,220,286,421,31,744,14,30,46.7,16,0,496,3048,1696,82,24,6,15,14,557,480,86.2,39,Matches
Gareth Bale,wal WAL,FW,Tottenham,31-212,1989,2.6,122,7,18,44,64,9,110,3,8,37.5,3,0,64,417,150,10,1,1,4,2,127,79,62.2,19,Matches
Patrick Bamford,eng ENG,FW,Leeds United,27-161,1993,20.8,518,24,44,226,263,123,458,11,22,50.0,14,4,255,1171,539,34,9,14,44,18,824,337,40.9,129,Matches
Phil Bardsley,sco SCO,DF,Burnley,35-230,1985,3.0,192,12,61,99,43,2,156,2,2,100.0,2,1,87,418,190,11,3,0,1,2,99,94,94.9,1,Matches
Ross Barkley,eng ENG,MF,Aston Villa,27-070,1993,10.2,524,10,71,229,258,48,474,23,31,74.2,23,0,349,1992,1128,54,18,7,20,27,450,354,78.7,54,Matches
Ross Barkley,eng ENG,MF,Chelsea,27-070,1993,0.5,33,0,8,19,8,1,33,4,5,80.0,4,0,25,127,84,3,1,0,1,0,32,24,75.0,5,Matches
Ashley Barnes,eng ENG,FW,Burnley,31-106,1989,12.4,413,9,45,187,200,50,410,1,5,20.0,2,0,245,804,363,23,7,4,40,19,598,306,51.2,84,Matches
Harvey Barnes,eng ENG,"FW,MF",Leicester City,23-066,1997,19.1,817,15,97,362,460,101,815,22,54,40.7,22,1,611,4291,2964,151,68,32,44,45,878,629,71.6,119,Matches
Kyle Bartley,eng ENG,DF,West Brom,29-267,1991,13.8,606,151,365,238,27,17,593,0,0,,0,0,266,1529,660,15,2,0,3,3,311,277,89.1,2,Matches
Chris Basham,eng ENG,"DF,MF",Sheffield Utd,32-208,1988,21.1,1080,138,423,485,244,34,1022,15,20,75.0,17,0,592,3513,2278,75,20,1,12,20,616,552,89.6,28,Matches
Michy Batshuayi,be BEL,FW,Crystal Palace,27-134,1993,7.1,218,7,24,116,91,24,207,9,14,64.3,9,1,132,634,430,15,7,3,13,24,280,156,55.7,53,Matches
Jan Bednarek,pl POL,DF,Southampton,24-307,1996,20.9,1568,190,873,766,27,10,1534,2,2,100.0,2,0,936,5119,2781,53,4,0,1,1,1024,1013,98.9,2,Matches
Donny van de Beek,nl NED,"MF,FW",Manchester Utd,23-301,1997,3.4,204,5,32,94,87,21,203,2,4,50.0,2,0,121,447,234,14,6,0,6,5,207,157,75.8,35,Matches
Héctor Bellerín,es ESP,DF,Arsenal,25-331,1995,19.2,1262,49,353,569,405,40,1127,15,29,51.7,17,3,777,3752,2307,100,25,12,13,6,883,806,91.3,64,Matches
Saïd Benrahma,dz ALG,"MF,FW",West Ham,25-187,1995,9.4,440,7,72,207,208,34,433,31,50,62.0,33,5,367,2121,1206,70,20,6,26,27,431,308,71.5,53,Matches
Josh Benson,eng ENG,MF,Burnley,21-070,1999,2.9,113,5,19,53,45,3,109,5,8,62.5,5,1,74,244,116,5,3,0,3,6,83,66,79.5,4,Matches
Christian Benteke,be BEL,FW,Crystal Palace,30-072,1990,8.1,328,20,38,145,156,52,323,3,8,37.5,3,0,141,492,268,22,4,4,20,14,479,258,53.9,63,Matches
Jóhann Berg Guðmundsson,is ISL,MF,Burnley,30-109,1990,7.1,276,5,41,156,98,11,274,2,8,25.0,3,1,195,1142,598,30,13,0,5,5,243,187,77.0,23,Matches
Sander Berge,no NOR,MF,Sheffield Utd,22-365,1998,11.3,548,29,120,281,206,32,536,18,28,64.3,18,3,371,2933,1604,61,22,8,23,15,424,376,88.7,30,Matches
Steven Bergwijn,nl NED,"FW,MF",Tottenham,23-128,1997,11.3,462,11,75,228,207,26,455,15,30,50.0,16,0,354,1951,1032,45,20,6,22,19,509,343,67.4,55,Matches
Bernard,br BRA,"FW,MF",Everton,28-158,1992,3.0,205,5,24,92,98,11,203,6,11,54.5,6,3,150,820,402,22,6,1,6,8,172,146,84.9,24,Matches
Bernardo,br BRA,"DF,MF",Brighton,25-275,1995,2.3,116,3,28,40,54,5,109,0,2,0.0,0,0,68,270,118,4,1,0,2,5,99,78,78.8,4,Matches
Ryan Bertrand,eng ENG,DF,Southampton,31-192,1989,19.9,1304,49,315,659,399,32,1062,5,7,71.4,5,0,666,3304,1885,83,30,8,10,7,838,736,87.8,50,Matches
Yves Bissouma,ml MLI,MF,Brighton,24-167,1996,19.6,1167,56,325,664,266,6,1149,30,45,66.7,32,2,813,5036,2226,87,30,0,17,18,823,773,93.9,18,Matches
