player,nationality,position,squad,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
Kepa Arrizabalaga,es ESP,GK,Chelsea,26-138,1994,4.0,106,138,76.8,3073,1637,24,25,96.0,43,43,100.0,39,70,55.7,0,0.0,0.0,0,1,0,0,0,Matches
Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,31-245,1989,18.5,385,512,75.2,5926,1213,213,259,82.2,134,176,76.1,24,43,55.8,1,1.6,-0.6,16,14,24,9,42,Matches
Serge Aurier,ci CIV,DF,Tottenham,28-056,1992,11.9,444,578,76.8,7235,3021,228,258,88.4,174,234,74.4,32,59,54.2,1,1.3,-0.3,7,13,16,6,40,Matches
Charlie Austin,eng ENG,FW,West Brom,31-228,1989,1.5,24,33,72.7,363,124,11,13,84.6,12,16,75.0,1,2,50.0,0,0.0,0.0,0,0,0,0,4,Matches
Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,29-160,1991,13.6,300,368,81.5,4155,764,194,219,88.6,82,102,80.4,12,19,63.2,2,0.5,+1.5,9,10,10,0,28,Matches
Luke Ayling,eng ENG,DF,Leeds United,29-177,1991,22.8,1397,1748,79.9,28767,11091,474,538,88.1,695,794,87.5,219,371,59.0,0,1.9,-1.9,19,126,23,8,146,Matches
César Azpilicueta,es ESP,DF,Chelsea,31-174,1989,12.6,916,1067,85.8,16456,5832,356,383,93.0,478,529,90.4,70,123,56.9,1,0.6,+0.4,12,77,12,3,60,Matches
Eric Bailly,ci CIV,DF,Manchester Utd,26-312,1994,6.1,288,321,89.7,5887,1953,89,96,92.7,159,171,93.0,39,52,75.0,0,0.0,0.0,0,22,0,0,18,Matches
Fabián Balbuena,py PAR,DF,West Ham,29-179,1991,12.0,319,420,76.0,7819,3040,62,71,87.3,173,198,87.4,80,142,56.3,0,0.0,0.0,0,29,0,0,27,Matches
George Baldock,eng ENG,DF,Sheffield Utd,27-346,1993,18.5,538,706,76.2,8164,2814,322,354,91.0,175,232,75.4,28,72,38.9,1,1.3,-0.3,12,26,21,6,38,Matches
