player,nationality,position,squad,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,matches
Phil Bardsley,sco SCO,DF,Burnley,35-230,1985,3.0,2,0,0,8,4,0,7,3,4,0,0,0,37,5,5,50.0,Matches
Ross Barkley,eng ENG,MF,Aston Villa,27-070,1993,10.2,0,0,0,9,9,2,10,3,0,0,0,0,87,15,16,48.4,Matches
Ross Barkley,eng ENG,MF,Chelsea,27-070,1993,0.5,0,0,0,2,2,1,0,0,0,0,0,0,8,3,1,75.0,Matches
Ashley Barnes,eng ENG,FW,Burnley,31-106,1989,12.4,4,0,0,40,40,14,5,4,5,1,0,0,54,42,72,36.8,Matches
Harvey Barnes,eng ENG,"FW,MF",Leicester City,23-066,1997,19.1,0,0,0,16,27,1,16,13,10,0,0,0,113,21,28,42.9,Matches
Kyle Bartley,eng ENG,DF,West Brom,29-267,1991,13.8,2,0,0,16,4,3,2,8,9,0,1,0,141,49,20,71.0,Matches
Chris Basham,eng ENG,"DF,MF",Sheffield Utd,32-208,1988,21.1,2,0,0,19,15,5,21,31,38,1,0,0,236,60,45,57.1,Matches
Michy Batshuayi,be BEL,FW,Crystal Palace,27-134,1993,7.1,0,0,0,7,5,9,7,2,2,1,0,0,28,7,22,24.1,Matches
Jan Bednarek,pl POL,DF,Southampton,24-307,1996,20.9,2,1,0,14,9,0,0,30,11,0,0,1,301,59,27,68.6,Matches
Donny van de Beek,nl NED,"MF,FW",Manchester Utd,23-301,1997,3.4,1,0,0,3,2,0,4,3,8,0,0,0,19,1,4,20.0,Matches
Héctor Bellerín,es ESP,DF,Arsenal,25-331,1995,19.2,7,0,0,20,6,1,46,9,15,1,0,0,182,26,29,47.3,Matches
Saïd Benrahma,dz ALG,"MF,FW",West Ham,25-187,1995,9.4,0,0,0,12,8,1,17,9,13,0,1,0,79,2,10,16.7,Matches
Josh Benson,eng ENG,MF,Burnley,21-070,1999,2.9,0,0,0,4,1,0,4,1,5,0,1,0,24,1,4,20.0,Matches
Christian Benteke,be BEL,FW,Crystal Palace,30-072,1990,8.1,2,1,1,18,9,10,4,2,5,0,0,0,23,74,46,61.7,Matches
Jóhann Berg Guðmundsson,is ISL,MF,Burnley,30-109,1990,7.1,1,0,0,4,6,2,10,5,5,0,0,0,55,7,16,30.4,Matches
Sander Berge,no NOR,MF,Sheffield Utd,22-365,1998,11.3,4,0,0,12,4,2,18,3,16,0,0,0,92,14,14,50.0,Matches
Steven Bergwijn,nl NED,"FW,MF",Tottenham,23-128,1997,11.3,2,0,0,19,16,0,8,9,7,1,0,0,67,2,11,15.4,Matches
Bernard,br BRA,"FW,MF",Everton,28-158,1992,3.0,2,0,0,5,3,0,4,4,3,0,0,0,37,0,0,,Matches
Bernardo,br BRA,"DF,MF",Brighton,25-275,1995,2.3,0,0,0,1,1,0,4,0,5,0,0,0,12,5,6,45.5,Matches
Ryan Bertrand,eng ENG,DF,Southampton,31-192,1989,19.9,5,0,0,21,23,2,40,17,34,0,0,0,160,26,38,40.6,Matches
Yves Bissouma,ml MLI,MF,Brighton,24-167,1996,19.6,6,1,0,35,19,0,6,26,41,0,0,0,216,22,17,56.4,Matches
Jayden Bogle,eng ENG,DF,Sheffield Utd,20-201,2000,6.8,1,0,0,7,4,1,8,11,7,0,0,0,52,13,18,41.9,Matches
Willy Boly,ci CIV,DF,Wolves,30-010,1991,16.0,1,0,0,9,7,0,0,13,20,0,1,0,144,49,14,77.8,Matches
Jarrod Bowen,eng ENG,"FW,MF",West Ham,24-055,1996,18.6,0,0,0,10,26,8,40,15,10,0,0,0,128,13,31,29.5,Matches
Robbie Brady,ie IRL,MF,Burnley,29-030,1992,10.7,2,0,0,19,9,2,24,9,11,0,0,0,99,19,18,51.4,Matches
Rhian Brewster,eng ENG,FW,Sheffield Utd,20-318,2000,8.2,0,0,0,11,8,4,5,4,2,0,0,0,41,6,33,15.4,Matches
Josh Brownhill,eng ENG,MF,Burnley,25-056,1995,17.5,1,0,0,22,17,0,4,31,18,0,0,0,245,46,20,69.7,Matches
