player,nationality,position,squad,age,birth_year,minutes_90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
Serge Aurier,ci CIV,DF,Tottenham,28-056,1992,11.9,2,9,5,55.6,0.75,0.42,0.22,0.40,15.3,0,0,0,1.0,1.0,0.11,+1.0,+1.0,Matches
Charlie Austin,eng ENG,FW,West Brom,31-228,1989,1.5,0,3,0,0.0,1.96,0.00,0.00,,19.3,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,29-160,1991,13.6,1,18,7,38.9,1.33,0.52,0.06,0.14,16.6,0,0,0,1.7,1.7,0.10,-0.7,-0.7,Matches
Luke Ayling,eng ENG,DF,Leeds United,29-177,1991,22.8,0,15,3,20.0,0.66,0.13,0.00,0.00,17.7,0,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches
César Azpilicueta,es ESP,DF,Chelsea,31-174,1989,12.6,1,8,3,37.5,0.64,0.24,0.13,0.33,13.3,0,0,0,0.7,0.7,0.09,+0.3,+0.3,Matches
Eric Bailly,ci CIV,DF,Manchester Utd,26-312,1994,6.1,0,1,0,0.0,0.16,0.00,0.00,,11.0,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
Fabián Balbuena,py PAR,DF,West Ham,29-179,1991,12.0,1,7,2,28.6,0.58,0.17,0.14,0.50,9.1,0,0,0,0.6,0.6,0.09,+0.4,+0.4,Matches
George Baldock,eng ENG,DF,Sheffield Utd,27-346,1993,18.5,0,10,2,20.0,0.54,0.11,0.00,0.00,16.5,0,0,0,1.0,1.0,0.10,-1.0,-1.0,Matches
Gareth Bale,wal WAL,FW,Tottenham,31-217,1989,2.8,1,9,3,33.3,3.23,1.08,0.11,0.33,19.0,2,0,0,0.9,0.9,0.10,+0.1,+0.1,Matches
Patrick Bamford,eng ENG,FW,Leeds United,27-166,1993,21.8,12,77,33,42.9,3.53,1.51,0.14,0.33,12.6,0,1,1,12.2,11.4,0.15,-0.2,-0.4,Matches
Phil Bardsley,sco SCO,DF,Burnley,35-235,1985,3.0,0,4,0,0.0,1.31,0.00,0.00,,25.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Ross Barkley,eng ENG,MF,Aston Villa,27-075,1993,11.0,3,31,9,29.0,2.82,0.82,0.10,0.33,17.1,1,0,0,2.9,2.9,0.09,+0.1,+0.1,Matches
Ross Barkley,eng ENG,MF,Chelsea,27-075,1993,0.5,0,1,1,100.0,2.14,2.14,0.00,0.00,28.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Ashley Barnes,eng ENG,FW,Burnley,31-111,1989,14.4,3,36,12,33.3,2.51,0.84,0.06,0.17,16.0,0,1,1,4.9,4.1,0.11,-1.9,-2.1,Matches
Harvey Barnes,eng ENG,"FW,MF",Leicester City,23-071,1997,20.1,8,50,23,46.0,2.49,1.15,0.16,0.35,16.7,0,0,0,5.6,5.6,0.11,+2.4,+2.4,Matches
Kyle Bartley,eng ENG,DF,West Brom,29-272,1991,14.8,2,8,4,50.0,0.54,0.27,0.25,0.50,7.1,0,0,0,1.5,1.5,0.18,+0.5,+0.5,Matches
Chris Basham,eng ENG,"DF,MF",Sheffield Utd,32-213,1988,22.1,0,8,1,12.5,0.36,0.05,0.00,0.00,14.4,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
Michy Batshuayi,be BEL,FW,Crystal Palace,27-139,1993,7.8,1,11,5,45.5,1.41,0.64,0.09,0.20,17.3,0,0,0,1.1,1.1,0.10,-0.1,-0.1,Matches
Jan Bednarek,pl POL,DF,Southampton,24-312,1996,21.9,1,8,4,50.0,0.36,0.18,0.13,0.25,8.9,0,0,0,0.9,0.9,0.11,+0.1,+0.1,Matches
Donny van de Beek,nl NED,"MF,FW",Manchester Utd,23-306,1997,3.6,1,1,1,100.0,0.28,0.28,1.00,1.00,9.8,0,0,0,0.3,0.3,0.26,+0.7,+0.7,Matches
Héctor Bellerín,es ESP,DF,Arsenal,25-336,1995,20.2,1,11,4,36.4,0.54,0.20,0.09,0.25,20.1,0,0,0,0.6,0.6,0.05,+0.4,+0.4,Matches
Saïd Benrahma,dz ALG,"MF,FW",West Ham,25-192,1995,9.5,0,21,8,38.1,2.22,0.85,0.00,0.00,19.6,1,0,0,1.6,1.6,0.08,-1.6,-1.6,Matches
Josh Benson,eng ENG,MF,Burnley,21-075,1999,2.9,0,2,0,0.0,0.68,0.00,0.00,,23.5,1,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
Christian Benteke,be BEL,FW,Crystal Palace,30-077,1990,8.9,3,34,15,44.1,3.83,1.69,0.09,0.20,10.9,0,0,0,3.8,3.8,0.11,-0.8,-0.8,Matches
Jóhann Berg Guðmundsson,is ISL,MF,Burnley,30-114,1990,8.3,2,14,6,42.9,1.68,0.72,0.14,0.33,21.5,1,0,0,1.2,1.2,0.09,+0.8,+0.8,Matches
Sander Berge,no NOR,MF,Sheffield Utd,23-004,1998,11.3,1,9,1,11.1,0.80,0.09,0.00,0.00,17.8,0,1,1,1.2,0.5,0.05,-0.2,-0.5,Matches
Steven Bergwijn,nl NED,"FW,MF",Tottenham,23-133,1997,11.3,0,12,2,16.7,1.06,0.18,0.00,0.00,16.7,0,0,0,1.7,1.7,0.14,-1.7,-1.7,Matches
Bernard,br BRA,"FW,MF",Everton,28-163,1992,3.3,1,4,2,50.0,1.21,0.61,0.25,0.50,18.3,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches
Bernardo,br BRA,"DF,MF",Brighton,25-280,1995,2.3,0,4,0,0.0,1.75,0.00,0.00,,6.9,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
Ryan Bertrand,eng ENG,DF,Southampton,31-197,1989,20.9,0,8,3,37.5,0.38,0.14,0.00,0.00,19.7,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
Yves Bissouma,ml MLI,MF,Brighton,24-172,1996,20.6,1,23,2,8.7,1.12,0.10,0.04,0.50,25.8,1,0,0,0.6,0.6,0.03,+0.4,+0.4,Matches
Jayden Bogle,eng ENG,DF,Sheffield Utd,20-206,2000,7.8,2,11,5,45.5,1.40,0.64,0.18,0.40,12.4,0,0,0,0.9,0.9,0.09,+1.1,+1.1,Matches
Willy Boly,ci CIV,DF,Wolves,30-015,1991,16.0,1,10,3,30.0,0.62,0.19,0.10,0.33,10.9,0,0,0,1.0,1.0,0.10,0.0,0.0,Matches
Jarrod Bowen,eng ENG,"FW,MF",West Ham,24-060,1996,19.6,5,39,7,17.9,1.99,0.36,0.13,0.71,16.9,0,0,0,4.5,4.5,0.12,+0.5,+0.5,Matches
Robbie Brady,ie IRL,MF,Burnley,29-035,1992,11.2,1,15,5,33.3,1.34,0.45,0.07,0.20,19.1,3,0,0,0.8,0.8,0.05,+0.2,+0.2,Matches
Rhian Brewster,eng ENG,FW,Sheffield Utd,20-323,2000,8.2,0,14,4,28.6,1.71,0.49,0.00,0.00,17.8,1,0,0,1.3,1.3,0.09,-1.3,-1.3,Matches
Josh Brownhill,eng ENG,MF,Burnley,25-061,1995,17.8,0,18,2,11.1,1.01,0.11,0.00,0.00,20.5,4,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches
Joe Bryan,eng ENG,"DF,FW",Fulham,27-154,1993,5.0,0,4,1,25.0,0.80,0.20,0.00,0.00,21.7,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Kean Bryan,eng ENG,DF,Sheffield Utd,24-109,1996,3.3,1,1,1,100.0,0.31,0.31,1.00,1.00,2.0,0,0,0,0.3,0.3,0.29,+0.7,+0.7,Matches
Oliver Burke,sco SCO,FW,Sheffield Utd,23-317,1997,10.0,1,20,5,25.0,1.99,0.50,0.05,0.20,14.8,0,0,0,2.0,2.0,0.10,-1.0,-1.0,Matches
