player,nationality,position,squad,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
Jacob Barrett Laursen,dk DEN,DF,Arminia,26-088,1994,7.3,275,352,78.1,5399,1967,93,107,86.9,142,174,81.6,38,59,64.4,1,1.2,-0.2,3,17,4,2,19,Matches
Oliver Baumann,de GER,GK,Hoffenheim,30-256,1990,19.0,599,774,77.4,15831,9021,157,157,100.0,237,242,97.9,186,355,52.4,0,0.0,0.0,0,7,0,0,2,Matches
Julian Baumgartlinger,at AUT,MF,Leverkusen,33-042,1988,11.9,579,668,86.7,11047,2389,242,267,90.6,230,254,90.6,96,124,77.4,0,0.3,-0.3,8,54,6,1,56,Matches
Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,21-196,1999,15.9,437,578,75.6,7231,2005,225,276,81.5,152,194,78.4,44,72,61.1,3,2.1,+0.9,18,32,19,3,54,Matches
Noah Joel Sarenren Bazee,ng NGA,"FW,MF",Augsburg,24-176,1996,0.4,6,12,50.0,78,23,3,5,60.0,2,3,66.7,0,2,0.0,1,0.7,+0.3,1,0,0,0,0,Matches
Ihlas Bebou,tg TOG,"FW,DF",Hoffenheim,26-296,1994,11.3,233,296,78.7,3333,832,143,165,86.7,66,85,77.6,13,22,59.1,4,2.7,+1.3,20,16,14,6,27,Matches
Sheraldo Becker,nl NED,"FW,MF",Union Berlin,26-004,1995,11.9,197,315,62.5,3403,1029,99,135,73.3,78,117,66.7,16,44,36.4,2,2.8,-0.8,16,10,14,11,23,Matches
Timo Becker,de GER,DF,Schalke 04,23-325,1997,5.5,172,242,71.1,3136,1093,81,95,85.3,70,95,73.7,21,40,52.5,0,0.1,-0.1,2,7,3,0,12,Matches
Brian Behrendt,de GER,DF,Arminia,29-112,1991,0.9,41,56,73.2,941,310,14,17,82.4,18,25,72.0,9,13,69.2,0,0.0,0.0,0,4,0,0,5,Matches
Maximilian Beier,de GER,"FW,DF",Hoffenheim,18-119,2002,0.0,4,4,100.0,63,4,3,3,100.0,0,0,,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
Ishak Belfodil,dz ALG,FW,Hoffenheim,29-032,1992,6.4,104,146,71.2,1435,247,61,81,75.3,33,46,71.7,5,7,71.4,1,1.0,0.0,6,2,3,0,8,Matches
Stefan Bell,de GER,DF,Mainz 05,29-173,1991,4.6,107,139,77.0,2205,855,35,41,85.4,56,62,90.3,15,29,51.7,1,0.8,+0.2,1,4,0,0,7,Matches
Karim Bellarabi,de GER,"MF,FW",Leverkusen,30-311,1990,4.8,122,186,65.6,1996,608,65,82,79.3,46,66,69.7,10,29,34.5,0,0.8,-0.8,6,8,6,1,17,Matches
Jude Bellingham,eng ENG,MF,Dortmund,17-229,2003,8.9,459,554,82.9,8267,1637,197,230,85.7,198,227,87.2,52,67,77.6,2,2.2,-0.2,10,28,17,2,38,Matches
Lars Bender,de GER,DF,Leverkusen,31-292,1989,10.4,588,707,83.2,11233,3771,233,265,87.9,254,293,86.7,88,116,75.9,2,0.5,+1.5,7,45,12,2,57,Matches
Sven Bender,de GER,DF,Leverkusen,31-292,1989,6.9,579,637,90.9,12706,3126,121,132,91.7,358,383,93.5,97,118,82.2,0,0.3,-0.3,2,24,2,1,34,Matches
László Bénes,sk SVK,MF,M'Gladbach,23-157,1997,1.7,80,110,72.7,1364,387,48,56,85.7,21,24,87.5,10,26,38.5,1,0.4,+0.6,4,3,0,0,5,Matches
László Bénes,sk SVK,"MF,FW",Augsburg,23-157,1997,1.4,35,59,59.3,481,116,24,26,92.3,8,21,38.1,2,8,25.0,0,0.1,-0.1,1,1,0,0,2,Matches
Ramy Bensebaini,dz ALG,DF,M'Gladbach,25-303,1995,9.6,422,512,82.4,7479,2853,195,219,89.0,182,214,85.0,37,65,56.9,0,0.3,-0.3,5,23,9,3,33,Matches
Nabil Bentaleb,dz ALG,MF,Schalke 04,26-081,1994,5.0,170,207,82.1,3062,667,76,88,86.4,69,81,85.2,21,32,65.6,0,0.1,-0.1,1,12,1,0,17,Matches
Bartosz Bialek,pl POL,"FW,MF",Wolfsburg,19-094,2001,2.0,35,52,67.3,660,186,17,23,73.9,14,18,77.8,4,6,66.7,0,0.2,-0.2,3,4,4,0,9,Matches
Ermin Bičakčić,ba BIH,DF,Hoffenheim,31-020,1990,1.4,54,62,87.1,1111,373,15,17,88.2,32,34,94.1,7,11,63.6,0,0.0,0.0,0,3,0,0,4,Matches
Leonardo Bittencourt,de GER,"FW,MF",Werder Bremen,27-056,1993,11.5,291,400,72.8,5175,1208,148,178,83.1,108,145,74.5,34,60,56.7,1,0.7,+0.3,13,21,15,9,25,Matches
Jérôme Boateng,de GER,DF,Bayern Munich,32-163,1988,15.7,1033,1169,88.4,25571,6962,176,189,93.1,575,606,94.9,280,371,75.5,1,0.4,+0.6,3,102,11,1,76,Matches
Jean-Paul Boëtius,nl NED,"MF,FW",Mainz 05,26-328,1994,14.1,353,504,70.0,6259,1951,170,222,76.6,127,168,75.6,44,80,55.0,2,3.4,-1.4,18,37,12,2,48,Matches
Melayro Bogarde,nl NED,"DF,MF",Hoffenheim,18-261,2002,3.0,142,164,86.6,2840,898,65,71,91.5,53,60,88.3,23,28,82.1,0,0.1,-0.1,3,12,2,0,17,Matches
Dennis Borkowski,de GER,MF,RB Leipzig,19-018,2002,0.1,5,7,71.4,107,0,1,3,33.3,3,3,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
Sebastiaan Bornauw,be BEL,DF,Köln,21-328,1999,17.0,495,605,81.8,12477,3414,77,92,83.7,271,303,89.4,139,192,72.4,1,0.0,+1.0,1,14,1,0,16,Matches
Nassim Boujellab,ma MAR,"MF,FW",Schalke 04,21-238,1999,5.9,106,152,69.7,1607,393,51,65,78.5,41,55,74.5,6,11,54.5,0,0.2,-0.2,3,7,2,0,10,Matches
Dedryck Boyata,be BEL,DF,Hertha BSC,30-077,1990,12.8,705,796,88.6,17645,3509,90,105,85.7,420,444,94.6,192,234,82.1,0,0.7,-0.7,5,28,2,0,27,Matches
Can Bozdogan,de GER,MF,Schalke 04,19-314,2001,4.5,97,129,75.2,1544,310,55,62,88.7,33,44,75.0,7,16,43.8,0,0.1,-0.1,2,5,0,0,6,Matches
Julian Brandt,de GER,"FW,MF",Dortmund,24-287,1996,10.9,532,629,84.6,9312,2133,251,285,88.1,194,224,86.6,69,85,81.2,1,2.1,-1.1,24,43,20,3,56,Matches
Josip Brekalo,hr CRO,FW,Wolfsburg,22-235,1998,13.4,412,542,76.0,7857,1939,170,203,83.7,170,210,81.0,59,93,63.4,1,2.0,-1.0,25,32,19,5,52,Matches
Joshua Brenet,nl NED,DF,Hoffenheim,26-330,1994,0.0,0,2,0.0,0,0,0,0,,0,1,0.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
John Brooks,us USA,DF,Wolfsburg,28-016,1993,18.2,915,1099,83.3,23247,6815,137,165,83.0,522,578,90.3,249,341,73.0,0,0.3,-0.3,2,62,1,0,73,Matches
Daniel Brosinski,de GER,DF,Mainz 05,32-211,1988,11.2,366,564,64.9,7562,4055,127,155,81.9,179,236,75.8,58,154,37.7,1,1.3,-0.3,15,35,12,5,49,Matches
Cédric Brunner,ch SUI,DF,Arminia,26-362,1994,16.1,632,855,73.9,11966,4396,252,282,89.4,282,361,78.1,90,185,48.6,1,0.5,+0.5,8,46,10,7,47,Matches
Jacob Bruun Larsen,dk DEN,FW,Hoffenheim,22-147,1998,1.0,15,19,78.9,203,7,11,13,84.6,3,3,100.0,1,2,50.0,0,0.0,0.0,0,0,0,0,0,Matches
Marius Bülter,de GER,"FW,MF",Union Berlin,27-321,1993,6.7,117,192,60.9,1949,586,58,80,72.5,43,63,68.3,12,25,48.0,0,0.9,-0.9,7,8,8,5,6,Matches
Jonathan Burkardt,de GER,"FW,DF",Mainz 05,20-217,2000,9.5,186,264,70.5,3052,788,89,110,80.9,74,101,73.3,17,30,56.7,0,0.7,-0.7,4,14,4,1,19,Matches
Roman Bürki,ch SUI,GK,Dortmund,30-091,1990,16.0,434,529,82.0,11566,6378,82,82,100.0,220,221,99.5,132,225,58.7,0,0.0,0.0,0,2,1,0,1,Matches
Daniel Caligiuri,it ITA,"MF,DF",Augsburg,33-029,1988,20.3,624,881,70.8,11929,4964,283,333,85.0,225,296,76.0,96,196,49.0,2,2.3,-0.3,28,42,19,4,68,Matches
Emre Can,de GER,"DF,MF",Dortmund,27-032,1994,12.2,874,1003,87.1,17928,4717,287,315,91.1,446,485,92.0,133,183,72.7,2,1.8,+0.2,14,75,12,2,67,Matches
Koen Casteels,be BEL,GK,Wolfsburg,28-233,1992,19.0,548,728,75.3,17723,10834,59,59,100.0,254,254,100.0,234,414,56.5,0,0.0,0.0,1,7,0,0,0,Matches
Gonzalo Castro,de GER,"MF,FW",Stuttgart,33-247,1987,12.8,429,591,72.6,7784,2852,188,216,87.0,167,217,77.0,61,112,54.5,1,2.0,-1.0,33,39,23,0,66,Matches
Sava Cestic,de GER,DF,Köln,19-360,2001,7.3,192,259,74.1,4528,1478,33,46,71.7,119,133,89.5,39,75,52.0,0,0.0,0.0,1,8,0,0,10,Matches
Timothy Chandler,us USA,DF,Eint Frankfurt,30-321,1990,0.7,24,34,70.6,348,207,14,19,73.7,8,12,66.7,0,1,0.0,0,0.0,0.0,0,1,0,0,3,Matches
Kwon Chang-hoon,kr KOR,"MF,FW",Freiburg,26-228,1994,2.0,45,58,77.6,697,179,28,31,90.3,14,19,73.7,2,6,33.3,0,0.0,0.0,1,3,0,0,6,Matches
Tahith Chong,nl NED,"FW,MF",Werder Bremen,21-071,1999,4.3,86,136,63.2,1383,469,50,69,72.5,23,36,63.9,9,14,64.3,1,0.5,+0.5,5,7,3,2,7,Matches
Darko Churlinov,mk MKD,"DF,FW",Stuttgart,20-217,2000,0.7,28,34,82.4,455,118,12,13,92.3,12,14,85.7,3,5,60.0,0,0.0,0.0,0,0,2,0,4,Matches
Tim Civeja,de GER,"MF,DF",Augsburg,19-040,2002,0.4,16,24,66.7,306,88,8,12,66.7,3,6,50.0,5,5,100.0,0,0.0,0.0,0,1,0,0,2,Matches
Kingsley Coman,fr FRA,"FW,MF",Bayern Munich,24-245,1996,11.4,389,482,80.7,7106,1301,188,219,85.8,146,174,83.9,49,66,74.2,9,4.7,+4.3,27,9,26,11,36,Matches
