player,nationality,position,squad,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,matches
Oliver Baumann,de GER,GK,Hoffenheim,30-256,1990,19.0,823,636,812,15,0,0,620,0,0,,0,0,424,1563,743,0,0,0,0,0,403,400,99.3,0,Matches
Julian Baumgartlinger,at AUT,MF,Leverkusen,33-042,1988,11.9,781,20,165,506,138,10,764,7,7,100.0,7,0,498,1685,610,23,4,0,5,8,567,520,91.7,13,Matches
Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,21-196,1999,15.9,828,29,136,452,320,65,794,29,58,50.0,33,2,579,3061,1877,87,38,12,47,34,737,569,77.2,89,Matches
Noah Joel Sarenren Bazee,ng NGA,"FW,MF",Augsburg,24-176,1996,0.4,24,1,4,17,4,2,23,0,3,0.0,0,0,12,36,11,1,0,1,2,4,18,11,61.1,4,Matches
Ihlas Bebou,tg TOG,"FW,DF",Hoffenheim,26-296,1994,11.3,487,17,57,207,255,54,474,22,34,64.7,24,4,340,1746,1105,57,13,18,58,35,548,360,65.7,94,Matches
Sheraldo Becker,nl NED,"FW,MF",Union Berlin,26-004,1995,11.9,439,5,67,180,229,54,435,11,20,55.0,12,1,283,2474,1693,76,22,27,22,22,515,295,57.3,85,Matches
Timo Becker,de GER,DF,Schalke 04,23-325,1997,5.5,317,26,120,147,71,3,266,4,11,36.4,6,0,162,866,433,18,5,0,6,6,176,158,89.8,8,Matches
Brian Behrendt,de GER,DF,Arminia,29-112,1991,0.9,62,2,13,42,8,0,45,1,1,100.0,1,0,33,94,54,2,0,0,0,0,37,32,86.5,1,Matches
Maximilian Beier,de GER,"FW,DF",Hoffenheim,18-119,2002,0.0,4,0,1,3,2,0,4,0,0,,0,0,3,35,19,1,1,0,0,0,5,3,60.0,1,Matches
Ishak Belfodil,dz ALG,FW,Hoffenheim,29-032,1992,6.4,219,4,12,95,127,35,203,16,29,55.2,16,0,167,563,338,25,8,6,18,10,281,163,58.0,55,Matches
Stefan Bell,de GER,DF,Mainz 05,29-173,1991,4.6,214,37,144,67,9,2,201,0,0,,0,0,79,455,223,3,0,0,1,1,76,73,96.1,1,Matches
Karim Bellarabi,de GER,"MF,FW",Leverkusen,30-311,1990,4.8,246,6,34,100,143,27,235,11,17,64.7,11,0,193,1094,739,43,17,7,12,13,231,169,73.2,41,Matches
Jude Bellingham,eng ENG,MF,Dortmund,17-229,2003,8.9,685,14,115,404,206,35,680,18,27,66.7,19,1,512,1784,841,45,14,3,13,18,586,527,89.9,60,Matches
Lars Bender,de GER,DF,Leverkusen,31-292,1989,10.4,822,41,220,494,164,12,725,7,12,58.3,8,0,493,2272,1107,44,24,0,9,6,536,517,96.5,19,Matches
Sven Bender,de GER,DF,Leverkusen,31-292,1989,6.9,702,55,365,372,13,8,695,0,1,0.0,0,0,492,2428,1133,13,0,0,1,1,538,536,99.6,8,Matches
László Bénes,sk SVK,MF,M'Gladbach,23-157,1997,1.7,129,5,27,79,32,2,108,0,1,0.0,0,0,67,274,130,6,4,0,1,1,89,78,87.6,7,Matches
László Bénes,sk SVK,"MF,FW",Augsburg,23-157,1997,1.4,73,1,7,44,22,0,65,0,3,0.0,0,0,29,61,12,0,0,0,0,4,79,50,63.3,5,Matches
Ramy Bensebaini,dz ALG,DF,M'Gladbach,25-303,1995,9.6,660,38,234,337,118,19,577,1,6,16.7,1,0,360,1619,820,37,7,3,8,7,391,364,93.1,19,Matches
Nabil Bentaleb,dz ALG,MF,Schalke 04,26-081,1994,5.0,250,9,76,147,34,1,243,5,7,71.4,5,1,152,518,229,13,4,0,5,5,184,164,89.1,11,Matches
Bartosz Bialek,pl POL,"FW,MF",Wolfsburg,19-094,2001,2.0,84,2,11,49,30,14,83,0,3,0.0,1,0,40,188,142,3,2,1,8,3,101,56,55.4,10,Matches
Ermin Bičakčić,ba BIH,DF,Hoffenheim,31-020,1990,1.4,78,13,48,32,8,2,77,0,0,,0,0,51,344,175,4,3,0,0,0,57,56,98.2,2,Matches
