player,nationality,position,squad,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Aymen Barkok,ma MAR,"FW,MF",Eint Frankfurt,22-268,1998,7.8,16,10,4,6,6,4,18,22.2,14,178,63,35.4,26,74,78,16,1,0,15,7,23,6,0,Matches
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,21-041,2000,12.7,34,16,18,12,4,7,19,36.8,12,247,69,27.9,81,129,37,32,6,0,26,24,58,32,0,Matches
Jacob Barrett Laursen,dk DEN,DF,Arminia,26-088,1994,7.3,8,4,3,5,0,2,7,28.6,5,77,23,29.9,41,28,8,26,3,0,23,10,18,18,0,Matches
Oliver Baumann,de GER,GK,Hoffenheim,30-256,1990,19.0,0,0,0,0,0,0,0,,0,4,0,0.0,4,0,0,0,0,0,0,0,0,1,0,Matches
Julian Baumgartlinger,at AUT,MF,Leverkusen,33-042,1988,11.9,46,28,18,25,3,16,34,47.1,18,197,83,42.1,57,115,25,20,0,0,20,17,63,19,0,Matches
Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,21-196,1999,15.9,33,24,15,11,7,11,42,26.2,31,337,103,30.6,74,165,98,23,5,0,18,10,43,14,0,Matches
Noah Joel Sarenren Bazee,ng NGA,"FW,MF",Augsburg,24-176,1996,0.4,1,1,0,1,0,1,1,100.0,0,10,3,30.0,1,9,0,1,0,0,1,2,3,0,0,Matches
Ihlas Bebou,tg TOG,"FW,DF",Hoffenheim,26-296,1994,11.3,17,13,7,6,4,5,6,83.3,1,150,53,35.3,23,54,73,16,4,0,12,4,21,12,0,Matches
Sheraldo Becker,nl NED,"FW,MF",Union Berlin,26-004,1995,11.9,8,7,3,3,2,3,5,60.0,2,117,34,29.1,18,57,42,10,0,0,10,5,13,5,0,Matches
Timo Becker,de GER,DF,Schalke 04,23-325,1997,5.5,14,7,10,4,0,7,11,63.6,4,74,23,31.1,37,30,7,16,0,0,16,8,22,13,1,Matches
Brian Behrendt,de GER,DF,Arminia,29-112,1991,0.9,2,1,0,2,0,0,1,0.0,1,13,3,23.1,5,8,0,0,0,0,0,0,2,1,0,Matches
Maximilian Beier,de GER,"FW,DF",Hoffenheim,18-119,2002,0.0,0,0,0,0,0,0,0,,0,1,1,100.0,0,0,1,0,0,0,0,0,0,0,0,Matches
Ishak Belfodil,dz ALG,FW,Hoffenheim,29-032,1992,6.4,3,2,1,0,2,0,1,0.0,1,50,12,24.0,5,12,33,1,0,0,1,0,3,4,0,Matches
Stefan Bell,de GER,DF,Mainz 05,29-173,1991,4.6,10,7,8,2,0,5,9,55.6,4,37,13,35.1,15,20,2,2,2,0,0,9,19,53,1,Matches
Karim Bellarabi,de GER,"MF,FW",Leverkusen,30-311,1990,4.8,10,7,3,1,6,2,9,22.2,7,60,16,26.7,11,24,25,4,0,0,4,5,15,5,0,Matches
