player,nationality,position,squad,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,matches
Stefan Bell,de GER,DF,Mainz 05,29-173,1991,4.6,1,0,0,8,4,0,1,9,7,0,0,0,51,22,13,62.9,Matches
Karim Bellarabi,de GER,"MF,FW",Leverkusen,30-311,1990,4.8,2,0,0,13,4,9,26,5,7,0,0,0,41,1,5,16.7,Matches
Jude Bellingham,eng ENG,MF,Dortmund,17-229,2003,8.9,1,0,0,23,24,1,12,6,17,0,0,0,88,15,10,60.0,Matches
Lars Bender,de GER,DF,Leverkusen,31-292,1989,10.4,2,0,0,11,14,1,9,8,13,0,0,0,118,15,15,50.0,Matches
Sven Bender,de GER,DF,Leverkusen,31-292,1989,6.9,1,0,0,7,3,1,3,5,7,0,0,0,98,22,17,56.4,Matches
László Bénes,sk SVK,MF,M'Gladbach,23-157,1997,1.7,0,0,0,0,5,0,2,4,2,0,0,0,15,0,4,0.0,Matches
László Bénes,sk SVK,"MF,FW",Augsburg,23-157,1997,1.4,2,0,0,3,3,0,2,3,2,0,0,0,8,5,2,71.4,Matches
Ramy Bensebaini,dz ALG,DF,M'Gladbach,25-303,1995,9.6,3,0,0,20,13,2,8,20,8,0,2,0,81,29,13,69.0,Matches
Nabil Bentaleb,dz ALG,MF,Schalke 04,26-081,1994,5.0,1,0,0,8,2,0,0,3,6,0,0,0,45,4,5,44.4,Matches
Bartosz Bialek,pl POL,"FW,MF",Wolfsburg,19-094,2001,2.0,0,0,0,6,3,1,0,1,4,0,0,0,16,3,20,13.0,Matches
Ermin Bičakčić,ba BIH,DF,Hoffenheim,31-020,1990,1.4,1,0,0,2,1,0,0,1,0,0,0,0,7,5,4,55.6,Matches
Leonardo Bittencourt,de GER,"FW,MF",Werder Bremen,27-056,1993,11.5,2,0,0,19,25,7,29,12,15,1,0,0,76,9,23,28.1,Matches
Jérôme Boateng,de GER,DF,Bayern Munich,32-163,1988,15.7,4,0,0,10,4,1,8,17,12,0,0,0,148,22,11,66.7,Matches
Jean-Paul Boëtius,nl NED,"MF,FW",Mainz 05,26-328,1994,14.1,3,0,0,19,30,1,16,16,19,0,0,0,131,11,20,35.5,Matches
Melayro Bogarde,nl NED,"DF,MF",Hoffenheim,18-261,2002,3.0,1,0,0,4,10,0,0,3,5,0,1,0,41,5,3,62.5,Matches
Dennis Borkowski,de GER,MF,RB Leipzig,19-018,2002,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
Sebastiaan Bornauw,be BEL,DF,Köln,21-328,1999,17.0,2,0,0,19,9,2,0,19,16,0,2,0,130,32,33,49.2,Matches
Nassim Boujellab,ma MAR,"MF,FW",Schalke 04,21-238,1999,5.9,2,0,0,13,16,0,1,6,13,0,0,0,54,13,26,33.3,Matches
Dedryck Boyata,be BEL,DF,Hertha BSC,30-077,1990,12.8,1,0,0,7,4,0,1,12,7,0,1,0,126,29,16,64.4,Matches
Can Bozdogan,de GER,MF,Schalke 04,19-314,2001,4.5,0,0,0,5,8,0,6,3,9,0,0,1,38,0,8,0.0,Matches
Julian Brandt,de GER,"FW,MF",Dortmund,24-287,1996,10.9,0,0,0,4,11,2,22,13,12,0,0,0,84,5,14,26.3,Matches
Josip Brekalo,hr CRO,FW,Wolfsburg,22-235,1998,13.4,1,0,0,6,13,1,19,9,9,0,0,0,87,2,15,11.8,Matches
Joshua Brenet,nl NED,DF,Hoffenheim,26-330,1994,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
John Brooks,us USA,DF,Wolfsburg,28-016,1993,18.2,3,0,0,19,9,0,0,24,19,0,1,1,225,64,21,75.3,Matches
Daniel Brosinski,de GER,DF,Mainz 05,32-211,1988,11.2,0,0,0,7,1,0,37,7,5,0,0,0,91,7,14,33.3,Matches
Cédric Brunner,ch SUI,DF,Arminia,26-362,1994,16.1,3,0,0,15,18,0,25,13,22,0,0,0,184,36,21,63.2,Matches
Jacob Bruun Larsen,dk DEN,FW,Hoffenheim,22-147,1998,1.0,0,0,0,2,0,2,1,0,0,0,0,0,4,1,3,25.0,Matches
Marius Bülter,de GER,"FW,MF",Union Berlin,27-321,1993,6.7,1,0,0,9,11,1,16,2,7,0,0,0,61,11,12,47.8,Matches
Jonathan Burkardt,de GER,"FW,DF",Mainz 05,20-217,2000,9.5,0,0,0,13,28,0,9,2,7,0,0,0,73,11,34,24.4,Matches
Roman Bürki,ch SUI,GK,Dortmund,30-091,1990,16.0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,1,0.0,Matches
Daniel Caligiuri,it ITA,"MF,DF",Augsburg,33-029,1988,20.3,4,0,0,29,42,2,29,29,35,0,0,0,160,21,33,38.9,Matches
Emre Can,de GER,"DF,MF",Dortmund,27-032,1994,12.2,5,0,0,17,13,0,7,20,32,0,1,0,157,31,11,73.8,Matches
Koen Casteels,be BEL,GK,Wolfsburg,28-233,1992,19.0,0,0,0,1,2,0,0,0,0,0,1,0,98,0,0,,Matches
Gonzalo Castro,de GER,"MF,FW",Stuttgart,33-247,1987,12.8,5,0,0,10,11,1,19,4,10,0,0,0,108,7,15,31.8,Matches
Sava Cestic,de GER,DF,Köln,19-360,2001,7.3,2,0,0,10,3,0,0,21,8,0,1,0,52,15,6,71.4,Matches
Timothy Chandler,us USA,DF,Eint Frankfurt,30-321,1990,0.7,0,0,0,2,0,2,2,1,0,0,0,0,7,1,0,100.0,Matches
Kwon Chang-hoon,kr KOR,"MF,FW",Freiburg,26-228,1994,2.0,2,0,0,4,3,1,3,4,2,0,0,0,10,5,4,55.6,Matches
Tahith Chong,nl NED,"FW,MF",Werder Bremen,21-071,1999,4.3,1,0,0,13,14,0,7,3,8,0,1,0,49,1,9,10.0,Matches
Darko Churlinov,mk MKD,"DF,FW",Stuttgart,20-217,2000,0.7,0,0,0,2,2,1,1,1,1,0,0,0,7,0,3,0.0,Matches
Tim Civeja,de GER,"MF,DF",Augsburg,19-040,2002,0.4,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,,Matches
Kingsley Coman,fr FRA,"FW,MF",Bayern Munich,24-245,1996,11.4,1,0,0,11,18,3,49,6,10,0,0,0,73,6,13,31.6,Matches
Jhon Córdoba,co COL,FW,Hertha BSC,27-278,1993,10.0,3,0,0,22,23,8,9,6,2,2,1,0,30,24,44,35.3,Matches
Sergio Córdova,ve VEN,"FW,MF",Arminia,23-188,1997,9.9,0,0,0,14,16,9,7,4,11,0,0,0,65,26,34,43.3,Matches
Danny da Costa,de GER,DF,Eint Frankfurt,27-215,1993,1.2,0,0,0,2,0,0,3,0,2,0,0,0,10,1,2,33.3,Matches
Danny da Costa,de GER,DF,Mainz 05,27-215,1993,3.0,1,0,0,1,1,0,7,4,1,0,0,0,25,6,1,85.7,Matches
Douglas Costa,br BRA,"FW,MF",Bayern Munich,30-152,1990,3.6,0,0,0,7,2,3,12,3,2,0,0,0,25,2,5,28.6,Matches
Tanguy Coulibaly,fr FRA,"DF,FW",Stuttgart,19-361,2001,9.4,0,0,0,17,11,9,19,5,8,0,0,0,59,7,21,25.0,Matches
Mickaël Cuisance,fr FRA,FW,Bayern Munich,21-181,1999,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
Matheus Cunha,br BRA,"FW,MF",Hertha BSC,21-262,1999,16.7,7,0,0,37,48,3,41,24,21,1,1,0,143,11,22,33.3,Matches
Rafael Czichos,de GER,DF,Köln,30-275,1990,12.7,3,0,0,15,10,1,0,13,17,0,1,0,130,41,29,58.6,Matches
Moanes Dabour,il ISR,FW,Hoffenheim,28-275,1992,8.5,0,0,0,11,17,5,5,2,6,0,0,0,55,17,20,45.9,Matches
Finn Dahmen,de GER,GK,Mainz 05,22-323,1998,1.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,Matches
Mahmoud Dahoud,de GER,MF,Dortmund,25-043,1996,3.3,0,0,0,5,9,0,2,4,5,0,0,0,47,2,1,66.7,Matches
Leon Dajaku,de GER,FW,Union Berlin,19-307,2001,0.4,0,0,0,0,1,2,0,0,1,0,0,0,5,1,1,50.0,Matches
Márton Dárdai,de GER,DF,Hertha BSC,19-001,2002,0.2,0,0,0,1,0,0,0,1,1,0,0,0,2,0,1,0.0,Matches
