player,nationality,position,squad,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_completed,passes_offsides,passes_oob,passes_intercepted,passes_blocked,matches
Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,21-196,1999,15.9,578,540,38,15,0,114,18,11,1,1,0,0,406,71,101,54,462,23,8,8,437,3,7,17,23,Matches
Noah Joel Sarenren Bazee,ng NGA,"FW,MF",Augsburg,24-176,1996,0.4,12,11,1,0,0,2,0,0,0,0,0,0,5,4,3,1,6,2,0,1,6,0,2,0,1,Matches
Ihlas Bebou,tg TOG,"FW,DF",Hoffenheim,26-296,1994,11.3,296,283,13,0,0,72,6,19,0,0,0,0,218,45,33,27,237,12,6,2,233,0,2,7,8,Matches
Sheraldo Becker,nl NED,"FW,MF",Union Berlin,26-004,1995,11.9,315,311,4,0,1,56,12,47,0,0,0,0,175,67,73,45,236,21,2,4,197,2,10,11,17,Matches
Timo Becker,de GER,DF,Schalke 04,23-325,1997,5.5,242,190,52,1,0,26,1,6,0,0,0,0,133,69,40,15,167,6,51,0,172,2,4,9,15,Matches
Brian Behrendt,de GER,DF,Arminia,29-112,1991,0.9,56,39,17,3,0,9,5,1,0,0,0,0,17,25,14,0,37,3,14,0,41,0,1,1,2,Matches
Maximilian Beier,de GER,"FW,DF",Hoffenheim,18-119,2002,0.0,4,4,0,0,0,1,0,0,0,0,0,0,3,1,0,1,2,1,0,0,4,0,0,0,0,Matches
Ishak Belfodil,dz ALG,FW,Hoffenheim,29-032,1992,6.4,146,130,16,0,1,28,0,4,0,0,0,0,99,33,14,10,119,7,3,2,104,1,3,8,5,Matches
Stefan Bell,de GER,DF,Mainz 05,29-173,1991,4.6,139,126,13,7,0,16,3,1,0,0,0,0,79,22,38,23,92,13,6,0,107,1,3,0,5,Matches
Karim Bellarabi,de GER,"MF,FW",Leverkusen,30-311,1990,4.8,186,175,11,0,0,38,6,26,0,0,0,0,108,42,36,12,157,5,10,1,122,2,4,2,13,Matches
Jude Bellingham,eng ENG,MF,Dortmund,17-229,2003,8.9,554,548,6,6,1,60,18,12,0,0,0,0,443,61,50,58,465,16,0,3,459,2,9,15,16,Matches
Lars Bender,de GER,DF,Leverkusen,31-292,1989,10.4,707,608,99,9,1,101,14,9,0,0,0,0,448,115,144,72,502,32,90,3,588,3,4,14,22,Matches
Sven Bender,de GER,DF,Leverkusen,31-292,1989,6.9,637,629,8,8,0,51,11,3,0,0,0,0,513,46,78,107,482,29,0,6,579,0,4,3,1,Matches
László Bénes,sk SVK,MF,M'Gladbach,23-157,1997,1.7,110,86,24,15,0,10,4,2,9,2,5,2,73,11,26,87,17,5,0,1,80,1,4,2,3,Matches
László Bénes,sk SVK,"MF,FW",Augsburg,23-157,1997,1.4,59,51,8,4,0,30,2,2,4,2,1,0,29,10,20,50,0,3,0,1,35,0,1,3,3,Matches
Ramy Bensebaini,dz ALG,DF,M'Gladbach,25-303,1995,9.6,512,422,90,18,0,61,6,8,0,0,0,0,327,107,78,306,106,20,72,2,422,1,12,6,12,Matches
Nabil Bentaleb,dz ALG,MF,Schalke 04,26-081,1994,5.0,207,200,7,6,0,35,8,0,0,0,0,0,149,34,24,166,25,8,1,3,170,1,4,5,2,Matches
Bartosz Bialek,pl POL,"FW,MF",Wolfsburg,19-094,2001,2.0,52,50,2,1,0,12,2,0,0,0,0,0,27,8,17,7,32,10,0,1,35,0,1,1,5,Matches
Ermin Bičakčić,ba BIH,DF,Hoffenheim,31-020,1990,1.4,62,61,1,1,0,6,0,0,0,0,0,0,50,6,6,21,39,1,0,0,54,0,0,1,2,Matches
Leonardo Bittencourt,de GER,"FW,MF",Werder Bremen,27-056,1993,11.5,400,373,27,12,1,73,13,29,7,0,4,1,262,55,83,89,287,14,3,2,291,1,5,7,20,Matches
Jérôme Boateng,de GER,DF,Bayern Munich,32-163,1988,15.7,1169,1136,33,31,0,69,44,8,0,0,0,0,914,75,180,325,794,32,2,2,1033,3,17,8,2,Matches
Jean-Paul Boëtius,nl NED,"MF,FW",Mainz 05,26-328,1994,14.1,504,492,12,3,4,93,15,16,0,0,0,0,341,81,82,111,340,30,4,8,353,4,7,20,27,Matches
Melayro Bogarde,nl NED,"DF,MF",Hoffenheim,18-261,2002,3.0,164,147,17,4,0,18,8,0,0,0,0,0,109,30,25,11,130,7,13,1,142,0,4,6,1,Matches
Dennis Borkowski,de GER,MF,RB Leipzig,19-018,2002,0.1,7,7,0,0,0,1,0,0,0,0,0,0,6,1,0,1,5,0,0,0,5,0,0,1,0,Matches
Sebastiaan Bornauw,be BEL,DF,Köln,21-328,1999,17.0,605,576,29,14,0,62,32,0,0,0,0,0,406,63,136,74,466,53,1,1,495,2,15,3,9,Matches
Nassim Boujellab,ma MAR,"MF,FW",Schalke 04,21-238,1999,5.9,152,147,5,0,0,35,0,1,0,0,0,0,106,23,23,18,113,10,0,1,106,1,0,5,11,Matches
Dedryck Boyata,be BEL,DF,Hertha BSC,30-077,1990,12.8,796,779,17,16,0,59,31,1,0,0,0,0,666,45,85,131,614,31,1,6,705,1,11,8,7,Matches
Can Bozdogan,de GER,MF,Schalke 04,19-314,2001,4.5,129,126,3,1,1,14,1,6,0,0,0,0,97,18,14,104,14,7,2,2,97,0,4,2,4,Matches
Julian Brandt,de GER,"FW,MF",Dortmund,24-287,1996,10.9,629,604,25,6,6,79,28,22,11,1,6,0,493,80,56,111,490,10,7,7,532,1,6,17,13,Matches
Josip Brekalo,hr CRO,FW,Wolfsburg,22-235,1998,13.4,542,493,49,11,1,97,27,19,26,13,7,1,392,68,82,68,443,16,11,2,412,0,8,19,26,Matches
Joshua Brenet,nl NED,DF,Hoffenheim,26-330,1994,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,Matches
John Brooks,us USA,DF,Wolfsburg,28-016,1993,18.2,1099,1035,64,60,0,83,44,0,0,0,0,0,782,94,223,817,174,64,4,7,915,3,19,14,8,Matches
Daniel Brosinski,de GER,DF,Mainz 05,32-211,1988,11.2,564,384,180,31,0,59,24,37,26,15,8,2,229,118,217,33,381,21,123,0,366,3,10,16,20,Matches
Cédric Brunner,ch SUI,DF,Arminia,26-362,1994,16.1,855,698,157,11,0,121,13,25,0,0,0,0,473,127,255,94,551,42,146,1,632,4,15,9,20,Matches
Jacob Bruun Larsen,dk DEN,FW,Hoffenheim,22-147,1998,1.0,19,19,0,0,0,4,0,1,0,0,0,0,15,3,1,5,12,1,0,0,15,0,2,0,1,Matches
Marius Bülter,de GER,"FW,MF",Union Berlin,27-321,1993,6.7,192,185,7,0,0,40,3,16,0,0,0,0,116,50,26,60,109,8,4,3,117,2,4,4,24,Matches
Jonathan Burkardt,de GER,"FW,DF",Mainz 05,20-217,2000,9.5,264,227,37,1,0,50,0,9,0,0,0,0,164,59,41,45,172,12,29,0,186,3,3,3,18,Matches
Roman Bürki,ch SUI,GK,Dortmund,30-091,1990,16.0,529,424,105,17,0,40,14,0,0,0,0,0,361,24,144,130,310,0,1,86,434,0,11,0,2,Matches
Daniel Caligiuri,it ITA,"MF,DF",Augsburg,33-029,1988,20.3,881,698,183,59,1,147,42,29,50,22,16,5,473,165,243,112,667,12,74,6,624,7,18,18,37,Matches
Emre Can,de GER,"DF,MF",Dortmund,27-032,1994,12.2,1003,971,32,19,3,116,34,7,0,0,0,0,789,99,115,205,733,23,13,10,874,2,12,17,13,Matches
Koen Casteels,be BEL,GK,Wolfsburg,28-233,1992,19.0,728,570,158,38,0,43,17,0,0,0,0,0,390,26,312,465,131,0,0,103,548,0,13,2,1,Matches
Gonzalo Castro,de GER,"MF,FW",Stuttgart,33-247,1987,12.8,591,498,93,36,3,102,22,19,38,8,16,11,390,80,121,60,484,16,19,5,429,1,10,12,37,Matches
Sava Cestic,de GER,DF,Köln,19-360,2001,7.3,259,247,12,11,0,24,3,0,0,0,0,0,175,25,59,27,212,16,0,0,192,0,5,4,6,Matches
Timothy Chandler,us USA,DF,Eint Frankfurt,30-321,1990,0.7,34,26,8,1,0,2,0,2,0,0,0,0,17,7,10,7,18,1,7,0,24,0,0,2,1,Matches
Kwon Chang-hoon,kr KOR,"MF,FW",Freiburg,26-228,1994,2.0,58,56,2,2,0,17,0,3,0,0,0,0,37,13,8,40,11,1,0,1,45,0,1,1,1,Matches
Tahith Chong,nl NED,"FW,MF",Werder Bremen,21-071,1999,4.3,136,132,4,0,0,28,2,7,0,0,0,0,87,36,13,116,14,1,4,0,86,0,2,8,17,Matches
Darko Churlinov,mk MKD,"DF,FW",Stuttgart,20-217,2000,0.7,34,34,0,0,0,3,0,1,0,0,0,0,27,4,3,2,31,0,0,1,28,1,0,0,0,Matches
Tim Civeja,de GER,"MF,DF",Augsburg,19-040,2002,0.4,24,24,0,0,0,4,0,0,0,0,0,0,13,3,8,1,18,5,0,0,16,0,1,0,2,Matches
Kingsley Coman,fr FRA,"FW,MF",Bayern Munich,24-245,1996,11.4,482,476,6,1,5,72,21,49,1,0,0,0,326,77,79,114,336,21,4,2,389,0,10,7,18,Matches
Jhon Córdoba,co COL,FW,Hertha BSC,27-278,1993,10.0,190,169,21,0,1,51,7,9,0,0,0,0,104,55,31,16,137,9,0,12,145,1,3,1,14,Matches
Sergio Córdova,ve VEN,"FW,MF",Arminia,23-188,1997,9.9,212,207,5,1,1,60,2,7,0,0,0,0,136,46,30,22,147,17,2,7,150,0,6,9,12,Matches
Danny da Costa,de GER,DF,Eint Frankfurt,27-215,1993,1.2,49,44,5,0,0,6,1,3,0,0,0,0,31,4,14,6,33,5,5,0,34,0,2,2,4,Matches
Danny da Costa,de GER,DF,Mainz 05,27-215,1993,3.0,103,71,32,1,0,11,2,7,0,0,0,0,36,15,52,9,58,4,31,0,60,0,5,4,4,Matches
Douglas Costa,br BRA,"FW,MF",Bayern Munich,30-152,1990,3.6,187,165,22,2,1,25,10,12,20,7,5,2,121,23,43,171,14,0,0,1,129,2,4,5,17,Matches
Tanguy Coulibaly,fr FRA,"DF,FW",Stuttgart,19-361,2001,9.4,260,241,19,3,0,47,6,19,0,0,0,0,191,36,33,193,39,9,11,3,186,0,5,10,15,Matches
Mickaël Cuisance,fr FRA,FW,Bayern Munich,21-181,1999,0.2,10,10,0,0,0,2,0,0,0,0,0,0,8,2,0,9,1,0,0,0,9,0,0,0,0,Matches
Matheus Cunha,br BRA,"FW,MF",Hertha BSC,21-262,1999,16.7,551,460,91,28,2,109,51,41,46,11,20,5,332,73,146,50,462,16,11,5,371,3,12,17,28,Matches
Rafael Czichos,de GER,DF,Köln,30-275,1990,12.7,597,552,45,30,0,71,17,0,0,0,0,0,401,65,131,485,57,29,11,0,501,1,9,13,5,Matches
Moanes Dabour,il ISR,FW,Hoffenheim,28-275,1992,8.5,250,238,12,1,2,69,1,5,1,1,0,0,165,53,32,18,207,6,4,4,187,0,3,5,12,Matches
Finn Dahmen,de GER,GK,Mainz 05,22-323,1998,1.0,23,16,7,2,0,1,0,0,0,0,0,0,16,1,6,6,7,0,0,8,17,0,0,0,0,Matches
Mahmoud Dahoud,de GER,MF,Dortmund,25-043,1996,3.3,241,237,4,4,1,37,6,2,0,0,0,0,205,19,17,29,203,7,0,0,207,1,2,7,6,Matches
Leon Dajaku,de GER,FW,Union Berlin,19-307,2001,0.4,13,13,0,0,0,1,0,0,0,0,0,0,10,3,0,1,11,0,0,0,11,0,0,0,1,Matches
Márton Dárdai,de GER,DF,Hertha BSC,19-001,2002,0.2,12,11,1,1,0,1,0,0,0,0,0,0,8,0,4,12,0,0,0,0,8,0,0,0,1,Matches
Vladimír Darida,cz CZE,MF,Hertha BSC,30-189,1990,15.5,749,676,73,36,3,99,39,36,19,3,9,3,438,113,198,162,532,23,17,5,541,3,11,12,30,Matches
Alphonso Davies,ca CAN,DF,Bayern Munich,20-103,2000,8.8,632,554,78,16,0,42,4,10,0,0,0,0,504,88,40,448,105,9,62,1,558,0,9,16,12,Matches
Thomas Delaney,dk DEN,MF,Dortmund,29-163,1991,8.2,523,509,14,12,1,60,13,6,0,0,0,0,374,60,89,401,82,22,2,5,436,2,10,8,7,Matches
Kerem Demirbay,de GER,MF,Leverkusen,27-225,1993,9.7,587,518,69,25,0,96,41,13,36,12,14,5,354,75,158,462,88,21,7,2,457,6,8,15,10,Matches
Ermedin Demirović,ba BIH,FW,Freiburg,22-325,1998,8.2,151,142,9,0,2,50,0,3,0,0,0,0,96,43,12,9,106,9,1,6,90,2,1,5,11,Matches
Emmanuel Dennis,ng NGA,FW,Köln,23-090,1997,1.5,35,33,2,0,0,8,0,2,0,0,0,0,27,5,3,3,28,1,0,0,24,0,2,1,1,Matches
Mike van der Hoorn,nl NED,DF,Arminia,28-121,1992,13.9,784,761,23,23,1,113,32,0,0,0,0,0,589,48,147,106,620,28,0,0,684,3,11,10,5,Matches
Moussa Diaby,fr FRA,"FW,MF",Leverkusen,21-221,1999,18.6,652,637,15,3,1,117,20,72,1,0,1,0,465,86,101,450,182,4,9,5,488,3,12,12,46,Matches
Daniel Didavi,de GER,"FW,MF",Stuttgart,30-358,1990,7.7,305,271,34,9,2,46,6,16,12,4,4,3,207,51,47,253,28,5,11,3,225,2,7,4,13,Matches
Javairô Dilrosun,nl NED,FW,Hertha BSC,22-236,1998,3.0,108,103,5,0,0,16,1,5,2,0,0,0,76,19,13,89,11,4,3,1,81,0,1,2,5,Matches
Eren Dinkçi,de GER,FW,Werder Bremen,19-062,2001,0.1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,Matches
Ritsu Doan,jp JPN,"MF,FW",Arminia,22-242,1998,17.9,571,477,94,51,1,125,36,41,35,20,13,1,327,71,173,453,70,24,8,1,367,3,18,14,23,Matches
Ji Dong-won,kr KOR,FW,Mainz 05,29-261,1991,0.7,27,26,1,0,0,8,0,0,0,0,0,0,15,8,4,5,14,3,0,1,15,0,0,0,2,Matches
Bas Dost,nl NED,FW,Eint Frankfurt,31-258,1989,9.1,312,304,8,1,0,106,3,4,0,0,0,0,152,58,102,20,182,44,1,3,203,2,4,7,12,Matches
Aleksandar Dragović,at AUT,DF,Leverkusen,29-344,1991,8.1,791,717,74,23,1,79,30,5,0,0,0,0,596,90,105,128,576,25,49,2,693,0,12,14,10,Matches
Dominick Drexler,de GER,"MF,FW",Köln,30-263,1990,8.4,317,303,14,2,2,61,2,12,0,0,0,0,224,55,38,13,278,11,9,1,243,1,7,6,18,Matches
