,Unnamed: 0,player,nationality,position,squad,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,npxg_xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches
104,104,Daniel Didavi,de GER,"FW,MF",Stuttgart,30-358,1990,13,8,691,7.7,2,3,2,0,0,2,0,0.26,0.39,0.65,0.26,0.65,2.5,2.5,2.3,4.8,0.32,0.3,0.63,0.32,0.63,Matches
105,105,Javairô Dilrosun,nl NED,FW,Hertha BSC,22-236,1998,7,2,273,3.0,0,1,0,0,0,0,0,0.0,0.33,0.33,0.0,0.33,0.1,0.1,0.3,0.4,0.02,0.1,0.13,0.02,0.13,Matches
106,106,Eren Dinkçi,de GER,FW,Werder Bremen,19-062,2001,1,0,6,0.1,1,0,1,0,0,0,0,15.0,0.0,15.0,15.0,15.0,0.3,0.3,0.0,0.3,5.11,0.0,5.11,5.11,5.11,Matches
107,107,Ritsu Doan,jp JPN,"MF,FW",Arminia,22-242,1998,19,19,1615,17.9,3,2,3,0,0,1,0,0.17,0.11,0.28,0.17,0.28,2.6,2.6,1.9,4.5,0.14,0.11,0.25,0.14,0.25,Matches
108,108,Ji Dong-won,kr KOR,FW,Mainz 05,29-261,1991,6,0,62,0.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches
109,109,Bas Dost,nl NED,FW,Eint Frankfurt,31-258,1989,12,9,817,9.1,4,2,3,1,1,3,0,0.44,0.22,0.66,0.33,0.55,4.3,3.5,2.3,5.8,0.47,0.25,0.73,0.39,0.64,Matches
110,110,Aleksandar Dragović,at AUT,DF,Leverkusen,29-344,1991,13,7,729,8.1,1,0,1,0,0,3,0,0.12,0.0,0.12,0.12,0.12,0.2,0.2,0.4,0.6,0.02,0.05,0.07,0.02,0.07,Matches
111,111,Dominick Drexler,de GER,"MF,FW",Köln,30-263,1990,15,7,754,8.4,2,1,2,0,0,0,0,0.24,0.12,0.36,0.24,0.36,1.9,1.9,0.7,2.7,0.23,0.09,0.32,0.23,0.32,Matches
112,112,Ondrej Duda,sk SVK,"FW,MF",Köln,26-070,1994,19,19,1507,16.7,2,3,2,0,0,6,1,0.12,0.18,0.3,0.12,0.3,1.4,1.4,2.3,3.7,0.08,0.14,0.22,0.08,0.22,Matches
113,113,Erik Durm,de GER,DF,Eint Frankfurt,28-277,1992,11,11,907,10.1,0,1,0,0,0,1,0,0.0,0.1,0.1,0.0,0.1,1.1,1.1,1.7,2.8,0.11,0.17,0.28,0.11,0.28,Matches
114,114,Johannes Eggestein,de GER,"FW,MF",Werder Bremen,22-281,1998,2,0,33,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches
115,115,Maximilian Eggestein,de GER,MF,Werder Bremen,24-067,1996,19,19,1710,19.0,2,2,2,0,0,3,0,0.11,0.11,0.21,0.11,0.21,0.8,0.8,0.9,1.7,0.04,0.05,0.09,0.04,0.09,Matches
116,116,Lilian Egloff,de GER,MF,Stuttgart,18-177,2002,2,0,16,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
117,117,Kingsley Ehizibue,nl NED,DF,Köln,25-264,1995,12,8,616,6.8,0,1,0,0,0,4,0,0.0,0.15,0.15,0.0,0.15,0.3,0.3,0.6,0.9,0.05,0.09,0.14,0.05,0.14,Matches
118,118,Nico Elvedi,ch SUI,DF,M'Gladbach,24-136,1996,17,17,1485,16.5,3,0,3,0,0,0,0,0.18,0.0,0.18,0.18,0.18,1.6,1.6,0.0,1.6,0.1,0.0,0.1,0.1,0.1,Matches
119,119,Breel Embolo,ch SUI,"FW,MF",M'Gladbach,23-365,1997,17,13,1027,11.4,3,0,3,0,0,3,0,0.26,0.0,0.26,0.26,0.26,5.7,5.7,0.5,6.2,0.5,0.04,0.55,0.5,0.55,Matches
120,120,Keita Endo,jp JPN,"MF,FW",Union Berlin,23-083,1997,8,1,114,1.3,1,0,1,0,0,0,0,0.79,0.0,0.79,0.79,0.79,0.6,0.6,0.0,0.6,0.48,0.02,0.5,0.48,0.5,Matches
121,121,Wataru Endo,jp JPN,MF,Stuttgart,28-004,1993,20,20,1799,20.0,0,1,0,0,0,3,0,0.0,0.05,0.05,0.0,0.05,0.5,0.5,1.7,2.1,0.02,0.08,0.11,0.02,0.11,Matches
122,122,Patrick Erras,de GER,"FW,MF",Werder Bremen,26-023,1995,2,0,22,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
123,123,Ralf Fährmann,de GER,GK,Schalke 04,32-139,1988,13,13,1125,12.5,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
124,124,Ohis Felix Uduokhai,de GER,DF,Augsburg,23-157,1997,20,20,1800,20.0,1,0,1,0,0,3,0,0.05,0.0,0.05,0.05,0.05,0.8,0.8,0.0,0.9,0.04,0.0,0.04,0.04,0.04,Matches
125,125,Edimilson Fernandes,ch SUI,"MF,DF",Mainz 05,24-304,1996,12,9,776,8.6,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.8,1.2,0.04,0.09,0.14,0.04,0.14,Matches
126,126,Alfreð Finnbogason,is ISL,FW,Augsburg,32-012,1989,12,3,416,4.6,0,1,0,0,1,0,0,0.0,0.22,0.22,0.0,0.22,2.2,1.5,1.0,2.5,0.48,0.22,0.7,0.32,0.54,Matches
127,127,Emil Forsberg,se SWE,"FW,MF",RB Leipzig,29-113,1991,18,12,940,10.4,4,3,3,1,2,0,0,0.38,0.29,0.67,0.29,0.57,3.5,2.0,3.1,5.1,0.34,0.29,0.63,0.19,0.49,Matches
128,128,Philipp Förster,de GER,"MF,FW",Stuttgart,26-009,1995,11,5,516,5.7,1,0,1,0,0,1,0,0.17,0.0,0.17,0.17,0.17,2.3,2.3,1.0,3.3,0.41,0.17,0.58,0.41,0.58,Matches
