player,nationality,position,squad,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,gca_og_for,matches
Marcel Halstenberg,de GER,DF,RB Leipzig,29-139,1991,11.6,21,1.80,19,0,1,0,0,1,2,0.17,2,0,0,0,0,0,0,Matches
Amine Harit,ma MAR,"MF,FW",Schalke 04,23-240,1997,11.6,44,3.80,31,8,2,0,2,1,7,0.60,5,1,0,0,0,1,0,Matches
Marcel Hartel,de GER,MF,Arminia,25-025,1996,17.7,23,1.30,19,2,2,0,0,0,1,0.06,1,0,0,0,0,0,0,Matches
Makoto Hasebe,jp JPN,"DF,MF",Eint Frankfurt,37-026,1984,15.0,18,1.20,15,1,0,0,1,1,1,0.07,1,0,0,0,0,0,0,Matches
Thorgan Hazard,be BEL,"FW,DF",Dortmund,27-321,1993,1.8,5,2.73,4,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0,Matches
Jonas Hector,de GER,MF,Köln,30-262,1990,5.7,9,1.58,8,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Hwang Hee-chan,kr KOR,"FW,MF",RB Leipzig,25-018,1996,1.7,6,3.60,3,0,1,1,1,0,1,0.60,0,0,0,1,0,0,0,Matches
Dominique Heintz,de GER,DF,Freiburg,27-182,1993,8.3,4,0.48,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Benjamin Henrichs,de GER,"MF,DF",RB Leipzig,23-356,1997,3.9,4,1.03,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Lucas Hernández,fr FRA,DF,Bayern Munich,24-365,1996,9.8,15,1.54,13,0,0,0,1,1,3,0.31,2,0,0,0,1,0,0,Matches
Patrick Herrmann,de GER,FW,M'Gladbach,30-001,1991,8.9,32,3.60,19,7,3,2,1,0,2,0.23,2,0,0,0,0,0,0,Matches
Martin Hinteregger,at AUT,DF,Eint Frankfurt,28-159,1992,19.6,22,1.12,12,1,0,4,4,1,4,0.20,1,0,0,1,2,0,0,Matches
Marwin Hitz,ch SUI,GK,Dortmund,33-148,1987,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Nicolas Höfler,de GER,MF,Freiburg,30-341,1990,18.3,34,1.86,25,1,1,1,4,2,7,0.38,4,0,1,0,1,1,0,Matches
Jonas Hofmann,de GER,"FW,MF",M'Gladbach,28-214,1992,12.2,50,4.10,20,26,0,1,2,1,10,0.82,6,4,0,0,0,0,0,Matches
Marco Höger,de GER,DF,Köln,31-150,1989,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Lucas Höler,de GER,"FW,MF",Freiburg,26-218,1994,13.8,36,2.62,24,0,1,5,6,0,6,0.44,3,0,0,2,1,0,0,Matches
