player,nationality,position,squad,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_match,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,matches
Robert Skov,dk DEN,"DF,FW",Hoffenheim,24-269,1996,11,637,58,35.4,7.1,5,77,0,6,42,0,1.00,7,10,-3,-0.42,-0.11,9.2,14.6,-5.4,-0.76,-0.98,Matches
Steven Skrzybski,de GER,FW,Schalke 04,28-087,1992,9,369,41,20.5,4.1,3,84,1,6,20,4,0.33,3,10,-7,-1.71,+0.18,3.7,7.8,-4.1,-1.00,+0.43,Matches
Yann Sommer,ch SUI,GK,M'Gladbach,32-058,1988,19,"1,710",90,95.0,19.0,19,90,19,0,,0,1.63,36,30,+6,+0.32,+0.32,31.4,24.4,+7.0,+0.37,-0.59,Matches
Borna Sosa,hr CRO,DF,Stuttgart,23-023,1998,15,"1,128",75,62.7,12.5,14,78,8,1,32,2,1.40,23,19,+4,+0.32,+0.45,25.4,19.1,+6.3,+0.50,+0.39,Matches
Cebio Soukou,bj BEN,"FW,MF",Arminia,28-134,1992,11,423,38,24.7,4.7,5,71,1,6,12,5,1.18,3,6,-3,-0.64,+0.34,3.3,7.4,-4.1,-0.87,+0.01,Matches
Djibril Sow,ch SUI,MF,Eint Frankfurt,24-007,1997,16,"1,181",74,65.6,13.1,13,88,10,3,11,4,1.88,31,18,+13,+0.99,+1.14,21.2,17.5,+3.8,+0.29,-0.33,Matches
Jerry St. Juste,nl NED,DF,Mainz 05,24-117,1996,18,"1,620",90,90.0,18.0,18,90,18,0,,0,0.67,18,37,-19,-1.06,-0.06,24.2,30.1,-5.9,-0.33,+0.79,Matches
Benjamin Stambouli,fr FRA,"MF,DF",Schalke 04,30-184,1990,15,"1,260",84,70.0,14.0,15,84,13,0,,5,0.33,9,40,-31,-2.21,-1.21,10.9,30.6,-19.7,-1.41,-0.22,Matches
Niklas Stark,de GER,"MF,DF",Hertha BSC,25-305,1995,20,"1,790",90,99.4,19.9,20,90,19,0,,0,0.85,24,36,-12,-0.60,-9.60,24.2,29.3,-5.1,-0.26,-0.53,Matches
Renato Steffen,ch SUI,"FW,MF",Wolfsburg,29-102,1991,17,"1,259",74,69.9,14.0,15,80,5,2,28,0,2.00,25,12,+13,+0.93,+0.93,20.3,14.5,+5.8,+0.41,+0.23,Matches
Pascal Stenzel,de GER,DF,Stuttgart,24-330,1996,15,"1,027",68,57.1,11.4,12,78,5,3,29,4,1.40,22,19,+3,+0.26,+0.26,21.5,19.5,+1.9,+0.17,-0.43,Matches
Lars Stindl,de GER,"MF,FW",M'Gladbach,32-171,1988,20,"1,265",63,70.3,14.1,15,79,6,5,17,0,1.60,27,23,+4,+0.28,-0.05,23.1,18.7,+4.4,+0.32,-0.28,Matches
Kevin Stöger,at AUT,"MF,FW",Mainz 05,27-170,1993,11,360,33,20.0,4.0,3,75,0,8,17,5,0.55,1,5,-4,-1.00,+0.06,4.4,5.9,-1.5,-0.37,+0.04,Matches
Tobias Strobl,de GER,MF,Augsburg,30-277,1990,20,"1,247",62,66.0,13.9,14,82,9,6,16,1,1.10,14,24,-10,-0.72,-0.30,13.0,22.8,-9.8,-0.71,+0.29,Matches
Marek Suchý,cz CZE,DF,Augsburg,32-321,1988,3,169,56,8.9,1.9,2,84,1,1,1,18,1.00,2,5,-3,-1.60,-1.07,1.8,3.5,-1.7,-0.91,-0.11,Matches
Niklas Süle,de GER,DF,Bayern Munich,25-163,1995,13,894,69,49.7,9.9,9,90,9,4,21,4,2.62,35,10,+25,+2.52,+1.82,23.3,10.0,+13.2,+1.33,+1.03,Matches
Ádám Szalai,hu HUN,FW,Mainz 05,33-066,1987,7,157,22,8.7,1.7,1,79,0,6,13,0,1.00,1,1,0,0.00,+1.15,1.8,1.5,+0.3,+0.20,+0.67,Matches
Frederik Sørensen,dk DEN,DF,Köln,28-305,1992,3,99,33,5.5,1.1,1,90,1,2,5,6,0.00,1,4,-3,-2.73,-2.20,1.7,2.5,-0.9,-0.82,-0.17,Matches
Alexander Sørloth,no NOR,FW,RB Leipzig,25-070,1995,19,888,47,47.0,9.9,8,79,5,11,23,1,2.11,13,9,+4,+0.41,-0.94,17.3,9.6,+7.7,+0.78,-0.40,Matches
Jonathan Tah,de GER,DF,Leverkusen,25-002,1996,15,"1,212",81,67.3,13.5,13,89,12,2,30,5,1.60,24,14,+10,+0.74,-0.18,19.2,15.7,+3.5,+0.26,-0.17,Matches
