player,nationality,position,squad,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_completed,passes_offsides,passes_oob,passes_intercepted,passes_blocked,matches
Miguel Baeza,es ESP,"MF,FW",Celta Vigo,20-323,2000,5.1,174,164,10,3,1,38,3,5,6,3,1,0,118,27,29,139,17,9,1,2,140,0,2,6,4,Matches
Mikel Balenziaga,es ESP,DF,Athletic Club,32-350,1988,6.6,347,262,85,3,0,37,3,14,0,0,0,0,177,85,85,220,24,17,82,0,253,1,8,7,17,Matches
Sergio Barcia,es ESP,DF,Granada,20-044,2000,1.0,34,25,9,0,0,6,0,1,0,0,0,0,10,9,15,1,19,3,9,0,13,0,1,1,2,Matches
Enis Bardhi,mk MKD,MF,Levante,25-226,1995,7.0,336,305,31,5,1,55,10,16,21,6,3,1,234,36,66,55,267,8,4,2,242,9,8,10,11,Matches
Kike Barja,es ESP,"MF,FW",Osasuna,23-318,1997,6.3,198,192,6,1,0,50,9,26,0,0,0,0,112,41,45,56,120,9,4,1,139,1,10,2,15,Matches
Marc Baró Ortiz,es ESP,DF,Cádiz,21-174,1999,1.0,19,9,10,2,0,2,2,2,2,0,1,1,4,6,9,10,1,2,6,0,10,0,1,1,2,Matches
Antonio Barragán,es ESP,DF,Elche,33-246,1987,15.5,854,727,127,30,1,80,25,21,1,1,0,0,566,131,157,104,618,27,96,1,716,4,13,22,19,Matches
Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,19-048,2001,8.7,238,236,2,0,1,51,3,19,0,0,0,0,173,30,35,43,181,9,2,0,168,0,6,6,19,Matches
Marc Bartra,es ESP,DF,Betis,30-029,1991,12.8,697,655,42,35,0,64,21,3,0,0,0,0,485,51,161,49,594,26,7,5,571,3,9,5,3,Matches
Rodrigo Battaglia,ar ARG,MF,Alavés,29-216,1991,16.8,559,538,21,19,0,103,7,2,1,0,1,0,386,73,100,100,396,40,0,2,461,1,9,11,15,Matches
Jon Bautista,es ESP,"FW,MF",Real Sociedad,25-225,1995,1.9,39,34,5,0,0,12,2,2,3,2,0,1,22,6,11,11,19,3,0,0,20,0,1,0,1,Matches
Fran Beltrán,es ESP,"MF,FW",Celta Vigo,22-010,1999,8.3,338,327,11,5,0,44,7,3,3,0,2,0,270,39,29,38,288,6,2,1,312,0,5,6,5,Matches
Sergio Benito,es ESP,FW,Valladolid,21-327,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Karim Benzema,fr FRA,FW,Real Madrid,33-056,1987,19.7,726,691,35,0,6,113,8,14,1,0,0,0,591,87,48,119,580,12,1,5,599,5,17,17,27,Matches
Yuri Berchiche,es ESP,DF,Athletic Club,31-003,1990,14.2,799,643,156,24,1,81,31,47,0,0,0,0,460,217,122,580,45,29,132,1,649,3,9,20,33,Matches
Álex Berenguer,es ESP,"FW,MF",Athletic Club,25-224,1995,12.4,475,405,70,13,2,63,25,42,55,20,14,3,301,64,110,55,389,18,2,3,319,2,15,9,36,Matches
Pedro Bigas,es ESP,DF,Eibar,30-151,1990,15.6,580,516,64,26,0,75,38,6,0,0,0,0,259,79,242,245,178,81,38,4,410,4,18,6,8,Matches
Alejandro Blanco,es ESP,MF,Valencia,22-059,1998,2.9,65,64,1,0,0,9,1,1,0,0,0,0,50,7,8,49,7,6,1,1,45,0,1,1,7,Matches
Rubén Blanco,es ESP,GK,Celta Vigo,25-203,1995,16.0,554,397,157,42,0,40,11,0,0,0,0,0,294,20,240,133,349,0,0,66,389,2,12,1,0,Matches
Yann Bodiger,fr FRA,MF,Cádiz,26-004,1995,2.8,96,94,2,1,0,20,3,1,1,0,0,1,62,18,16,59,18,10,0,0,67,1,3,1,4,Matches
Yassine Bounou,ma MAR,GK,Sevilla,29-314,1991,18.0,564,418,146,33,0,37,25,0,0,0,0,0,309,26,229,354,101,0,0,73,443,1,15,3,4,Matches
Lucas Boyé,ar ARG,FW,Elche,24-351,1996,14.8,278,251,27,1,1,71,2,2,0,0,0,0,214,51,13,48,212,7,0,8,228,3,2,7,7,Matches
Martin Braithwaite,dk DEN,FW,Barcelona,29-253,1991,10.1,214,207,7,0,2,50,3,7,0,0,0,0,173,28,13,34,164,4,0,3,175,0,1,5,5,Matches
Darko Brašanac,rs SRB,"MF,FW",Osasuna,29-001,1992,2.2,65,64,1,1,0,9,0,2,0,0,0,0,50,8,7,15,42,5,0,0,47,0,5,3,4,Matches
Alvaro Bravo Jiménez,es ESP,MF,Granada,23-009,1998,0.2,11,11,0,0,0,4,0,0,0,0,0,0,5,6,0,0,8,1,0,0,8,0,1,1,0,Matches
Claudio Bravo,cl CHI,GK,Betis,37-306,1983,9.0,305,220,85,37,0,22,7,0,0,0,0,0,136,12,157,18,239,1,0,39,208,0,6,1,3,Matches
Yan Brice Eteki,cm CMR,MF,Granada,23-171,1997,6.3,131,126,5,4,0,28,1,0,0,0,0,0,79,28,24,14,98,10,0,1,95,0,5,2,5,Matches
Bryan,es ESP,FW,Sevilla,20-002,2001,0.1,7,7,0,0,0,1,0,0,0,0,0,0,5,1,1,6,0,0,0,0,5,0,0,0,1,Matches
Bryan,es ESP,"MF,FW",Eibar,20-002,2001,13.1,497,433,64,19,3,80,34,67,35,13,20,2,291,77,129,437,27,18,10,1,306,1,12,15,35,Matches
Ante Budimir,hr CRO,FW,Osasuna,29-206,1991,8.2,200,187,13,1,0,86,2,4,0,0,0,0,93,56,51,98,18,21,1,9,127,1,8,8,8,Matches
Esteban Burgos,ar ARG,DF,Eibar,29-035,1992,10.4,448,426,22,22,0,46,35,0,0,0,0,0,236,55,157,51,313,61,0,3,329,3,11,2,5,Matches
Sergio Busquets,es ESP,MF,Barcelona,32-212,1988,14.4,1360,1302,58,56,4,134,25,1,0,0,0,0,1113,102,145,215,1085,27,2,8,1241,4,15,17,7,Matches
Erick Cabaco,uy URU,DF,Getafe,25-300,1995,11.0,343,300,43,27,0,44,41,1,0,0,0,0,156,44,143,43,237,25,16,0,240,3,18,3,6,Matches
Cala,es ESP,DF,Cádiz,31-079,1989,17.1,475,441,34,33,0,50,50,0,0,0,0,0,230,48,197,54,354,47,1,1,339,1,15,6,4,Matches
Jonathan Calleri,ar ARG,FW,Osasuna,27-143,1993,11.2,249,227,22,0,0,90,6,8,0,0,0,0,122,61,66,17,146,28,0,4,150,0,6,6,13,Matches
Dani Calvo,es ESP,DF,Elche,26-318,1994,4.8,192,182,10,9,0,25,10,0,0,0,0,0,136,21,35,38,138,11,1,0,155,0,5,1,5,Matches
José Campaña,es ESP,MF,Levante,27-258,1993,8.3,504,451,53,20,3,60,18,16,30,11,4,3,352,57,95,66,410,18,3,2,387,5,16,8,18,Matches
Sergio Canales,es ESP,"MF,FW",Betis,29-363,1991,13.8,855,796,59,35,4,140,48,29,17,2,11,2,613,75,167,745,91,13,2,1,707,1,19,14,22,Matches
Ander Capa,es ESP,DF,Athletic Club,29-005,1992,18.5,932,689,243,17,1,89,17,46,0,0,0,0,462,237,233,64,588,41,226,1,702,3,28,17,42,Matches
Étienne Capoue,fr FRA,MF,Villarreal,32-217,1988,3.5,219,216,3,3,0,25,6,0,0,0,0,0,178,17,24,36,167,6,0,2,195,1,2,1,5,Matches
Isaac Carcelen,es ESP,DF,Cádiz,27-296,1993,16.0,612,480,132,23,0,89,11,19,0,0,0,0,289,133,190,55,380,50,109,4,439,6,12,19,19,Matches
Dani Cárdenas,es ESP,GK,Levante,23-322,1997,1.0,29,21,8,1,0,3,1,0,0,0,0,0,21,1,7,7,18,0,0,4,24,0,0,0,0,Matches
Marc Cardona,es ESP,"FW,MF",Osasuna,25-220,1995,0.6,28,27,1,0,0,5,0,1,0,0,0,0,12,9,7,7,16,4,1,0,17,1,1,0,2,Matches
Diego Carlos,br BRA,DF,Sevilla,27-335,1993,18.0,1124,1095,29,25,0,90,66,2,0,0,0,0,878,59,187,141,935,26,1,3,1016,3,20,6,4,Matches
Juan Carlos,es ESP,"MF,FW",Huesca,29-335,1991,3.1,90,89,1,1,0,23,0,2,0,0,0,0,72,11,7,5,78,3,0,1,68,2,1,0,4,Matches
Yannick Carrasco,be BEL,"DF,MF",Atlético Madrid,27-162,1993,10.4,484,420,64,22,3,59,18,33,21,12,5,0,349,62,73,63,389,8,21,3,364,3,10,14,17,Matches
Sergio Carreira,es ESP,DF,Celta Vigo,20-123,2000,2.9,118,94,24,0,0,16,2,4,0,0,0,0,66,25,27,7,81,4,24,1,91,0,2,2,7,Matches
Guido Carrillo,ar ARG,FW,Elche,29-264,1991,3.4,67,66,1,0,0,23,0,2,0,0,0,0,39,12,16,2,40,9,0,6,47,0,1,0,2,Matches
Dani Carvajal,es ESP,DF,Real Madrid,29-033,1992,9.2,703,589,114,13,1,51,20,16,0,0,0,0,418,178,107,42,524,22,101,8,595,2,5,12,26,Matches
William Carvalho,pt POR,MF,Betis,28-312,1992,10.8,777,760,17,17,1,114,26,2,0,0,0,0,592,81,104,122,616,22,0,0,663,1,7,12,9,Matches
Casemiro,br BRA,MF,Real Madrid,28-356,1992,17.5,1041,1012,29,27,1,141,50,7,0,0,0,0,710,155,176,120,817,55,1,10,871,5,21,10,22,Matches
Sofian Chakla,ma MAR,DF,Getafe,27-164,1993,3.0,73,68,5,2,0,6,4,0,0,0,0,0,42,13,18,3,55,10,3,0,50,1,0,1,1,Matches
Sofian Chakla,ma MAR,DF,Villarreal,27-164,1993,0.1,7,6,1,1,0,1,0,0,0,0,0,0,3,0,4,1,6,0,0,0,4,0,0,0,0,Matches
Chema,es ESP,"DF,MF",Getafe,28-347,1992,3.1,78,72,6,6,0,4,7,0,0,0,0,0,31,6,41,52,7,17,0,0,47,0,5,1,0,Matches
Denis Cheryshev,ru RUS,MF,Valencia,30-049,1990,9.0,247,241,6,1,0,48,9,23,0,0,0,0,144,55,48,185,25,20,5,3,155,1,6,5,20,Matches
Samuel Chukwueze,ng NGA,"MF,FW",Villarreal,21-267,1999,7.9,273,266,7,1,1,54,3,13,2,2,0,0,199,32,42,240,13,10,4,1,206,2,5,6,5,Matches
Víctor Chust,es ESP,DF,Real Madrid,20-345,2000,0.1,5,4,1,0,0,0,0,0,0,0,0,0,4,1,0,1,3,0,1,0,5,0,0,0,0,Matches
Cifu,es ESP,DF,Elche,30-131,1990,3.5,109,90,19,1,0,25,0,5,0,0,0,0,72,23,14,3,82,3,18,1,84,0,0,2,10,Matches
Alberto Cifuentes,es ESP,GK,Cádiz,41-260,1979,2.0,69,33,36,20,0,8,2,0,0,0,0,0,5,3,61,2,54,1,0,3,31,0,4,0,0,Matches
Carlos Clerc,es ESP,DF,Levante,28-358,1992,19.1,1072,893,179,23,1,126,28,56,5,2,0,0,631,219,222,802,60,46,151,2,840,2,30,17,43,Matches
Coke,es ESP,DF,Levante,33-293,1987,3.6,160,135,25,4,0,8,3,4,0,0,0,0,85,36,39,14,113,11,21,0,123,0,5,2,9,Matches
Francis Coquelin,fr FRA,MF,Villarreal,29-276,1991,5.5,347,339,8,7,0,45,10,3,0,0,0,0,280,32,35,52,271,15,1,2,306,2,7,5,5,Matches
Iñigo Córdoba,es ESP,MF,Alavés,23-337,1997,0.3,13,13,0,0,0,5,0,1,0,0,0,0,6,3,4,7,4,1,0,0,8,0,1,0,1,Matches
Iñigo Córdoba,es ESP,"FW,MF",Athletic Club,23-337,1997,1.1,36,36,0,0,0,6,0,1,0,0,0,0,19,7,10,18,12,3,0,1,17,0,3,2,1,Matches
