,player,nationality,position,squad,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,npxg_xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches
114,Víctor Díaz,es ESP,DF,Granada,32-246,1988,4,1,109,1.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.16,0.06,0.22,0.16,0.22,Matches
115,Papakouli Diop,sn SEN,MF,Eibar,34-331,1986,18,14,1245,13.8,0,1,0,0,0,6,2,0.0,0.07,0.07,0.0,0.07,0.3,0.3,0.7,1.0,0.02,0.05,0.07,0.02,0.07,Matches
116,Djené,tg TOG,DF,Getafe,29-044,1991,19,19,1659,18.4,0,0,0,0,0,7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
117,Marko Dmitrović,rs SRB,GK,Eibar,29-020,1992,22,22,1950,21.7,1,0,0,1,1,0,0,0.05,0.0,0.05,0.0,0.0,0.8,0.1,0.5,0.6,0.04,0.02,0.06,0.0,0.03,Matches
118,Jaume Doménech,es ESP,GK,Valencia,30-100,1990,22,22,1980,22.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
119,John Donald,es ESP,DF,Elche,20-167,2000,2,1,50,0.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
120,Idrissa Doumbia,ci CIV,MF,Huesca,22-305,1998,9,3,335,3.7,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.09,0.0,0.09,0.09,0.09,Matches
121,Domingos Duarte,pt POR,DF,Granada,25-340,1995,19,18,1559,17.3,1,0,1,0,0,4,1,0.06,0.0,0.06,0.06,0.06,1.1,1.1,0.9,2.0,0.06,0.05,0.12,0.06,0.12,Matches
122,Óscar Duarte,cr CRC,DF,Levante,31-255,1989,12,11,977,10.9,1,0,1,0,0,2,0,0.09,0.0,0.09,0.09,0.09,0.2,0.2,0.1,0.3,0.02,0.01,0.03,0.02,0.03,Matches
123,Rubén Duarte,es ESP,DF,Alavés,25-118,1995,20,19,1718,19.1,0,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0,0.4,0.4,2.0,2.4,0.02,0.1,0.12,0.02,0.12,Matches
124,Aritz Elustondo,es ESP,DF,Real Sociedad,26-322,1994,13,12,1052,11.7,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.02,0.01,0.03,0.02,0.03,Matches
125,Rodrigo Ely,br BRA,DF,Alavés,27-102,1993,8,6,468,5.2,1,0,1,0,0,1,0,0.19,0.0,0.19,0.19,0.19,0.2,0.2,0.1,0.3,0.04,0.02,0.06,0.04,0.06,Matches
126,Emerson,br BRA,DF,Betis,22-030,1999,18,18,1551,17.2,0,2,0,0,0,6,1,0.0,0.12,0.12,0.0,0.12,0.1,0.1,1.3,1.4,0.01,0.07,0.08,0.01,0.08,Matches
127,Youssef En-Nesyri,ma MAR,FW,Sevilla,23-257,1997,21,14,1328,14.8,13,0,13,0,0,1,0,0.88,0.0,0.88,0.88,0.88,8.4,8.4,1.0,9.4,0.57,0.07,0.64,0.57,0.64,Matches
128,Sergi Enrich,es ESP,FW,Eibar,30-353,1990,14,4,528,5.9,1,0,1,0,1,0,0,0.17,0.0,0.17,0.17,0.17,2.7,1.9,0.4,2.3,0.46,0.06,0.52,0.33,0.39,Matches
129,Dani Escriche,es ESP,"FW,MF",Huesca,22-326,1998,10,2,265,2.9,0,1,0,0,0,2,0,0.0,0.34,0.34,0.0,0.34,0.1,0.1,0.1,0.2,0.04,0.03,0.07,0.04,0.07,Matches
130,Sergio Escudero,es ESP,DF,Sevilla,31-164,1989,5,3,288,3.2,1,0,1,0,0,1,0,0.31,0.0,0.31,0.31,0.31,0.1,0.1,0.4,0.5,0.04,0.12,0.16,0.04,0.16,Matches
131,Alfonso Espino,uy URU,DF,Cádiz,29-039,1992,19,18,1536,17.1,0,2,0,0,0,3,0,0.0,0.12,0.12,0.0,0.12,0.1,0.1,1.1,1.2,0.01,0.06,0.07,0.01,0.07,Matches
132,Esquerdo,es ESP,MF,Valencia,22-042,1999,4,3,231,2.6,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.01,0.03,0.04,0.01,0.04,Matches
133,Pervis Estupiñán,ec ECU,DF,Villarreal,23-023,1998,16,7,694,7.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.1,1.5,0.06,0.14,0.19,0.06,0.19,Matches
134,Xabier Etxeita,es ESP,DF,Getafe,33-105,1987,10,9,878,9.8,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.7,0.05,0.02,0.07,0.05,0.07,Matches
135,Edu Expósito,es ESP,MF,Eibar,24-196,1996,21,18,1680,18.7,0,1,0,0,2,4,0,0.0,0.05,0.05,0.0,0.05,2.3,0.8,2.3,3.1,0.12,0.12,0.25,0.04,0.16,Matches
136,Fali,es ESP,"DF,MF",Cádiz,27-185,1993,19,16,1447,16.1,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.7,1.1,0.03,0.04,0.07,0.03,0.07,Matches
137,Ansu Fati,es ESP,FW,Barcelona,18-105,2002,7,6,431,4.8,4,0,4,0,0,1,0,0.84,0.0,0.84,0.84,0.84,1.8,1.8,1.4,3.2,0.37,0.29,0.66,0.37,0.66,Matches
138,Nabil Fekir,fr FRA,"MF,FW",Betis,27-210,1993,20,20,1643,18.3,1,6,0,1,3,4,0,0.05,0.33,0.38,0.0,0.33,5.5,3.2,3.0,6.2,0.3,0.17,0.47,0.17,0.34,Matches
139,Felipe,br BRA,DF,Atlético Madrid,31-273,1989,17,12,1037,11.5,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.04,0.0,0.04,0.04,0.04,Matches
140,João Félix,pt POR,FW,Atlético Madrid,21-095,1999,18,11,1066,11.8,6,4,5,1,2,3,0,0.51,0.34,0.84,0.42,0.76,4.5,3.0,3.2,6.2,0.38,0.27,0.65,0.25,0.52,Matches
141,Aitor Fernández,es ESP,GK,Levante,29-286,1991,19,19,1710,19.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
142,Álex Fernández,es ESP,MF,Cádiz,28-121,1992,20,17,1554,17.3,1,1,1,0,0,1,0,0.06,0.06,0.12,0.06,0.12,1.1,1.1,1.8,2.9,0.06,0.1,0.17,0.06,0.17,Matches
143,Álvaro Fernández,es ESP,GK,Huesca,22-306,1998,11,11,990,11.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
144,Andrés Fernández,es ESP,GK,Huesca,34-058,1986,11,11,990,11.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
145,Augusto Fernández,ar ARG,MF,Cádiz,34-309,1986,9,2,239,2.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
146,Carlos Fernández,es ESP,FW,Real Sociedad,24-267,1996,2,0,30,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.99,0.0,0.99,0.99,0.99,Matches
147,Carlos Fernández,es ESP,FW,Sevilla,24-267,1996,5,2,143,1.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.09,0.06,0.14,0.09,0.14,Matches
148,Joaquín Fernández,es ESP,DF,Valladolid,24-258,1996,14,13,1168,13.0,1,0,1,0,0,5,0,0.08,0.0,0.08,0.08,0.08,0.5,0.5,0.2,0.7,0.04,0.02,0.06,0.04,0.06,Matches
149,Fernando,br BRA,MF,Sevilla,33-203,1987,18,17,1526,17.0,0,3,0,0,0,5,0,0.0,0.18,0.18,0.0,0.18,0.1,0.1,2.1,2.1,0.0,0.12,0.13,0.0,0.13,Matches
150,David Ferreiro,es ESP,"FW,MF",Huesca,32-318,1988,21,15,1303,14.5,1,2,1,0,0,1,0,0.07,0.14,0.21,0.07,0.21,1.3,1.3,2.7,4.0,0.09,0.19,0.28,0.09,0.28,Matches
151,Facundo Ferreyra,ar ARG,FW,Celta Vigo,29-336,1991,2,0,30,0.3,1,0,1,0,0,1,0,3.0,0.0,3.0,3.0,3.0,0.7,0.7,0.0,0.7,4.32,0.0,4.32,4.32,4.32,Matches
152,Fidel,es ESP,"MF,DF",Elche,31-109,1989,15,14,1207,13.4,4,2,2,2,2,2,0,0.3,0.15,0.45,0.15,0.3,2.4,0.9,2.4,3.3,0.18,0.18,0.36,0.07,0.25,Matches
153,Junior Firpo,es ESP,DF,Barcelona,24-175,1996,4,1,150,1.7,0,1,0,0,0,0,0,0.0,0.6,0.6,0.0,0.6,0.0,0.0,0.7,0.7,0.0,0.41,0.41,0.0,0.41,Matches
154,Kingsley Fobi,gh GHA,DF,Granada,22-146,1998,1,0,45,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
155,Ramón Folch,es ESP,MF,Elche,31-132,1989,1,0,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
156,José Fontán,es ESP,DF,Celta Vigo,21-002,2000,7,4,338,3.8,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.13,0.0,0.13,0.13,0.13,Matches
157,Dimitri Foulquier,fr FRA,DF,Granada,27-327,1993,18,18,1511,16.8,0,2,0,0,0,7,0,0.0,0.12,0.12,0.0,0.12,0.2,0.2,1.1,1.3,0.01,0.07,0.08,0.01,0.08,Matches
158,Juan Foyth,ar ARG,"MF,DF",Villarreal,23-032,1998,7,4,361,4.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.04,0.04,0.0,0.04,Matches
159,Jorge de Frutos,es ESP,MF,Levante,23-359,1997,20,8,901,10.0,2,6,2,0,0,1,0,0.2,0.6,0.8,0.2,0.8,1.9,1.9,3.7,5.6,0.19,0.37,0.56,0.19,0.56,Matches
160,Ramiro Funes Mori,ar ARG,DF,Villarreal,29-345,1991,3,1,97,1.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
161,Javi Galán,es ESP,DF,Huesca,26-086,1994,22,20,1827,20.3,1,2,1,0,0,2,0,0.05,0.1,0.15,0.05,0.15,0.1,0.1,1.6,1.8,0.01,0.08,0.09,0.01,0.09,Matches
162,Enric Gallego,es ESP,FW,Osasuna,34-154,1986,14,6,606,6.7,0,1,0,0,0,1,0,0.0,0.15,0.15,0.0,0.15,1.2,1.2,0.5,1.7,0.18,0.08,0.26,0.18,0.26,Matches
163,Kévin Gameiro,fr FRA,FW,Valencia,33-280,1987,13,5,503,5.6,1,1,1,0,0,0,0,0.18,0.18,0.36,0.18,0.36,1.9,1.9,0.9,2.8,0.34,0.16,0.5,0.34,0.5,Matches
164,Aleix García,es ESP,MF,Eibar,23-230,1997,2,0,44,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches
165,Borja García,es ESP,"MF,FW",Huesca,30-103,1990,18,13,1099,12.2,1,0,1,0,0,0,0,0.08,0.0,0.08,0.08,0.08,1.2,1.2,1.1,2.4,0.1,0.09,0.2,0.1,0.2,Matches
166,Dani García,es ESP,MF,Athletic Club,30-265,1990,17,14,1212,13.5,0,1,0,0,0,4,0,0.0,0.07,0.07,0.0,0.07,0.3,0.3,0.3,0.7,0.03,0.02,0.05,0.03,0.05,Matches
167,David García,es ESP,DF,Osasuna,26-365,1994,20,20,1800,20.0,1,0,1,0,0,5,0,0.05,0.0,0.05,0.05,0.05,0.9,0.9,0.2,1.1,0.04,0.01,0.06,0.04,0.06,Matches
168,Manu García,es ESP,MF,Alavés,34-293,1986,16,4,572,6.4,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.07,0.0,0.07,0.07,0.07,Matches
169,Raúl García,es ESP,"DF,MF",Valladolid,31-289,1989,8,5,504,5.6,1,0,1,0,0,2,0,0.18,0.0,0.18,0.18,0.18,0.1,0.1,0.2,0.4,0.02,0.04,0.07,0.02,0.07,Matches
170,Raúl García,es ESP,"FW,MF",Athletic Club,34-217,1986,19,13,1077,12.0,3,1,2,1,1,7,1,0.25,0.08,0.33,0.17,0.25,3.2,2.5,0.5,3.0,0.27,0.04,0.31,0.21,0.25,Matches
171,Rubén García,es ESP,"MF,FW",Osasuna,27-214,1993,22,21,1752,19.5,3,3,2,1,1,2,0,0.15,0.15,0.31,0.1,0.26,2.6,1.9,3.2,5.1,0.13,0.17,0.3,0.1,0.26,Matches
172,Sergi García,es ESP,MF,Alavés,21-305,1999,2,0,16,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
173,Unai García,es ESP,DF,Osasuna,29-010,1992,11,9,911,10.1,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.04,0.0,0.04,0.04,0.04,Matches
174,Mario Gaspar,es ESP,DF,Villarreal,30-081,1990,15,14,1200,13.3,0,2,0,0,0,2,0,0.0,0.15,0.15,0.0,0.15,0.4,0.4,1.5,1.9,0.03,0.11,0.14,0.03,0.14,Matches
175,David Gil,es ESP,GK,Cádiz,27-033,1994,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
176,Álvaro Giménez,es ESP,"FW,MF",Cádiz,29-270,1991,11,3,407,4.5,2,1,2,0,0,0,0,0.44,0.22,0.66,0.44,0.66,1.4,1.4,0.0,1.4,0.31,0.01,0.32,0.31,0.32,Matches
177,Dani Gómez,es ESP,FW,Levante,22-198,1998,19,9,869,9.7,2,1,2,0,0,2,0,0.21,0.1,0.31,0.21,0.31,2.2,2.2,0.5,2.8,0.23,0.06,0.29,0.23,0.29,Matches
178,Maxi Gómez,uy URU,FW,Valencia,24-183,1996,19,19,1684,18.7,5,0,5,0,0,4,0,0.27,0.0,0.27,0.27,0.27,4.4,4.4,0.4,4.8,0.24,0.02,0.26,0.24,0.26,Matches
179,Moi Gómez,es ESP,"MF,FW",Villarreal,26-235,1994,19,18,1610,17.9,2,0,1,1,1,1,0,0.11,0.0,0.11,0.06,0.06,2.8,2.0,1.9,3.9,0.15,0.11,0.26,0.11,0.22,Matches
180,Papu Gómez,ar ARG,"MF,FW",Sevilla,32-364,1988,1,0,34,0.4,1,0,1,0,0,0,0,2.65,0.0,2.65,2.65,2.65,0.0,0.0,0.0,0.1,0.08,0.13,0.2,0.08,0.2,Matches
181,Sergi Gómez,es ESP,DF,Sevilla,28-322,1992,6,6,449,5.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
182,Sergio Gómez,es ESP,"FW,MF",Huesca,20-162,2000,15,2,360,4.0,0,1,0,0,0,0,0,0.0,0.25,0.25,0.0,0.25,0.4,0.4,0.6,1.0,0.09,0.15,0.24,0.09,0.24,Matches
183,Maxime Gonalons,fr FRA,MF,Granada,31-340,1989,13,11,843,9.4,0,1,0,0,0,6,1,0.0,0.11,0.11,0.0,0.11,0.1,0.1,0.5,0.5,0.01,0.05,0.06,0.01,0.06,Matches
184,Alfonso González,es ESP,MF,Celta Vigo,21-285,1999,2,0,34,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.13,0.22,0.35,0.13,0.35,Matches
185,Bruno González,es ESP,DF,Valladolid,30-265,1990,18,18,1620,18.0,1,0,1,0,0,6,0,0.06,0.0,0.06,0.06,0.06,0.3,0.3,0.0,0.3,0.02,0.0,0.02,0.02,0.02,Matches
186,Diego González,es ESP,DF,Elche,26-016,1995,12,10,825,9.2,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.02,0.01,0.02,0.02,0.02,Matches
187,Sergio González,es ESP,MF,Cádiz,23-275,1997,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches
188,Urko González,es ESP,MF,Real Sociedad,19-330,2001,1,0,2,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
189,Andoni Gorosabel,es ESP,DF,Real Sociedad,24-193,1996,18,16,1340,14.9,0,1,0,0,0,1,0,0.0,0.07,0.07,0.0,0.07,0.6,0.6,1.9,2.5,0.04,0.13,0.16,0.04,0.16,Matches
190,Antoine Griezmann,fr FRA,"FW,MF",Barcelona,29-329,1991,20,18,1442,16.0,6,4,6,0,1,2,0,0.37,0.25,0.62,0.37,0.62,8.4,7.6,2.8,10.5,0.52,0.18,0.7,0.48,0.65,Matches
191,Andrés Guardado,mx MEX,"MF,FW",Betis,34-138,1986,11,7,536,6.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.0,0.08,0.08,0.0,0.08,Matches
192,Sergi Guardiola,es ESP,FW,Valladolid,29-260,1991,16,10,964,10.7,1,2,0,1,2,1,0,0.09,0.19,0.28,0.0,0.19,4.2,2.7,1.0,3.7,0.4,0.09,0.49,0.25,0.35,Matches
193,Nemanja Gudelj,rs SRB,"MF,DF",Sevilla,29-089,1991,15,4,468,5.2,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,0.02,0.01,0.03,0.02,0.03,Matches
194,Gonçalo Guedes,pt POR,"MF,FW",Valencia,24-076,1996,17,14,1172,13.0,1,1,1,0,0,1,1,0.08,0.08,0.15,0.08,0.15,1.2,1.2,1.6,2.9,0.1,0.13,0.22,0.1,0.22,Matches
195,Ander Guevara,es ESP,MF,Real Sociedad,23-221,1997,17,14,1109,12.3,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,0.01,0.02,0.03,0.01,0.03,Matches
196,John Guidetti,se SWE,FW,Alavés,28-304,1992,4,0,65,0.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.45,0.0,0.45,0.45,0.45,Matches
197,Hugo Guillamón,es ESP,DF,Valencia,21-013,2000,13,11,1031,11.5,1,0,1,0,0,6,0,0.09,0.0,0.09,0.09,0.09,0.4,0.4,0.0,0.4,0.04,0.0,0.04,0.04,0.04,Matches
198,Jon Guridi,es ESP,MF,Real Sociedad,25-351,1995,9,5,463,5.1,0,1,0,0,0,2,0,0.0,0.19,0.19,0.0,0.19,0.7,0.7,0.6,1.3,0.14,0.12,0.26,0.14,0.26,Matches
199,Raúl Guti,es ESP,MF,Elche,24-045,1996,20,17,1538,17.1,1,0,1,0,0,2,0,0.06,0.0,0.06,0.06,0.06,0.7,0.7,0.0,0.7,0.04,0.0,0.04,0.04,0.04,Matches
200,Marcos Mauro López Gutiérrez,ar ARG,DF,Cádiz,30-035,1991,12,12,947,10.5,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.2,0.02,0.01,0.02,0.02,0.02,Matches
201,Munir El Haddadi,es ESP,FW,Sevilla,25-165,1995,17,5,544,6.0,3,1,3,0,0,1,0,0.5,0.17,0.66,0.5,0.66,2.9,2.9,1.3,4.2,0.48,0.21,0.69,0.48,0.69,Matches
202,Eden Hazard,be BEL,FW,Real Madrid,30-037,1991,8,6,376,4.2,2,1,2,0,0,0,0,0.48,0.24,0.72,0.48,0.72,1.2,1.2,0.5,1.7,0.29,0.11,0.41,0.29,0.41,Matches
203,Mario Hermoso,es ESP,DF,Atlético Madrid,25-240,1995,15,15,1336,14.8,1,1,1,0,0,4,0,0.07,0.07,0.13,0.07,0.13,0.3,0.3,0.1,0.4,0.02,0.01,0.03,0.02,0.03,Matches
204,Aridane Hernández,gq EQG,DF,Osasuna,31-327,1989,12,12,946,10.5,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.6,0.01,0.05,0.06,0.01,0.06,Matches
205,Héctor Herrera,mx MEX,MF,Atlético Madrid,30-300,1990,8,4,367,4.1,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.01,0.06,0.06,0.01,0.06,Matches
206,Sergio Herrera,es ESP,GK,Osasuna,27-253,1993,20,19,1788,19.9,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
207,Yangel Herrera,ve VEN,MF,Granada,23-037,1998,19,15,1384,15.4,2,1,2,0,0,6,0,0.13,0.07,0.2,0.13,0.2,1.0,1.0,0.8,1.8,0.06,0.05,0.12,0.06,0.12,Matches
208,Pablo Hervías,es ESP,"DF,FW",Valladolid,27-342,1993,20,9,994,11.0,0,4,0,0,0,1,0,0.0,0.36,0.36,0.0,0.36,0.4,0.4,2.4,2.8,0.04,0.22,0.26,0.04,0.26,Matches
209,Jordan Holsgrove,sco SCO,MF,Celta Vigo,21-156,1999,2,0,76,0.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.1,Matches
210,Vicente Iborra,es ESP,MF,Villarreal,33-028,1988,13,10,928,10.3,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.3,0.02,0.02,0.03,0.02,0.03,Matches
211,Oussama Idrissi,ma MAR,"FW,MF",Sevilla,24-353,1996,3,0,27,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.96,0.0,0.96,0.96,0.96,Matches
212,Borja Iglesias,es ESP,FW,Betis,28-027,1993,15,5,554,6.2,3,0,3,0,0,2,0,0.49,0.0,0.49,0.49,0.49,2.0,2.0,0.2,2.2,0.32,0.04,0.36,0.32,0.36,Matches
213,Juan Iglesias,es ESP,DF,Getafe,22-225,1998,2,1,94,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches
214,Asier Illarramendi,es ESP,MF,Real Sociedad,30-342,1990,2,2,107,1.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches
215,Pablo Insua,es ESP,DF,Huesca,27-157,1993,9,8,722,8.0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.01,0.0,0.01,Matches
216,Takashi Inui,jp JPN,"MF,FW",Eibar,32-256,1988,19,18,1401,15.6,1,0,1,0,0,0,0,0.06,0.0,0.06,0.06,0.06,2.0,2.0,1.5,3.5,0.13,0.1,0.23,0.13,0.23,Matches
217,Alexander Isak,se SWE,FW,Real Sociedad,21-145,1999,18,14,1165,12.9,8,2,8,0,0,3,0,0.62,0.15,0.77,0.62,0.77,7.4,7.4,1.5,8.9,0.57,0.12,0.69,0.57,0.69,Matches
218,Isco,es ESP,MF,Real Madrid,28-298,1992,13,3,394,4.4,0,1,0,0,0,0,0,0.0,0.23,0.23,0.0,0.23,0.9,0.9,0.5,1.3,0.2,0.1,0.3,0.2,0.3,Matches
219,Jairo Izquierdo,es ESP,"DF,MF",Cádiz,27-114,1993,15,8,797,8.9,1,0,1,0,0,3,0,0.11,0.0,0.11,0.11,0.11,0.5,0.5,0.2,0.7,0.05,0.03,0.08,0.05,0.08,Matches
220,Saidy Janko,ch SUI,DF,Valladolid,25-114,1995,5,2,205,2.3,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.01,0.06,0.07,0.01,0.07,Matches
221,Adnan Januzaj,be BEL,"FW,MF",Real Sociedad,26-008,1995,13,5,421,4.7,2,2,1,1,1,1,0,0.43,0.43,0.86,0.21,0.64,2.8,2.1,1.4,3.5,0.61,0.31,0.91,0.45,0.75,Matches
222,Jason,es ESP,"MF,DF",Valencia,26-222,1994,14,4,419,4.7,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.6,0.7,0.03,0.12,0.15,0.03,0.15,Matches
223,Luis Javier Suárez,co COL,"FW,MF",Granada,23-073,1997,19,13,1169,13.0,5,0,5,0,0,4,0,0.38,0.0,0.38,0.38,0.38,4.5,4.5,1.0,5.5,0.34,0.08,0.42,0.34,0.42,Matches
224,Ángel Jiménez,es ESP,GK,Granada,18-236,2002,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
225,Joaquín,es ESP,"FW,MF",Betis,39-207,1981,15,11,808,9.0,1,4,1,0,0,0,0,0.11,0.45,0.56,0.11,0.56,0.8,0.8,2.0,2.8,0.09,0.22,0.31,0.09,0.31,Matches
226,Frenkie de Jong,nl NED,"MF,DF",Barcelona,23-277,1997,21,19,1778,19.8,3,3,3,0,0,4,0,0.15,0.15,0.3,0.15,0.3,2.9,2.9,2.4,5.3,0.15,0.12,0.27,0.15,0.27,Matches
227,Luuk de Jong,nl NED,FW,Sevilla,30-170,1990,18,7,687,7.6,2,0,2,0,0,2,0,0.26,0.0,0.26,0.26,0.26,1.5,1.5,0.7,2.2,0.19,0.09,0.29,0.19,0.29,Matches
228,Jony,es ESP,"MF,FW",Osasuna,29-219,1991,13,7,597,6.6,0,1,0,0,0,0,0,0.0,0.15,0.15,0.0,0.15,0.4,0.4,1.8,2.3,0.07,0.28,0.34,0.07,0.34,Matches
229,Joan Jordán,es ESP,MF,Sevilla,26-222,1994,20,17,1405,15.6,1,5,1,0,0,4,1,0.06,0.32,0.38,0.06,0.38,1.1,1.1,1.7,2.9,0.07,0.11,0.18,0.07,0.18,Matches
230,Josan,es ESP,"MF,DF",Elche,31-072,1989,20,18,1395,15.5,4,2,4,0,0,2,0,0.26,0.13,0.39,0.26,0.39,1.4,1.4,0.9,2.3,0.09,0.06,0.15,0.09,0.15,Matches
231,Willian José,br BRA,FW,Real Sociedad,29-082,1991,13,8,689,7.7,3,1,3,0,1,0,0,0.39,0.13,0.52,0.39,0.52,4.3,3.5,0.9,4.4,0.56,0.11,0.67,0.46,0.58,Matches
