,player,nationality,position,squad,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,npxg_xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches
25,Sergio Asenjo,es ESP,GK,Villarreal,31-230,1989,22,22,1980,22.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
26,Marco Asensio,es ESP,FW,Real Madrid,25-023,1996,20,12,1099,12.2,2,2,2,0,0,1,0,0.16,0.16,0.33,0.16,0.33,2.4,2.4,1.8,4.2,0.19,0.15,0.34,0.19,0.34,Matches
27,Iago Aspas,es ESP,FW,Celta Vigo,33-196,1987,20,20,1736,19.3,9,6,6,3,3,5,0,0.47,0.31,0.78,0.31,0.62,8.8,6.5,5.3,11.8,0.48,0.29,0.77,0.35,0.64,Matches
28,Miguel Atienza,es ESP,"MF,FW",Eibar,21-262,1999,2,1,112,1.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
29,Ramon Azeez,ng NGA,"MF,DF",Granada,28-063,1992,2,1,101,1.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.15,0.0,0.15,0.15,0.15,Matches
30,Carlos Bacca,co COL,FW,Villarreal,34-158,1986,13,3,304,3.4,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.8,1.2,0.12,0.22,0.35,0.12,0.35,Matches
31,Édgar Badía,es ESP,GK,Elche,29-001,1992,21,21,1890,21.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
32,Alejandro Baena,es ESP,MF,Villarreal,19-208,2001,1,1,45,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
33,Miguel Baeza,es ESP,"MF,FW",Celta Vigo,20-323,2000,17,4,458,5.1,1,0,1,0,0,0,0,0.2,0.0,0.2,0.2,0.2,1.5,1.5,0.6,2.1,0.3,0.12,0.42,0.3,0.42,Matches
34,Mikel Balenziaga,es ESP,DF,Athletic Club,32-350,1988,10,5,591,6.6,0,1,0,0,0,0,0,0.0,0.15,0.15,0.0,0.15,0.0,0.0,0.1,0.1,0.0,0.01,0.01,0.0,0.01,Matches
35,Sergio Barcia,es ESP,DF,Granada,20-044,2000,1,1,90,1.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
