player,nationality,position,squad,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_match,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,matches
Néstor Araujo,mx MEX,DF,Celta Vigo,29-168,1991,21,"1,615",77,78.0,17.9,17,87,16,4,33,2,1.33,22,25,-3,-0.17,+0.23,21.3,16.6,+4.7,+0.28,+0.13,Matches
Ronald Araújo,uy URU,DF,Barcelona,21-343,1999,12,936,78,49.5,10.4,11,81,9,1,46,4,2.50,20,8,+12,+1.15,+0.02,23.2,9.4,+13.8,+1.33,+0.64,Matches
Anaitz Arbilla,es ESP,DF,Eibar,33-274,1987,18,"1,383",77,69.8,15.4,15,90,15,3,11,0,0.94,12,19,-7,-0.46,-0.46,17.0,19.5,-2.6,-0.17,+0.27,Matches
Roberto Olabe del Arco,es ESP,MF,Eibar,24-284,1996,0,,,,,0,,0,0,,13,,,,,,,,,,,,Matches
Unai Arietaleanizbeaskoa,es ESP,"FW,MF",Eibar,22-043,1999,3,39,13,2.0,0.4,0,,0,3,13,6,0.00,0,1,-1,-2.31,-2.03,0.4,1.1,-0.8,-1.75,-1.53,Matches
Sergio Arribas,es ESP,FW,Real Madrid,19-136,2001,3,46,15,2.3,0.5,0,,0,3,15,1,1.33,2,0,+2,+3.91,+3.08,0.5,0.1,+0.4,+0.77,+0.18,Matches
Sergio Asenjo,es ESP,GK,Villarreal,31-230,1989,22,"1,980",90,100.0,22.0,22,90,22,0,,0,1.64,31,22,+9,+0.41,,31.7,19.1,+12.6,+0.57,,Matches
Marco Asensio,es ESP,FW,Real Madrid,25-023,1996,20,"1,099",55,55.5,12.2,12,73,1,8,28,0,2.10,25,12,+13,+1.06,+0.35,19.1,12.9,+6.3,+0.51,-0.17,Matches
Iago Aspas,es ESP,FW,Celta Vigo,33-196,1987,20,"1,736",87,83.9,19.3,20,87,15,0,,0,1.40,27,25,+2,+0.10,+1.99,25.9,18.5,+7.4,+0.40,+0.91,Matches
Miguel Atienza,es ESP,"MF,FW",Eibar,21-262,1999,2,112,56,5.7,1.2,1,90,1,1,22,5,0.50,0,1,-1,-0.80,-0.51,0.4,1.3,-0.8,-0.66,-0.44,Matches
Gaizka Ayesa,es ESP,GK,Real Sociedad,19-317,2001,0,,,,,0,,0,0,,13,,,,,,,,,,,,Matches
Ramon Azeez,ng NGA,"MF,DF",Granada,28-063,1992,2,101,51,5.1,1.1,1,90,1,1,11,9,1.50,1,6,-5,-4.46,-4.22,0.9,3.2,-2.2,-2.00,-1.70,Matches
Carlos Bacca,co COL,FW,Villarreal,34-158,1986,13,304,23,15.4,3.4,3,55,0,10,14,3,1.62,2,3,-1,-0.30,-0.83,5.4,3.7,+1.7,+0.50,-0.09,Matches
Édgar Badía,es ESP,GK,Elche,29-001,1992,21,"1,890",90,100.0,21.0,21,90,21,0,,0,0.86,19,31,-12,-0.57,,15.1,34.6,-19.5,-0.98,,Matches
Alejandro Baena,es ESP,MF,Villarreal,19-208,2001,1,45,45,2.3,0.5,1,45,0,0,,21,1.00,0,0,0,0.00,-0.42,0.1,0.0,0.0,+0.10,-0.49,Matches
Miguel Baeza,es ESP,"MF,FW",Celta Vigo,20-323,2000,17,458,27,22.1,5.1,4,53,0,13,19,6,1.47,4,12,-8,-1.57,-1.74,6.6,6.9,-0.3,-0.07,-0.41,Matches
