player,nationality,position,squad,age,birth_year,minutes_90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
Alejandro Baena,es ESP,MF,Villarreal,19-208,2001,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Miguel Baeza,es ESP,"MF,FW",Celta Vigo,20-323,2000,5.1,1,10,2,20.0,1.97,0.39,0.10,0.50,14.0,0,0,0,1.5,1.5,0.17,-0.5,-0.5,Matches
Mikel Balenziaga,es ESP,DF,Athletic Club,32-350,1988,6.6,0,1,0,0.0,0.15,0.00,0.00,,30.1,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Sergio Barcia,es ESP,DF,Granada,20-044,2000,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Enis Bardhi,mk MKD,MF,Levante,25-226,1995,7.0,0,21,10,47.6,2.99,1.42,0.00,0.00,19.0,3,0,0,1.8,1.8,0.09,-1.8,-1.8,Matches
Kike Barja,es ESP,"MF,FW",Osasuna,23-318,1997,6.3,0,7,4,57.1,1.12,0.64,0.00,0.00,14.9,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches
Marc Baró Ortiz,es ESP,DF,Cádiz,21-174,1999,1.0,0,1,1,100.0,1.00,1.00,0.00,0.00,23.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Antonio Barragán,es ESP,DF,Elche,33-246,1987,15.5,0,4,0,0.0,0.26,0.00,0.00,,14.4,0,0,0,0.5,0.5,0.13,-0.5,-0.5,Matches
Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,19-048,2001,8.7,2,14,5,35.7,1.61,0.58,0.14,0.40,17.7,0,0,0,1.3,1.3,0.09,+0.7,+0.7,Matches
Marc Bartra,es ESP,DF,Betis,30-029,1991,12.8,0,11,4,36.4,0.86,0.31,0.00,0.00,18.0,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Rodrigo Battaglia,ar ARG,MF,Alavés,29-216,1991,16.8,0,9,1,11.1,0.53,0.06,0.00,0.00,14.4,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
Jon Bautista,es ESP,"FW,MF",Real Sociedad,25-225,1995,1.9,0,3,1,33.3,1.54,0.51,0.00,0.00,15.6,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
Fran Beltrán,es ESP,"MF,FW",Celta Vigo,22-010,1999,8.3,2,13,5,38.5,1.56,0.60,0.15,0.40,18.7,0,0,0,1.2,1.2,0.10,+0.8,+0.8,Matches
Sergio Benito,es ESP,FW,Valladolid,21-327,1999,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Karim Benzema,fr FRA,FW,Real Madrid,33-056,1987,19.7,11,69,26,37.7,3.51,1.32,0.16,0.42,15.0,2,0,0,9.7,9.7,0.14,+1.3,+1.3,Matches
Yuri Berchiche,es ESP,DF,Athletic Club,31-003,1990,14.2,0,13,4,30.8,0.92,0.28,0.00,0.00,18.8,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
Álex Berenguer,es ESP,"FW,MF",Athletic Club,25-224,1995,12.4,3,24,6,25.0,1.93,0.48,0.13,0.50,17.4,2,0,0,2.3,2.3,0.09,+0.7,+0.7,Matches
Pedro Bigas,es ESP,DF,Eibar,30-151,1990,15.6,0,7,0,0.0,0.45,0.00,0.00,,15.5,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
Alejandro Blanco,es ESP,MF,Valencia,22-059,1998,2.9,0,2,0,0.0,0.70,0.00,0.00,,16.6,0,0,0,0.3,0.3,0.16,-0.3,-0.3,Matches
Rubén Blanco,es ESP,GK,Celta Vigo,25-203,1995,16.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Yann Bodiger,fr FRA,MF,Cádiz,26-004,1995,2.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Yassine Bounou,ma MAR,GK,Sevilla,29-314,1991,18.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Lucas Boyé,ar ARG,FW,Elche,24-351,1996,14.8,4,20,9,45.0,1.36,0.61,0.20,0.44,16.8,0,0,0,2.1,2.1,0.11,+1.9,+1.9,Matches
Martin Braithwaite,dk DEN,FW,Barcelona,29-253,1991,10.1,2,19,7,36.8,1.88,0.69,0.11,0.29,11.5,0,0,1,4.7,4.0,0.22,-2.7,-2.0,Matches
Darko Brašanac,rs SRB,"MF,FW",Osasuna,29-001,1992,2.2,1,3,2,66.7,1.36,0.91,0.33,0.50,17.8,0,0,0,0.6,0.6,0.21,+0.4,+0.4,Matches
Alvaro Bravo Jiménez,es ESP,MF,Granada,23-009,1998,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Claudio Bravo,cl CHI,GK,Betis,37-306,1983,9.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Yan Brice Eteki,cm CMR,MF,Granada,23-171,1997,6.3,0,1,1,100.0,0.16,0.16,0.00,0.00,7.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Bryan,es ESP,FW,Sevilla,20-002,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
