player,nationality,position,squad,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,matches
Alejandro Baena,es ESP,MF,Villarreal,19-208,2001,0.5,22,0,1,11,14,0,22,0,0,,0,0,16,50,28,3,3,0,0,3,23,18,78.3,11,Matches
Miguel Baeza,es ESP,"MF,FW",Celta Vigo,20-323,2000,5.1,230,7,45,104,95,16,221,1,5,20.0,1,0,154,724,343,18,4,2,7,10,225,170,75.6,22,Matches
Mikel Balenziaga,es ESP,DF,Athletic Club,32-350,1988,6.6,409,15,92,223,110,4,326,0,2,0.0,1,0,205,897,404,16,5,1,5,8,238,221,92.9,10,Matches
Sergio Barcia,es ESP,DF,Granada,20-044,2000,1.0,46,7,26,17,3,0,37,0,0,,0,0,13,46,14,0,0,0,0,0,12,11,91.7,0,Matches
Enis Bardhi,mk MKD,MF,Levante,25-226,1995,7.0,432,11,56,206,207,25,399,13,20,65.0,13,0,310,1545,947,52,23,3,14,15,367,304,82.8,58,Matches
Kike Barja,es ESP,"MF,FW",Osasuna,23-318,1997,6.3,278,6,42,120,133,16,272,18,31,58.1,19,0,218,1193,707,47,4,4,13,15,298,196,65.8,35,Matches
Marc Baró Ortiz,es ESP,DF,Cádiz,21-174,1999,1.0,28,2,8,11,11,1,18,1,1,100.0,1,0,10,86,42,3,1,1,0,0,6,4,66.7,0,Matches
Antonio Barragán,es ESP,DF,Elche,33-246,1987,15.5,973,91,454,436,136,7,849,5,8,62.5,5,1,574,2474,1446,43,17,1,7,5,696,657,94.4,20,Matches
Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,19-048,2001,8.7,380,5,52,161,195,28,378,21,37,56.8,25,1,303,1606,902,47,13,7,28,31,357,262,73.4,51,Matches
Marc Bartra,es ESP,DF,Betis,30-029,1991,12.8,831,103,451,390,35,11,794,5,5,100.0,5,0,493,2283,1124,29,6,1,3,3,529,525,99.2,3,Matches
Rodrigo Battaglia,ar ARG,MF,Alavés,29-216,1991,16.8,697,44,215,445,74,12,682,8,12,66.7,9,0,439,2479,1195,43,9,0,11,13,457,418,91.5,12,Matches
Jon Bautista,es ESP,"FW,MF",Real Sociedad,25-225,1995,1.9,64,1,3,32,35,9,59,1,2,50.0,1,0,37,172,87,7,2,1,5,7,95,40,42.1,14,Matches
Fran Beltrán,es ESP,"MF,FW",Celta Vigo,22-010,1999,8.3,413,12,86,260,88,8,402,9,11,81.8,10,0,299,1377,568,20,4,0,8,12,363,290,79.9,20,Matches
Sergio Benito,es ESP,FW,Valladolid,21-327,1999,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Matches
Karim Benzema,fr FRA,FW,Real Madrid,33-056,1987,19.7,917,20,78,406,489,142,880,28,39,71.8,29,3,661,3277,1872,105,34,29,34,22,1133,775,68.4,172,Matches
Yuri Berchiche,es ESP,DF,Athletic Club,31-003,1990,14.2,929,33,212,485,292,36,781,12,20,60.0,12,0,583,3299,1875,87,24,11,11,17,612,552,90.2,28,Matches
Álex Berenguer,es ESP,"FW,MF",Athletic Club,25-224,1995,12.4,645,9,78,229,382,43,577,23,47,48.9,25,2,402,2053,1328,72,26,10,17,24,577,435,75.4,81,Matches
Pedro Bigas,es ESP,DF,Eibar,30-151,1990,15.6,733,64,332,365,68,11,673,4,5,80.0,4,1,295,1820,866,19,5,1,4,3,329,313,95.1,5,Matches
Alejandro Blanco,es ESP,MF,Valencia,22-059,1998,2.9,112,6,30,44,44,9,111,1,3,33.3,1,0,67,403,221,13,1,0,9,7,93,69,74.2,10,Matches
Rubén Blanco,es ESP,GK,Celta Vigo,25-203,1995,16.0,580,527,579,1,0,0,425,0,0,,0,0,316,1417,759,0,0,0,0,0,310,310,100.0,0,Matches
Yann Bodiger,fr FRA,MF,Cádiz,26-004,1995,2.8,132,5,31,80,32,5,130,0,3,0.0,0,0,70,445,250,12,1,0,3,8,101,77,76.2,6,Matches
Yassine Bounou,ma MAR,GK,Sevilla,29-314,1991,18.0,605,543,601,4,0,0,460,1,1,100.0,1,0,315,1246,458,0,0,0,0,0,291,289,99.3,0,Matches
Lucas Boyé,ar ARG,FW,Elche,24-351,1996,14.8,510,14,44,348,146,35,484,29,50,58.0,29,0,356,1087,437,26,5,5,71,41,636,358,56.3,76,Matches
Martin Braithwaite,dk DEN,FW,Barcelona,29-253,1991,10.1,314,8,27,120,182,57,306,7,9,77.8,7,0,214,917,484,32,7,10,20,18,415,251,60.5,76,Matches
Darko Brašanac,rs SRB,"MF,FW",Osasuna,29-001,1992,2.2,85,4,13,37,39,9,84,0,0,,0,0,51,270,124,7,2,2,4,5,75,53,70.7,12,Matches
Alvaro Bravo Jiménez,es ESP,MF,Granada,23-009,1998,0.2,11,0,4,7,2,0,11,0,0,,0,0,5,15,6,0,0,0,0,0,9,8,88.9,0,Matches
Claudio Bravo,cl CHI,GK,Betis,37-306,1983,9.0,330,281,330,1,0,0,247,2,2,100.0,2,0,173,696,418,0,0,0,0,0,162,162,100.0,0,Matches
Yan Brice Eteki,cm CMR,MF,Granada,23-171,1997,6.3,185,11,60,113,14,1,182,2,2,100.0,2,0,92,307,94,1,1,0,3,5,92,80,87.0,4,Matches
Bryan,es ESP,FW,Sevilla,20-002,2001,0.1,10,0,1,6,3,1,10,0,0,,0,0,6,30,28,2,0,1,0,1,9,8,88.9,0,Matches
Bryan,es ESP,"MF,FW",Eibar,20-002,2001,13.1,685,9,65,247,428,43,627,37,64,57.8,41,5,503,3127,1779,109,25,17,28,33,667,455,68.2,62,Matches
Ante Budimir,hr CRO,FW,Osasuna,29-206,1991,8.2,314,10,25,152,153,51,302,3,6,50.0,4,2,146,579,301,19,8,5,26,13,472,228,48.3,55,Matches
Esteban Burgos,ar ARG,DF,Eibar,29-035,1992,10.4,550,72,270,295,17,11,526,1,1,100.0,1,0,260,1828,960,16,2,1,0,0,269,258,95.9,1,Matches
Sergio Busquets,es ESP,MF,Barcelona,32-212,1988,14.4,1471,33,281,959,301,7,1428,7,8,87.5,7,0,1000,3305,1707,75,26,2,10,5,1223,1169,95.6,26,Matches
Erick Cabaco,uy URU,DF,Getafe,25-300,1995,11.0,461,42,213,248,24,4,420,3,4,75.0,3,0,202,1116,626,12,4,0,2,1,198,189,95.5,2,Matches
Cala,es ESP,DF,Cádiz,31-079,1989,17.1,648,107,352,316,24,14,616,3,4,75.0,4,0,288,1741,769,14,4,0,4,1,314,293,93.3,4,Matches
Jonathan Calleri,ar ARG,FW,Osasuna,27-143,1993,11.2,424,9,33,213,197,61,402,13,26,50.0,14,1,240,952,528,34,7,9,31,36,579,297,51.3,73,Matches
Dani Calvo,es ESP,DF,Elche,26-318,1994,4.8,243,41,165,86,4,2,235,0,0,,0,0,128,753,420,7,0,0,0,2,155,151,97.4,1,Matches
José Campaña,es ESP,MF,Levante,27-258,1993,8.3,618,11,112,328,236,17,568,24,46,52.2,27,3,450,2337,1223,62,30,0,12,17,486,440,90.5,48,Matches
Sergio Canales,es ESP,"MF,FW",Betis,29-363,1991,13.8,952,9,107,534,386,40,894,17,23,73.9,18,1,734,4186,2158,100,40,8,16,16,849,754,88.8,63,Matches
Ander Capa,es ESP,DF,Athletic Club,29-005,1992,18.5,1119,57,298,579,326,22,880,15,38,39.5,15,1,566,3630,2379,109,41,6,12,17,660,565,85.6,41,Matches
Étienne Capoue,fr FRA,MF,Villarreal,32-217,1988,3.5,251,11,58,183,18,1,248,2,3,66.7,2,0,156,622,184,9,2,0,3,2,197,191,97.0,1,Matches
Isaac Carcelen,es ESP,DF,Cádiz,27-296,1993,16.0,816,74,303,374,165,6,685,16,22,72.7,18,1,351,1533,854,33,11,4,3,11,372,327,87.9,18,Matches
Dani Cárdenas,es ESP,GK,Levante,23-322,1997,1.0,32,23,31,1,0,0,24,0,0,,0,0,18,57,30,0,0,0,0,0,15,15,100.0,0,Matches
Marc Cardona,es ESP,"FW,MF",Osasuna,25-220,1995,0.6,32,2,7,16,9,3,31,1,1,100.0,1,0,19,72,29,1,0,1,0,0,42,22,52.4,5,Matches
Diego Carlos,br BRA,DF,Sevilla,27-335,1993,18.0,1255,195,674,595,30,16,1228,7,7,100.0,7,0,890,3282,1419,15,1,0,2,0,962,947,98.4,3,Matches
Juan Carlos,es ESP,"MF,FW",Huesca,29-335,1991,3.1,146,0,16,84,67,14,146,3,4,75.0,4,1,111,996,506,20,12,3,9,17,126,105,83.3,22,Matches
Yannick Carrasco,be BEL,"DF,MF",Atlético Madrid,27-162,1993,10.4,623,13,103,271,307,47,563,23,43,53.5,25,3,446,2761,1761,99,31,23,17,19,515,409,79.4,51,Matches
Sergio Carreira,es ESP,DF,Celta Vigo,20-123,2000,2.9,144,9,53,70,34,3,121,1,2,50.0,1,0,69,393,205,11,6,0,2,0,97,84,86.6,5,Matches
Guido Carrillo,ar ARG,FW,Elche,29-264,1991,3.4,85,3,6,59,26,10,84,0,1,0.0,0,0,45,188,60,3,2,0,4,0,115,68,59.1,11,Matches
Dani Carvajal,es ESP,DF,Real Madrid,29-033,1992,9.2,812,41,253,361,246,20,700,9,14,64.3,9,0,481,2127,1194,52,20,5,11,6,554,517,93.3,29,Matches
William Carvalho,pt POR,MF,Betis,28-312,1992,10.8,871,24,153,630,132,9,856,11,12,91.7,12,0,598,2241,1087,41,8,0,6,19,731,695,95.1,23,Matches
Casemiro,br BRA,MF,Real Madrid,28-356,1992,17.5,1257,98,420,735,173,19,1230,10,13,76.9,10,2,721,3172,1755,50,17,2,7,15,906,827,91.3,33,Matches
Sofian Chakla,ma MAR,DF,Getafe,27-164,1993,3.0,107,16,71,38,2,1,103,0,0,,0,0,43,279,155,3,0,0,0,0,38,36,94.7,1,Matches
Sofian Chakla,ma MAR,DF,Villarreal,27-164,1993,0.1,10,1,5,5,1,1,9,0,0,,0,0,4,11,2,0,0,0,0,0,5,5,100.0,1,Matches
Chema,es ESP,"DF,MF",Getafe,28-347,1992,3.1,104,14,52,53,0,0,98,0,0,,0,0,34,163,64,3,0,0,0,0,34,34,100.0,0,Matches
Denis Cheryshev,ru RUS,MF,Valencia,30-049,1990,9.0,362,12,60,153,178,38,356,7,15,46.7,10,0,221,1213,739,44,16,5,18,11,351,248,70.7,63,Matches
Samuel Chukwueze,ng NGA,"MF,FW",Villarreal,21-267,1999,7.9,376,4,30,183,201,42,369,22,42,52.4,24,0,315,2011,1296,81,19,17,23,7,377,293,77.7,72,Matches
Víctor Chust,es ESP,DF,Real Madrid,20-345,2000,0.1,5,1,5,0,0,0,4,0,0,,0,0,3,9,2,0,0,0,0,0,3,3,100.0,0,Matches
Cifu,es ESP,DF,Elche,30-131,1990,3.5,141,8,49,74,28,1,122,2,4,50.0,2,0,71,363,207,11,4,0,1,4,79,66,83.5,5,Matches
Alberto Cifuentes,es ESP,GK,Cádiz,41-260,1979,2.0,73,54,73,0,0,0,37,0,0,,0,0,22,164,90,0,0,0,0,0,19,19,100.0,0,Matches
Carlos Clerc,es ESP,DF,Levante,28-358,1992,19.1,1256,55,402,566,373,23,1086,22,33,66.7,24,1,735,4142,2362,95,35,7,14,10,803,731,91.0,60,Matches
Coke,es ESP,DF,Levante,33-293,1987,3.6,218,23,84,100,40,4,195,2,4,50.0,2,0,109,358,174,10,3,0,4,1,132,116,87.9,2,Matches
Francis Coquelin,fr FRA,MF,Villarreal,29-276,1991,5.5,404,18,97,248,80,10,396,7,8,87.5,7,0,292,1109,518,15,7,0,3,6,306,288,94.1,16,Matches
Iñigo Córdoba,es ESP,MF,Alavés,23-337,1997,0.3,22,0,3,11,11,2,22,0,0,,0,0,11,46,18,1,0,0,1,2,15,13,86.7,3,Matches
Iñigo Córdoba,es ESP,"FW,MF",Athletic Club,23-337,1997,1.1,49,0,12,19,20,2,49,1,3,33.3,1,0,26,94,62,2,1,0,1,0,48,31,64.6,4,Matches
Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,25-341,1995,12.4,582,11,82,257,275,74,565,26,45,57.8,28,3,442,1456,772,52,18,14,25,33,606,427,70.5,118,Matches
Rober Correa,es ESP,DF,Eibar,28-146,1992,7.5,415,21,131,222,84,7,334,7,8,87.5,7,2,173,1056,475,25,11,0,7,1,169,154,91.1,9,Matches
Thierry Correia,pt POR,DF,Valencia,21-341,1999,11.2,764,50,269,356,189,8,659,17,31,54.8,22,3,436,2039,1169,51,13,2,9,9,461,426,92.4,16,Matches
