player,nationality,position,squad,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Miguel Baeza,es ESP,"MF,FW",Celta Vigo,20-323,2000,5.1,9,5,4,5,0,4,7,57.1,3,81,18,22.2,31,39,11,2,0,0,2,6,15,3,0,Matches
Mikel Balenziaga,es ESP,DF,Athletic Club,32-350,1988,6.6,14,8,6,8,0,5,8,62.5,3,79,26,32.9,27,39,13,11,2,0,9,5,19,17,0,Matches
Sergio Barcia,es ESP,DF,Granada,20-044,2000,1.0,2,0,2,0,0,0,0,,0,12,0,0.0,7,5,0,2,1,0,1,1,3,7,0,Matches
Enis Bardhi,mk MKD,MF,Levante,25-226,1995,7.0,11,7,5,2,4,5,16,31.3,11,118,35,29.7,31,48,39,9,0,0,9,7,18,5,0,Matches
Kike Barja,es ESP,"MF,FW",Osasuna,23-318,1997,6.3,6,3,5,1,0,2,6,33.3,4,96,37,38.5,23,39,34,6,1,0,5,7,13,6,0,Matches
Marc Baró Ortiz,es ESP,DF,Cádiz,21-174,1999,1.0,2,1,2,0,0,0,2,0.0,2,13,2,15.4,8,5,0,2,0,0,2,3,5,1,1,Matches
Antonio Barragán,es ESP,DF,Elche,33-246,1987,15.5,16,7,14,2,0,6,15,40.0,9,104,22,21.2,67,28,9,23,6,0,17,17,33,37,1,Matches
Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,19-048,2001,8.7,13,10,3,6,4,3,10,30.0,7,161,48,29.8,30,60,71,21,1,0,20,4,17,1,0,Matches
Marc Bartra,es ESP,DF,Betis,30-029,1991,12.8,21,9,12,8,1,8,17,47.1,9,153,53,34.6,74,70,9,23,4,0,19,18,39,60,2,Matches
Rodrigo Battaglia,ar ARG,MF,Alavés,29-216,1991,16.8,34,21,17,15,2,10,27,37.0,17,284,85,29.9,108,149,27,25,9,0,16,9,43,23,0,Matches
Jon Bautista,es ESP,"FW,MF",Real Sociedad,25-225,1995,1.9,4,3,0,3,1,0,3,0.0,3,36,8,22.2,2,18,16,4,2,0,2,0,4,0,0,Matches
