player,nationality,position,squad,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,matches
Rodrigo Battaglia,ar ARG,MF,Alavés,29-216,1991,16.8,5,1,0,19,19,1,2,9,21,0,0,0,158,28,12,70.0,Matches
Jon Bautista,es ESP,"FW,MF",Real Sociedad,25-225,1995,1.9,0,0,0,6,2,2,2,0,3,0,0,0,9,7,16,30.4,Matches
Fran Beltrán,es ESP,"MF,FW",Celta Vigo,22-010,1999,8.3,3,0,0,9,5,0,3,7,10,0,0,0,69,4,7,36.4,Matches
Sergio Benito,es ESP,FW,Valladolid,21-327,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Karim Benzema,fr FRA,FW,Real Madrid,33-056,1987,19.7,1,0,0,13,19,19,14,6,4,0,0,0,61,14,19,42.4,Matches
Yuri Berchiche,es ESP,DF,Athletic Club,31-003,1990,14.2,3,0,0,17,25,1,47,13,15,1,0,0,147,18,10,64.3,Matches
Álex Berenguer,es ESP,"FW,MF",Athletic Club,25-224,1995,12.4,3,0,0,22,15,10,42,6,12,0,0,0,62,10,16,38.5,Matches
Pedro Bigas,es ESP,DF,Eibar,30-151,1990,15.6,1,0,0,20,5,0,6,16,12,0,2,0,202,54,23,70.1,Matches
Alejandro Blanco,es ESP,MF,Valencia,22-059,1998,2.9,1,0,0,3,5,1,1,2,0,0,0,0,18,1,2,33.3,Matches
Rubén Blanco,es ESP,GK,Celta Vigo,25-203,1995,16.0,0,0,0,0,1,0,0,0,0,0,0,0,68,0,0,,Matches
Yann Bodiger,fr FRA,MF,Cádiz,26-004,1995,2.8,0,0,0,9,3,0,1,6,2,0,0,0,29,10,15,40.0,Matches
Yassine Bounou,ma MAR,GK,Sevilla,29-314,1991,18.0,1,0,0,0,0,0,0,0,0,0,0,1,76,0,0,,Matches
Lucas Boyé,ar ARG,FW,Elche,24-351,1996,14.8,5,1,1,52,17,7,2,8,12,0,0,0,56,8,56,12.5,Matches
