,player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,minutes_90s,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,pens_save_pct,matches
17,Bernd Leno,de GER,GK,Arsenal,28-351,1992,23,23,"2,051",22.8,24,1.05,78,58,70.5,10,4,9,8,34.8,2,1,1,0,50.0,Matches
18,Hugo Lloris,fr FRA,GK,Tottenham,34-054,1986,23,23,"2,070",23.0,25,1.09,87,70,78.2,10,6,7,7,30.4,6,6,0,0,0.0,Matches
19,Emiliano Martínez,ar ARG,GK,Aston Villa,28-169,1992,22,22,"1,980",22.0,24,1.09,105,81,79.0,11,3,8,12,54.5,3,2,1,0,33.3,Matches
20,Alex McCarthy,eng ENG,GK,Southampton,31-077,1989,22,22,"1,980",22.0,39,1.77,94,59,62.8,7,5,10,7,31.8,4,4,0,0,0.0,Matches
21,Edouard Mendy,sn SEN,GK,Chelsea,28-354,1992,19,19,"1,710",19.0,15,0.79,46,34,71.7,10,4,5,10,52.6,2,2,0,0,0.0,Matches
22,Illan Meslier,fr FRA,GK,Leeds United,20-353,2000,22,22,"1,980",22.0,41,1.86,116,82,70.7,10,2,10,7,31.8,7,7,0,0,0.0,Matches
23,Robin Olsen,se SWE,GK,Everton,31-041,1990,5,5,450,5.0,8,1.6,20,12,65.0,2,1,2,1,20.0,1,1,0,0,0.0,Matches
24,Rui Patrício,pt POR,GK,Wolves,33-003,1988,24,24,"2,160",24.0,32,1.33,74,49,64.9,8,6,10,6,25.0,7,6,1,0,14.3,Matches
25,Bailey Peacock-Farrell,nir NIR,GK,Burnley,24-112,1996,1,1,90,1.0,5,5.0,7,2,28.6,0,0,1,0,0.0,0,0,0,0,,Matches
26,Jordan Pickford,eng ENG,GK,Everton,26-348,1994,18,18,"1,620",18.0,25,1.39,77,51,68.8,9,3,6,3,16.7,2,1,0,1,0.0,Matches
27,Nick Pope,eng ENG,GK,Burnley,28-305,1992,23,23,"2,070",23.0,25,1.09,110,88,80.0,7,6,10,8,34.8,3,3,0,0,0.0,Matches
28,Aaron Ramsdale,eng ENG,GK,Sheffield Utd,22-280,1998,24,24,"2,160",24.0,40,1.67,119,80,68.1,3,2,19,1,4.2,3,2,0,1,0.0,Matches
29,Darren Randolph,ie IRL,GK,West Ham,33-282,1987,1,1,90,1.0,0,0.0,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
30,Marek Rodák,sk SVK,GK,Fulham,24-067,1996,1,1,90,1.0,3,3.0,5,2,40.0,0,0,1,0,0.0,0,0,0,0,,Matches
31,Mathew Ryan,au AUS,GK,Arsenal,28-316,1992,1,1,90,1.0,1,1.0,8,7,87.5,0,0,1,0,0.0,0,0,0,0,,Matches
32,Mathew Ryan,au AUS,GK,Brighton,28-316,1992,11,11,990,11.0,19,1.73,30,16,50.0,2,4,5,2,18.2,4,4,0,0,0.0,Matches
33,Robert Sánchez,es ESP,GK,Brighton,23-092,1997,13,13,"1,170",13.0,11,0.85,41,33,78.0,3,7,3,6,46.2,3,2,0,1,0.0,Matches
34,Kasper Schmeichel,dk DEN,GK,Leicester City,34-105,1986,24,24,"2,160",24.0,26,1.08,91,64,72.5,14,4,6,9,37.5,1,1,0,0,0.0,Matches
35,Zack Steffen,us USA,GK,Manchester City,25-322,1995,1,1,90,1.0,1,1.0,2,1,50.0,1,0,0,0,0.0,0,0,0,0,,Matches
0,Oliver Baumann,de GER,GK,Hoffenheim,30-256,1990,19,19,"1,710",19.0,36,1.89,87,54,63.2,6,3,10,3,15.8,7,4,2,1,33.3,Matches
1,Roman Bürki,ch SUI,GK,Dortmund,30-091,1990,16,16,"1,440",16.0,26,1.62,72,48,66.7,7,2,7,4,25.0,2,2,0,0,0.0,Matches
2,Koen Casteels,be BEL,GK,Wolfsburg,28-233,1992,19,19,"1,710",19.0,18,0.95,62,47,74.2,10,7,2,8,42.1,3,2,1,0,33.3,Matches
3,Finn Dahmen,de GER,GK,Mainz 05,22-323,1998,1,1,90,1.0,5,5.0,11,7,63.6,0,0,1,0,0.0,1,1,0,0,0.0,Matches
4,Ralf Fährmann,de GER,GK,Schalke 04,32-139,1988,13,13,"1,125",12.5,35,2.8,83,52,60.2,1,2,10,1,7.7,2,2,0,0,0.0,Matches
5,Rafał Gikiewicz,pl POL,GK,Augsburg,33-110,1987,21,21,"1,890",21.0,35,1.67,104,75,71.2,6,4,11,4,19.0,8,5,2,1,28.6,Matches
6,Péter Gulácsi,hu HUN,GK,RB Leipzig,30-283,1990,21,21,"1,890",21.0,18,0.86,52,33,67.3,13,5,3,10,47.6,1,1,0,0,0.0,Matches
7,Marwin Hitz,ch SUI,GK,Dortmund,33-148,1987,4,4,360,4.0,3,0.75,9,6,66.7,3,0,1,2,50.0,0,0,0,0,,Matches
8,Timo Horn,de GER,GK,Köln,27-277,1993,20,20,"1,749",19.4,32,1.65,85,59,69.4,5,6,9,3,15.0,7,6,1,0,14.3,Matches
9,Lukáš Hrádecký,fi FIN,GK,Leverkusen,31-081,1989,20,20,"1,800",20.0,21,1.05,55,37,63.6,10,5,5,5,25.0,2,1,1,0,50.0,Matches
10,Rune Jarstein,no NOR,GK,Hertha BSC,36-137,1984,2,2,180,2.0,4,2.0,11,8,72.7,0,0,2,0,0.0,2,1,1,0,50.0,Matches
11,Loris Karius,de GER,GK,Union Berlin,27-236,1993,1,0,22,0.2,0,0.0,1,1,100.0,0,0,0,0,,0,0,0,0,,Matches
12,Gregor Kobel,ch SUI,GK,Stuttgart,23-069,1997,20,20,"1,800",20.0,34,1.7,98,66,68.4,6,7,7,2,10.0,4,3,1,0,25.0,Matches
13,Michael Langer,at AUT,GK,Schalke 04,36-038,1985,1,1,90,1.0,3,3.0,9,7,66.7,0,0,1,0,0.0,0,0,0,0,,Matches
14,Andreas Luthe,de GER,GK,Union Berlin,33-340,1987,20,20,"1,778",19.8,25,1.27,74,50,68.9,7,8,5,4,20.0,2,2,0,0,0.0,Matches
15,Florian Müller,de GER,GK,Freiburg,23-092,1997,20,20,"1,800",20.0,33,1.65,97,67,68.0,8,6,6,3,15.0,3,2,1,0,33.3,Matches
16,Manuel Neuer,de GER,GK,Bayern Munich,34-323,1986,20,20,"1,800",20.0,26,1.3,83,57,69.9,15,3,2,5,25.0,2,1,0,1,0.0,Matches
17,Stefan Ortega,de GER,GK,Arminia,28-099,1992,19,19,"1,710",19.0,32,1.68,99,70,69.7,5,2,12,5,26.3,3,2,1,0,33.3,Matches
18,Jiří Pavlenka,cz CZE,GK,Werder Bremen,28-305,1992,19,19,"1,710",19.0,27,1.42,78,54,67.9,5,7,7,3,15.8,4,2,2,0,50.0,Matches
19,Philipp Pentke,de GER,GK,Hoffenheim,35-288,1985,1,1,90,1.0,1,1.0,2,1,50.0,0,1,0,0,0.0,0,0,0,0,,Matches
20,Pavao Pervan,at AUT,GK,Wolfsburg,33-092,1987,1,1,90,1.0,1,1.0,7,5,85.7,0,1,0,0,0.0,0,0,0,0,,Matches
21,Frederik Rønnow,dk DEN,GK,Schalke 04,28-193,1992,7,6,585,6.5,14,2.15,45,35,77.8,0,3,3,0,0.0,4,4,0,0,0.0,Matches
22,Alexander Schwolow,de GER,GK,Hertha BSC,28-256,1992,18,18,"1,620",18.0,32,1.78,69,42,60.9,4,5,9,5,27.8,5,5,0,0,0.0,Matches
23,Tobias Sippel,de GER,GK,M'Gladbach,32-328,1988,1,1,90,1.0,1,1.0,2,1,50.0,0,1,0,0,0.0,0,0,0,0,,Matches
24,Yann Sommer,ch SUI,GK,M'Gladbach,32-058,1988,19,19,"1,710",19.0,30,1.58,65,40,61.5,8,7,4,3,15.8,5,5,0,0,0.0,Matches
25,Kevin Trapp,de GER,GK,Eint Frankfurt,30-220,1990,20,20,"1,800",20.0,29,1.45,79,55,68.4,9,9,2,2,10.0,4,4,0,0,0.0,Matches
26,Robin Zentner,de GER,GK,Mainz 05,26-108,1994,19,19,"1,710",19.0,35,1.84,99,68,68.7,3,4,12,2,10.5,5,4,0,1,0.0,Matches
27,Ron-Robert Zieler,de GER,GK,Köln,32-001,1989,1,0,51,0.6,1,1.76,2,2,100.0,0,0,0,0,,1,1,0,0,0.0,Matches
0,Sergio Asenjo,es ESP,GK,Villarreal,31-230,1989,22,22,"1,980",22.0,23,1.05,56,39,66.1,8,12,2,6,27.3,4,4,0,0,0.0,Matches
1,Édgar Badía,es ESP,GK,Elche,29-001,1992,21,21,"1,890",21.0,31,1.48,96,67,70.8,3,9,9,4,19.0,6,3,2,1,40.0,Matches
2,Rubén Blanco,es ESP,GK,Celta Vigo,25-203,1995,16,16,"1,440",16.0,24,1.5,55,32,58.2,6,5,5,4,25.0,1,1,0,0,0.0,Matches
3,Yassine Bounou,ma MAR,GK,Sevilla,29-314,1991,18,18,"1,620",18.0,13,0.72,55,45,78.2,11,3,4,8,44.4,3,1,2,0,66.7,Matches
4,Claudio Bravo,cl CHI,GK,Betis,37-306,1983,9,9,810,9.0,16,1.78,37,23,62.2,4,1,4,3,33.3,3,2,1,0,33.3,Matches
5,Dani Cárdenas,es ESP,GK,Levante,23-322,1997,1,1,90,1.0,1,1.0,4,3,75.0,0,1,0,0,0.0,0,0,0,0,,Matches
6,Alberto Cifuentes,es ESP,GK,Cádiz,41-260,1979,2,2,180,2.0,3,1.5,6,3,50.0,1,0,1,1,50.0,0,0,0,0,,Matches
7,Thibaut Courtois,be BEL,GK,Real Madrid,28-278,1992,22,22,"1,980",22.0,19,0.86,61,48,78.7,14,4,4,9,40.9,8,6,2,0,25.0,Matches
8,Marko Dmitrović,rs SRB,GK,Eibar,29-020,1992,22,22,"1,950",21.7,25,1.15,76,51,69.7,4,8,10,7,31.8,4,2,1,1,33.3,Matches
9,Jaume Doménech,es ESP,GK,Valencia,30-100,1990,22,22,"1,980",22.0,30,1.36,96,70,71.9,5,9,8,4,18.2,4,3,1,0,25.0,Matches
10,Aitor Fernández,es ESP,GK,Levante,29-286,1991,19,19,"1,710",19.0,28,1.47,76,49,65.8,6,8,5,1,5.3,2,2,0,0,0.0,Matches
11,Álvaro Fernández,es ESP,GK,Huesca,22-306,1998,11,11,990,11.0,15,1.36,45,30,68.9,2,3,6,2,18.2,1,1,0,0,0.0,Matches
12,Andrés Fernández,es ESP,GK,Huesca,34-058,1986,11,11,990,11.0,17,1.55,37,22,62.2,0,7,4,2,18.2,3,3,0,0,0.0,Matches
13,David Gil,es ESP,GK,Cádiz,27-033,1994,1,1,90,1.0,2,2.0,3,1,33.3,0,0,1,0,0.0,0,0,0,0,,Matches
14,Sergio Herrera,es ESP,GK,Osasuna,27-253,1993,20,19,"1,788",19.9,26,1.31,69,48,68.1,5,5,9,5,26.3,7,4,2,1,33.3,Matches
15,Ángel Jiménez,es ESP,GK,Granada,18-236,2002,1,1,90,1.0,2,2.0,7,6,85.7,0,0,1,0,0.0,2,1,1,0,50.0,Matches
16,Jeremías Ledesma,ar ARG,GK,Cádiz,28-000,1993,19,19,"1,710",19.0,30,1.58,72,45,63.9,5,6,8,5,26.3,4,4,0,0,0.0,Matches
17,Jordi Masip,es ESP,GK,Valladolid,32-041,1989,16,16,"1,440",16.0,23,1.44,67,46,70.1,4,6,6,2,12.5,3,3,0,0,0.0,Matches
18,Neto,br BRA,GK,Barcelona,31-209,1989,6,6,540,6.0,6,1.0,19,14,78.9,2,2,2,2,33.3,2,2,0,0,0.0,Matches
