player,nationality,position,squad,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
Alessandro Bastoni,it ITA,DF,Inter,21-306,1999,17.6,1181,1317,89.7,23975,6473,392,413,94.9,581,618,94.0,187,257,72.8,2,1.2,+0.8,6,102,9,1,75,Matches
Simone Bastoni,it ITA,DF,Spezia,24-100,1996,9.8,494,626,78.9,9417,3339,223,246,90.7,182,221,82.4,82,126,65.1,4,2.3,+1.7,15,30,12,3,42,Matches
Bastos,ao ANG,DF,Lazio,29-323,1991,0.7,39,42,92.9,647,160,18,20,90.0,16,17,94.1,3,3,100.0,0,0.0,0.0,0,1,2,0,2,Matches
Rodrigo Becão,br BRA,DF,Udinese,25-025,1996,18.5,696,795,87.5,13748,4705,235,259,90.7,357,384,93.0,96,131,73.3,0,0.0,0.0,2,48,1,0,29,Matches
Valon Behrami,ch SUI,MF,Genoa,35-300,1985,5.3,94,127,74.0,1416,518,47,63,74.6,35,47,74.5,7,10,70.0,0,0.0,0.0,1,11,1,0,14,Matches
Andrea Belotti,it ITA,FW,Torino,27-055,1993,19.8,314,442,71.0,5136,1160,171,206,83.0,107,151,70.9,27,43,62.8,5,4.7,+0.3,22,20,29,3,41,Matches
Ahmad Benali,ly LBY,MF,Crotone,29-006,1992,6.5,383,444,86.3,6774,1771,172,185,93.0,166,185,89.7,36,51,70.6,0,0.4,-0.4,5,34,9,2,34,Matches
Ismaël Bennacer,dz ALG,MF,Milan,23-074,1997,7.4,429,494,86.8,8044,2515,183,196,93.4,179,194,92.3,57,84,67.9,1,0.4,+0.6,3,42,8,1,42,Matches
Rodrigo Bentancur,uy URU,MF,Juventus,23-253,1997,13.6,924,1026,90.1,18450,4655,345,370,93.2,428,461,92.8,141,177,79.7,2,1.3,+0.7,14,96,12,3,95,Matches
Domenico Berardi,it ITA,"FW,MF",Sassuolo,26-196,1994,14.4,522,692,75.4,10042,2918,222,260,85.4,208,240,86.7,80,148,54.1,4,2.4,+1.6,30,35,51,7,98,Matches
Álex Berenguer,es ESP,MF,Torino,25-224,1995,1.5,32,47,68.1,516,128,19,27,70.4,10,12,83.3,2,7,28.6,0,0.0,0.0,0,2,1,0,3,Matches
Bartosz Bereszyński,pl POL,DF,Sampdoria,28-216,1992,14.5,569,714,79.7,9817,3859,263,300,87.7,247,297,83.2,51,87,58.6,0,0.2,-0.2,1,27,9,4,46,Matches
Federico Bernardeschi,it ITA,"MF,DF",Juventus,26-363,1994,4.8,169,224,75.4,2846,916,78,94,83.0,62,74,83.8,18,35,51.4,1,0.7,+0.3,9,13,7,2,13,Matches
Daniel Bessa,it ITA,MF,Hellas Verona,28-030,1993,0.7,28,33,84.8,533,112,17,18,94.4,4,5,80.0,6,9,66.7,1,0.4,+0.6,3,0,1,1,3,Matches
Cristiano Biraghi,it ITA,DF,Fiorentina,28-165,1992,18.9,814,1171,69.5,14995,6126,363,406,89.4,332,441,75.3,104,278,37.4,4,4.8,-0.8,38,57,29,22,77,Matches
Davide Biraschi,it ITA,DF,Genoa,26-226,1994,4.5,214,280,76.4,3939,1433,75,87,86.2,114,138,82.6,19,42,45.2,0,0.1,-0.1,1,13,2,1,15,Matches
Jeremie Boga,ci CIV,"FW,MF",Sassuolo,24-041,1997,10.8,339,387,87.6,4733,838,220,245,89.8,95,102,93.1,14,16,87.5,2,0.5,+1.5,7,11,11,0,27,Matches
Giacomo Bonaventura,it ITA,MF,Fiorentina,31-175,1989,13.8,470,572,82.2,8194,1673,221,242,91.3,183,213,85.9,52,90,57.8,2,3.0,-1.0,18,38,19,6,42,Matches
Federico Bonazzoli,it ITA,FW,Torino,23-268,1997,3.5,58,67,86.6,1133,156,23,28,82.1,23,26,88.5,11,12,91.7,2,0.7,+1.3,3,3,3,0,4,Matches
Federico Bonazzoli,it ITA,FW,Sampdoria,23-268,1997,1.5,20,28,71.4,347,63,9,13,69.2,9,12,75.0,2,2,100.0,1,0.9,+0.1,2,4,1,0,2,Matches
Kevin Bonifazi,it ITA,DF,Udinese,24-270,1996,11.6,499,555,89.9,10483,3657,138,151,91.4,284,299,95.0,71,95,74.7,0,0.0,0.0,0,26,2,0,19,Matches
Leonardo Bonucci,it ITA,DF,Juventus,33-288,1987,17.2,1053,1169,90.1,24583,7902,231,241,95.9,590,620,95.2,225,295,76.3,0,0.6,-0.6,3,66,4,1,59,Matches
Mehdi Bourabia,ma MAR,MF,Sassuolo,29-190,1991,5.2,281,331,84.9,4617,907,149,161,92.5,102,116,87.9,22,36,61.1,0,0.6,-0.6,4,30,2,0,15,Matches
Gleison Bremer,br BRA,DF,Torino,23-332,1997,17.0,813,938,86.7,17722,5641,221,236,93.6,432,461,93.7,147,213,69.0,0,0.3,-0.3,4,39,2,0,39,Matches
Marcelo Brozović,hr CRO,MF,Inter,28-089,1992,14.9,1058,1218,86.9,21587,6269,373,414,90.1,489,534,91.6,185,244,75.8,6,3.1,+2.9,29,120,22,8,112,Matches
Gastón Brugman,uy URU,MF,Parma,28-159,1992,8.6,412,504,81.7,9061,2176,122,146,83.6,204,230,88.7,81,116,69.8,1,1.1,-0.1,8,31,5,0,46,Matches
Juan Brunetta,ar ARG,"FW,MF",Parma,23-277,1997,2.3,65,84,77.4,1354,286,24,28,85.7,29,35,82.9,11,18,61.1,1,0.2,+0.8,4,6,2,0,4,Matches
Gianluigi Buffon,it ITA,GK,Juventus,43-016,1978,4.0,120,136,88.2,2542,1317,36,36,100.0,60,60,100.0,22,38,57.9,0,0.0,0.0,0,1,0,0,0,Matches
Alessandro Buongiorno,it ITA,DF,Torino,21-252,1999,3.8,185,211,87.7,3588,913,64,70,91.4,95,101,94.1,24,37,64.9,0,0.0,0.0,0,15,0,0,12,Matches
Maxime Busi,be BEL,DF,Parma,21-122,1999,6.2,321,384,83.6,6325,2633,121,131,92.4,151,170,88.8,45,72,62.5,0,0.2,-0.2,1,30,6,1,46,Matches
Martín Cáceres,uy URU,DF,Fiorentina,33-312,1987,13.1,537,658,81.6,11160,3759,175,202,86.6,265,298,88.9,89,137,65.0,0,0.3,-0.3,6,48,9,5,53,Matches
Felipe Caicedo,ec ECU,FW,Lazio,32-161,1988,8.3,144,201,71.6,2060,415,90,111,81.1,37,56,66.1,10,16,62.5,0,0.2,-0.2,5,18,1,0,10,Matches
Arturo Calabresi,it ITA,"DF,FW",Bologna,24-333,1996,0.2,4,6,66.7,110,74,0,0,,3,4,75.0,1,2,50.0,0,0.0,0.0,0,1,0,0,0,Matches
Davide Calabria,it ITA,DF,Milan,24-069,1996,20.5,952,1216,78.3,18067,7413,404,447,90.4,396,486,81.5,133,241,55.2,1,1.4,-0.4,15,100,21,6,121,Matches
