player,nationality,position,squad,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,gca_og_for,matches
Rodrigo Becão,br BRA,DF,Udinese,25-025,1996,18.5,9,0.49,8,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Valon Behrami,ch SUI,MF,Genoa,35-300,1985,5.3,5,0.95,4,0,0,0,1,0,1,0.19,0,0,0,0,1,0,0,Matches
Andrea Belotti,it ITA,FW,Torino,27-055,1993,19.8,72,3.64,33,0,10,8,17,4,12,0.61,5,0,1,2,4,0,0,Matches
Ahmad Benali,ly LBY,MF,Crotone,29-006,1992,6.5,12,1.84,9,1,2,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Ismaël Bennacer,dz ALG,MF,Milan,23-074,1997,7.4,16,2.17,11,2,0,1,2,0,5,0.68,4,0,0,0,1,0,0,Matches
Rodrigo Bentancur,uy URU,MF,Juventus,23-253,1997,13.6,36,2.65,27,6,0,0,1,2,9,0.66,8,0,0,0,0,1,0,Matches
Domenico Berardi,it ITA,"FW,MF",Sassuolo,26-196,1994,14.4,61,4.22,47,7,1,2,2,2,8,0.55,6,0,0,1,0,1,0,Matches
Álex Berenguer,es ESP,MF,Torino,25-224,1995,1.5,2,1.37,1,0,1,0,0,0,1,0.69,1,0,0,0,0,0,0,Matches
Bartosz Bereszyński,pl POL,DF,Sampdoria,28-216,1992,14.5,11,0.76,10,0,1,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Federico Bernardeschi,it ITA,"MF,DF",Juventus,26-363,1994,4.8,18,3.74,9,6,2,0,1,0,3,0.62,3,0,0,0,0,0,0,Matches
Daniel Bessa,it ITA,MF,Hellas Verona,28-030,1993,0.7,3,4.29,2,1,0,0,0,0,1,1.43,1,0,0,0,0,0,0,Matches
Cristiano Biraghi,it ITA,DF,Fiorentina,28-165,1992,18.9,54,2.85,30,21,1,0,2,0,4,0.21,3,1,0,0,0,0,0,Matches
Davide Biraschi,it ITA,DF,Genoa,26-226,1994,4.5,1,0.22,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Jeremie Boga,ci CIV,"FW,MF",Sassuolo,24-041,1997,10.8,20,1.85,14,0,5,0,1,0,6,0.55,3,0,2,0,1,0,0,Matches
Giacomo Bonaventura,it ITA,MF,Fiorentina,31-175,1989,13.8,34,2.46,27,3,1,2,1,0,3,0.22,3,0,0,0,0,0,0,Matches
Federico Bonazzoli,it ITA,FW,Torino,23-268,1997,3.5,8,2.27,5,0,1,0,1,1,4,1.14,3,0,0,0,0,1,0,Matches
Federico Bonazzoli,it ITA,FW,Sampdoria,23-268,1997,1.5,2,1.37,2,0,0,0,0,0,1,0.69,1,0,0,0,0,0,0,Matches
Kevin Bonifazi,it ITA,DF,Udinese,24-270,1996,11.6,3,0.26,2,1,0,0,0,0,1,0.09,1,0,0,0,0,0,0,Matches
Leonardo Bonucci,it ITA,DF,Juventus,33-288,1987,17.2,8,0.47,7,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Mehdi Bourabia,ma MAR,MF,Sassuolo,29-190,1991,5.2,7,1.34,5,0,2,0,0,0,1,0.19,1,0,0,0,0,0,0,Matches
Gleison Bremer,br BRA,DF,Torino,23-332,1997,17.0,10,0.59,8,0,0,1,0,1,1,0.06,1,0,0,0,0,0,0,Matches
Marcelo Brozović,hr CRO,MF,Inter,28-089,1992,14.9,51,3.43,33,16,1,0,0,1,9,0.61,7,2,0,0,0,0,0,Matches
Gastón Brugman,uy URU,MF,Parma,28-159,1992,8.6,20,2.31,13,6,0,1,0,0,2,0.23,2,0,0,0,0,0,0,Matches
Juan Brunetta,ar ARG,"FW,MF",Parma,23-277,1997,2.3,6,2.62,2,3,0,0,1,0,1,0.44,0,1,0,0,0,0,0,Matches
Gianluigi Buffon,it ITA,GK,Juventus,43-016,1978,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Alessandro Buongiorno,it ITA,DF,Torino,21-252,1999,3.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Maxime Busi,be BEL,DF,Parma,21-122,1999,6.2,3,0.48,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Martín Cáceres,uy URU,DF,Fiorentina,33-312,1987,13.1,14,1.07,12,2,0,0,0,0,1,0.08,1,0,0,0,0,0,0,Matches
Felipe Caicedo,ec ECU,FW,Lazio,32-161,1988,8.3,16,1.92,9,0,4,1,2,0,0,0.00,0,0,0,0,0,0,0,Matches
Arturo Calabresi,it ITA,"DF,FW",Bologna,24-333,1996,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Davide Calabria,it ITA,DF,Milan,24-069,1996,20.5,32,1.56,30,2,0,0,0,0,2,0.10,2,0,0,0,0,0,0,Matches
