player,nationality,position,squad,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_match,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,matches
Sergio Yakubiv,ua UKR,DF,Crotone,19-018,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Maya Yoshida,jp JPN,DF,Sampdoria,32-173,1988,18,"1,351",75,71.5,15.0,15,85,12,3,24,3,1.33,20,22,-2,-0.13,-0.30,17.7,25.7,-8.0,-0.53,-0.37,Matches
Ashley Young,eng ENG,DF,Inter,35-219,1985,16,934,58,49.4,10.4,11,72,1,5,28,3,2.19,26,13,+13,+1.25,-0.16,20.9,12.2,+8.7,+0.84,-0.25,Matches
Mattia Zaccagni,it ITA,"MF,FW",Hellas Verona,25-242,1995,21,"1,551",74,82.1,17.2,19,79,7,2,28,0,1.43,21,19,+2,+0.12,-0.15,20.8,24.6,-3.8,-0.22,-0.01,Matches
Vasilios Zagaritis,gr GRE,MF,Parma,19-285,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Miha Zajc,si SVN,MF,Genoa,26-227,1994,16,925,58,48.9,10.3,11,71,1,5,29,4,1.31,17,12,+5,+0.49,+1.61,13.0,12.3,+0.7,+0.07,+0.96,Matches
Nicola Zalewski,pl POL,FW,Roma,19-021,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Niccolò Zanellato,it ITA,MF,Crotone,22-234,1998,13,951,73,50.3,10.6,12,79,4,1,9,6,0.77,16,29,-13,-1.23,+0.21,9.4,20.3,-10.9,-1.03,-0.33,Matches
Cristián Zapata,co COL,DF,Genoa,34-136,1986,8,608,76,32.2,6.8,8,76,6,0,,1,0.88,7,9,-2,-0.30,+0.05,6.0,8.0,-2.1,-0.31,+0.17,Matches
Duván Zapata,co COL,FW,Atalanta,29-318,1991,21,"1,277",61,67.6,14.2,15,70,1,6,38,0,1.76,33,22,+11,+0.78,-0.40,26.1,18.6,+7.5,+0.53,-0.43,Matches
Gabriele Zappa,it ITA,"DF,FW",Cagliari,21-053,1999,21,"1,597",76,84.5,17.7,18,86,11,3,18,0,0.71,23,35,-12,-0.68,+0.25,21.0,36.8,-15.8,-0.89,-0.23,Matches
Davide Zappacosta,it ITA,DF,Genoa,28-247,1992,11,808,73,42.8,9.0,9,85,6,2,22,0,1.82,15,12,+3,+0.33,+1.17,11.6,12.4,-0.8,-0.09,+0.57,Matches
Simone Zaza,it ITA,FW,Torino,29-233,1991,12,796,66,42.1,8.8,9,80,4,3,25,3,0.50,12,19,-7,-0.79,-0.63,13.0,14.4,-1.4,-0.16,0.00,Matches
Marvin Zeegelaar,nl NED,DF,Udinese,30-185,1990,17,"1,282",75,67.8,14.2,16,79,7,1,19,4,1.24,12,16,-4,-0.28,-0.13,16.4,13.2,+3.1,+0.22,-0.29,Matches
Piotr Zieliński,pl POL,MF,Napoli,26-269,1994,18,"1,212",67,67.3,13.5,15,77,2,3,21,0,1.72,29,15,+14,+1.04,-0.34,22.0,15.6,+6.4,+0.47,-0.78,Matches
Lukáš Zima,cz CZE,GK,Genoa,27-035,1994,0,,,,,0,,0,0,,13,,,,,,,,,,,,Matches
Joshua Zirkzee,nl NED,FW,Parma,19-267,2001,1,36,36,1.9,0.4,0,,0,1,36,0,0.00,0,1,-1,-2.50,-1.24,0.5,1.3,-0.7,-1.80,-1.13,Matches
Jeroen Zoet,nl NED,GK,Spezia,30-038,1991,2,153,77,8.1,1.7,2,77,1,0,,2,1.50,2,4,-2,-1.18,-0.76,1.4,3.7,-2.3,-1.35,-0.78,Matches
Filip Đuričić,rs SRB,"MF,FW",Sassuolo,29-014,1992,17,"1,143",67,60.5,12.7,15,73,2,2,22,0,1.41,21,18,+3,+0.24,+0.36,19.3,18.0,+1.3,+0.10,+0.84,Matches
