player,nationality,position,squad,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,matches
Bartosz Bereszyński,pl POL,DF,Sampdoria,28-216,1992,14.5,2,0,0,15,14,0,14,16,22,0,0,0,138,20,18,52.6,Matches
Federico Bernardeschi,it ITA,"MF,DF",Juventus,26-363,1994,4.8,1,0,0,6,5,2,15,5,3,0,0,0,28,5,5,50.0,Matches
Daniel Bessa,it ITA,MF,Hellas Verona,28-030,1993,0.7,0,0,0,1,1,1,2,2,2,0,0,0,1,0,0,,Matches
Cristiano Biraghi,it ITA,DF,Fiorentina,28-165,1992,18.9,6,0,0,19,17,3,110,8,13,0,0,0,138,7,13,35.0,Matches
Davide Biraschi,it ITA,DF,Genoa,26-226,1994,4.5,0,0,0,7,1,0,4,5,4,0,0,0,35,4,4,50.0,Matches
Jeremie Boga,ci CIV,"FW,MF",Sassuolo,24-041,1997,10.8,0,0,0,8,20,5,10,5,8,0,0,0,53,4,7,36.4,Matches
Giacomo Bonaventura,it ITA,MF,Fiorentina,31-175,1989,13.8,3,0,0,24,25,5,15,20,17,0,0,0,88,11,20,35.5,Matches
Federico Bonazzoli,it ITA,FW,Torino,23-268,1997,3.5,2,0,0,7,10,1,1,1,1,0,0,0,14,0,7,0.0,Matches
Federico Bonazzoli,it ITA,FW,Sampdoria,23-268,1997,1.5,0,0,0,3,2,0,0,0,1,0,0,0,8,0,1,0.0,Matches
Kevin Bonifazi,it ITA,DF,Udinese,24-270,1996,11.6,2,0,0,13,5,0,1,15,9,0,1,0,112,25,11,69.4,Matches
Leonardo Bonucci,it ITA,DF,Juventus,33-288,1987,17.2,3,0,0,17,12,3,2,14,14,0,1,0,127,26,11,70.3,Matches
Mehdi Bourabia,ma MAR,MF,Sassuolo,29-190,1991,5.2,2,0,0,15,6,0,2,8,5,0,1,0,59,12,3,80.0,Matches
Gleison Bremer,br BRA,DF,Torino,23-332,1997,17.0,0,0,0,12,7,0,0,33,20,0,1,0,155,39,19,67.2,Matches
Marcelo Brozović,hr CRO,MF,Inter,28-089,1992,14.9,4,0,0,16,10,0,18,19,20,0,0,0,136,19,20,48.7,Matches
Gastón Brugman,uy URU,MF,Parma,28-159,1992,8.6,4,0,0,11,8,1,11,13,11,0,0,0,97,6,3,66.7,Matches
Juan Brunetta,ar ARG,"FW,MF",Parma,23-277,1997,2.3,1,0,0,4,8,1,7,1,1,0,0,0,12,1,7,12.5,Matches
Gianluigi Buffon,it ITA,GK,Juventus,43-016,1978,4.0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,,Matches
Alessandro Buongiorno,it ITA,DF,Torino,21-252,1999,3.8,2,0,0,9,5,1,0,3,1,0,0,0,29,9,3,75.0,Matches
Maxime Busi,be BEL,DF,Parma,21-122,1999,6.2,3,0,0,11,3,0,6,7,4,0,1,0,50,4,5,44.4,Matches
Martín Cáceres,uy URU,DF,Fiorentina,33-312,1987,13.1,0,0,0,7,6,0,18,7,5,0,1,0,103,12,14,46.2,Matches
Felipe Caicedo,ec ECU,FW,Lazio,32-161,1988,8.3,4,0,0,21,14,6,0,2,7,0,0,0,34,23,16,59.0,Matches
Arturo Calabresi,it ITA,"DF,FW",Bologna,24-333,1996,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
