player,nationality,position,squad,age,birth_year,minutes_90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
Bastos,ao ANG,DF,Lazio,29-323,1991,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rodrigo Becão,br BRA,DF,Udinese,25-025,1996,18.5,0,8,1,12.5,0.43,0.05,0.00,0.00,8.3,0,0,0,0.8,0.8,0.10,-0.8,-0.8,Matches
Valon Behrami,ch SUI,MF,Genoa,35-300,1985,5.3,0,1,1,100.0,0.19,0.19,0.00,0.00,15.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Andrea Belotti,it ITA,FW,Torino,27-055,1993,19.8,11,67,23,34.3,3.39,1.16,0.13,0.39,16.5,5,2,3,9.2,6.8,0.10,+1.8,+2.2,Matches
Ahmad Benali,ly LBY,MF,Crotone,29-006,1992,6.5,0,7,3,42.9,1.07,0.46,0.00,0.00,20.8,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
Ismaël Bennacer,dz ALG,MF,Milan,23-074,1997,7.4,0,8,1,12.5,1.08,0.14,0.00,0.00,25.9,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
Rodrigo Bentancur,uy URU,MF,Juventus,23-253,1997,13.6,0,11,3,27.3,0.81,0.22,0.00,0.00,23.6,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
Domenico Berardi,it ITA,"FW,MF",Sassuolo,26-196,1994,14.4,7,39,17,43.6,2.70,1.18,0.13,0.29,21.6,3,2,2,4.6,3.0,0.08,+2.4,+2.0,Matches
Álex Berenguer,es ESP,MF,Torino,25-224,1995,1.5,0,2,2,100.0,1.37,1.37,0.00,0.00,15.5,0,0,0,0.3,0.3,0.16,-0.3,-0.3,Matches
Bartosz Bereszyński,pl POL,DF,Sampdoria,28-216,1992,14.5,0,1,0,0.0,0.07,0.00,0.00,,28.3,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
