,Unnamed: 0,player,nationality,position,squad,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,npxg_xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches
25,25,Federico Barba,it ITA,DF,Benevento,27-165,1993,17,16,1372,15.2,0,1,0,0,0,4,0,0.0,0.07,0.07,0.0,0.07,0.6,0.6,0.6,1.1,0.04,0.04,0.07,0.04,0.07,Matches
26,26,Nicolò Barella,it ITA,MF,Inter,24-006,1997,21,18,1618,18.0,3,5,3,0,0,4,0,0.17,0.28,0.44,0.17,0.44,2.1,2.1,3.3,5.4,0.12,0.18,0.3,0.12,0.3,Matches
27,27,Antonio Barreca,it ITA,DF,Fiorentina,25-332,1995,3,1,85,0.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.3,0.25,0.04,0.29,0.25,0.29,Matches
28,28,Musa Barrow,gm GAM,"FW,MF",Bologna,22-091,1998,22,20,1723,19.1,5,3,5,0,1,0,0,0.26,0.16,0.42,0.26,0.42,4.9,4.0,2.6,6.7,0.25,0.14,0.39,0.21,0.35,Matches
29,29,Paolo Bartolomei,it ITA,MF,Spezia,31-176,1989,6,3,320,3.6,0,1,0,0,0,1,0,0.0,0.28,0.28,0.0,0.28,0.2,0.2,0.3,0.5,0.04,0.09,0.13,0.04,0.13,Matches
30,30,Daniele Baselli,it ITA,MF,Torino,28-338,1992,3,0,75,0.8,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
31,31,Alessandro Bastoni,it ITA,DF,Inter,21-306,1999,18,18,1583,17.6,0,2,0,0,0,4,0,0.0,0.11,0.11,0.0,0.11,0.9,0.9,1.2,2.1,0.05,0.07,0.12,0.05,0.12,Matches
32,32,Simone Bastoni,it ITA,DF,Spezia,24-100,1996,12,11,884,9.8,0,4,0,0,0,4,0,0.0,0.41,0.41,0.0,0.41,0.8,0.8,2.3,3.1,0.08,0.24,0.32,0.08,0.32,Matches
33,33,Bastos,ao ANG,DF,Lazio,29-323,1991,2,0,63,0.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
34,34,Rodrigo Becão,br BRA,DF,Udinese,25-025,1996,19,18,1664,18.5,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.9,0.05,0.0,0.05,0.05,0.05,Matches
35,35,Valon Behrami,ch SUI,MF,Genoa,35-300,1985,15,4,476,5.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.01,0.01,0.01,0.01,Matches
36,36,Andrea Belotti,it ITA,FW,Torino,27-055,1993,20,20,1779,19.8,11,5,9,2,3,3,0,0.56,0.25,0.81,0.46,0.71,9.2,6.8,4.7,11.5,0.46,0.24,0.7,0.34,0.58,Matches
37,37,Ahmad Benali,ly LBY,MF,Crotone,29-006,1992,8,7,587,6.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.4,0.9,0.08,0.06,0.14,0.08,0.14,Matches
38,38,Ismaël Bennacer,dz ALG,MF,Milan,23-074,1997,10,7,665,7.4,0,1,0,0,0,1,0,0.0,0.14,0.14,0.0,0.14,0.5,0.5,0.4,0.9,0.07,0.05,0.12,0.07,0.12,Matches
39,39,Rodrigo Bentancur,uy URU,MF,Juventus,23-253,1997,18,14,1224,13.6,0,2,0,0,0,5,0,0.0,0.15,0.15,0.0,0.15,0.5,0.5,1.3,1.8,0.04,0.1,0.13,0.04,0.13,Matches
40,40,Domenico Berardi,it ITA,"FW,MF",Sassuolo,26-196,1994,16,15,1300,14.4,7,4,5,2,2,4,0,0.48,0.28,0.76,0.35,0.62,4.6,3.0,2.4,5.4,0.32,0.16,0.48,0.21,0.38,Matches
41,41,Álex Berenguer,es ESP,MF,Torino,25-224,1995,2,2,131,1.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.22,0.0,0.22,0.22,0.22,Matches
42,42,Bartosz Bereszyński,pl POL,DF,Sampdoria,28-216,1992,16,15,1302,14.5,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.02,0.02,0.0,0.02,Matches
43,43,Federico Bernardeschi,it ITA,"MF,DF",Juventus,26-363,1994,16,3,433,4.8,0,1,0,0,0,1,0,0.0,0.21,0.21,0.0,0.21,1.3,1.3,0.7,2.0,0.27,0.14,0.42,0.27,0.42,Matches
44,44,Daniel Bessa,it ITA,MF,Hellas Verona,28-030,1993,4,0,63,0.7,0,1,0,0,0,0,0,0.0,1.43,1.43,0.0,1.43,0.0,0.0,0.4,0.4,0.0,0.55,0.55,0.0,0.55,Matches
45,45,Cristiano Biraghi,it ITA,DF,Fiorentina,28-165,1992,20,19,1703,18.9,1,4,1,0,0,6,0,0.05,0.21,0.26,0.05,0.26,1.3,1.3,4.8,6.1,0.07,0.25,0.32,0.07,0.32,Matches
46,46,Davide Biraschi,it ITA,DF,Genoa,26-226,1994,5,5,405,4.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.02,0.02,0.0,0.02,Matches
47,47,Jeremie Boga,ci CIV,"FW,MF",Sassuolo,24-041,1997,16,11,973,10.8,3,2,3,0,0,0,0,0.28,0.18,0.46,0.28,0.46,1.6,1.6,0.5,2.1,0.15,0.05,0.2,0.15,0.2,Matches
48,48,Giacomo Bonaventura,it ITA,MF,Fiorentina,31-175,1989,20,14,1244,13.8,1,2,1,0,0,3,0,0.07,0.14,0.22,0.07,0.22,1.4,1.4,3.0,4.4,0.1,0.22,0.32,0.1,0.32,Matches
49,49,Federico Bonazzoli,it ITA,FW,Torino,23-268,1997,12,2,317,3.5,2,2,2,0,0,2,0,0.57,0.57,1.14,0.57,1.14,1.2,1.2,0.7,1.9,0.33,0.2,0.53,0.33,0.53,Matches
50,50,Federico Bonazzoli,it ITA,FW,Sampdoria,23-268,1997,2,2,131,1.5,0,1,0,0,0,0,0,0.0,0.69,0.69,0.0,0.69,0.2,0.2,0.9,1.1,0.12,0.64,0.76,0.12,0.76,Matches
51,51,Kevin Bonifazi,it ITA,DF,Udinese,24-270,1996,14,12,1041,11.6,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.0,1.1,0.09,0.0,0.09,0.09,0.09,Matches
52,52,Leonardo Bonucci,it ITA,DF,Juventus,33-288,1987,18,18,1548,17.2,2,0,2,0,0,3,0,0.12,0.0,0.12,0.12,0.12,2.6,2.6,0.6,3.1,0.15,0.03,0.18,0.15,0.18,Matches
53,53,Mehdi Bourabia,ma MAR,MF,Sassuolo,29-190,1991,12,4,471,5.2,1,0,1,0,0,2,0,0.19,0.0,0.19,0.19,0.19,0.5,0.5,0.6,1.1,0.1,0.11,0.21,0.1,0.21,Matches
54,54,Gleison Bremer,br BRA,DF,Torino,23-332,1997,17,17,1530,17.0,3,0,3,0,0,0,0,0.18,0.0,0.18,0.18,0.18,2.0,2.0,0.3,2.3,0.12,0.02,0.14,0.12,0.14,Matches
55,55,Marcelo Brozović,hr CRO,MF,Inter,28-089,1992,18,15,1338,14.9,1,6,1,0,0,4,0,0.07,0.4,0.47,0.07,0.47,1.1,1.1,3.1,4.2,0.07,0.21,0.28,0.07,0.28,Matches
56,56,Gastón Brugman,uy URU,MF,Parma,28-159,1992,14,10,778,8.6,0,1,0,0,0,4,0,0.0,0.12,0.12,0.0,0.12,0.7,0.7,1.1,1.8,0.08,0.13,0.21,0.08,0.21,Matches
57,57,Juan Brunetta,ar ARG,"FW,MF",Parma,23-277,1997,6,1,206,2.3,0,1,0,0,0,1,0,0.0,0.44,0.44,0.0,0.44,0.2,0.2,0.2,0.4,0.11,0.08,0.19,0.11,0.19,Matches
58,58,Gianluigi Buffon,it ITA,GK,Juventus,43-016,1978,4,4,360,4.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
59,59,Alessandro Buongiorno,it ITA,DF,Torino,21-252,1999,5,4,346,3.8,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
60,60,Maxime Busi,be BEL,DF,Parma,21-122,1999,11,6,560,6.2,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.02,0.03,0.04,0.02,0.04,Matches
61,61,Martín Cáceres,uy URU,DF,Fiorentina,33-312,1987,14,14,1175,13.1,1,0,1,0,0,0,0,0.08,0.0,0.08,0.08,0.08,0.5,0.5,0.3,0.8,0.04,0.02,0.06,0.04,0.06,Matches
62,62,Felipe Caicedo,ec ECU,FW,Lazio,32-161,1988,16,8,749,8.3,6,0,6,0,0,4,0,0.72,0.0,0.72,0.72,0.72,4.0,4.0,0.2,4.2,0.48,0.03,0.51,0.48,0.51,Matches
63,63,Arturo Calabresi,it ITA,"DF,FW",Bologna,24-333,1996,1,0,20,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
64,64,Davide Calabria,it ITA,DF,Milan,24-069,1996,21,21,1849,20.5,2,1,2,0,0,5,0,0.1,0.05,0.15,0.1,0.15,1.0,1.0,1.4,2.4,0.05,0.07,0.12,0.05,0.12,Matches
65,65,Riccardo Calafiori,it ITA,DF,Roma,18-270,2002,2,0,21,0.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
66,66,Mattia Caldara,it ITA,DF,Atalanta,26-284,1994,4,1,69,0.8,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.33,0.0,0.33,0.33,0.33,Matches
67,67,Luca Caldirola,it ITA,DF,Benevento,30-012,1991,14,10,823,9.1,2,0,2,0,0,3,0,0.22,0.0,0.22,0.22,0.22,0.4,0.4,0.0,0.4,0.04,0.01,0.05,0.04,0.05,Matches
68,68,Hakan Çalhanoğlu,tr TUR,"MF,FW",Milan,27-005,1994,18,15,1412,15.7,1,8,0,1,1,2,0,0.06,0.51,0.57,0.0,0.51,2.7,1.9,6.1,8.1,0.17,0.39,0.56,0.12,0.51,Matches
69,69,Fabrizio Caligara,it ITA,MF,Cagliari,20-307,2000,10,2,183,2.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.05,0.05,0.0,0.05,Matches
70,70,José Callejón,es ESP,FW,Fiorentina,34-002,1987,10,6,514,5.7,0,1,0,0,0,0,0,0.0,0.18,0.18,0.0,0.18,0.3,0.3,1.3,1.6,0.05,0.23,0.28,0.05,0.28,Matches
71,71,Antonio Candreva,it ITA,MF,Sampdoria,33-351,1987,18,15,1259,14.0,4,4,2,2,2,0,0,0.29,0.29,0.57,0.14,0.43,3.0,1.5,3.3,4.9,0.22,0.24,0.45,0.11,0.35,Matches
72,72,Gianluca Caprari,it ITA,"MF,FW",Benevento,27-198,1993,19,17,1334,14.8,5,3,5,0,1,4,1,0.34,0.2,0.54,0.34,0.54,3.5,2.7,2.0,4.8,0.24,0.14,0.37,0.18,0.32,Matches
73,73,Francesco Caputo,it ITA,FW,Sassuolo,33-191,1987,16,14,1150,12.8,8,3,7,1,1,1,0,0.63,0.23,0.86,0.55,0.78,5.9,5.1,1.2,6.3,0.46,0.09,0.55,0.4,0.49,Matches
74,74,Andrea Carboni,it ITA,DF,Cagliari,20-009,2001,6,4,368,4.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.01,0.12,0.13,0.01,0.13,Matches
75,75,Giuseppe Caso,it ITA,MF,Genoa,22-066,1998,1,0,9,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
76,76,Samu Castillejo,es ESP,FW,Milan,26-026,1995,16,7,688,7.6,1,0,1,0,0,3,0,0.13,0.0,0.13,0.13,0.13,0.9,0.9,0.4,1.3,0.11,0.06,0.17,0.11,0.17,Matches
77,77,Gaetano Castrovilli,it ITA,MF,Fiorentina,23-362,1997,19,18,1451,16.1,4,1,4,0,0,5,1,0.25,0.06,0.31,0.25,0.31,2.3,2.3,1.6,3.9,0.14,0.1,0.24,0.14,0.24,Matches
78,78,Danilo Cataldi,it ITA,MF,Lazio,26-191,1994,11,2,291,3.2,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.3,0.05,0.04,0.09,0.05,0.09,Matches
79,79,Federico Ceccherini,it ITA,DF,Hellas Verona,28-278,1992,14,13,1000,11.1,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.1,0.7,0.06,0.01,0.07,0.06,0.07,Matches
80,80,Federico Ceccherini,it ITA,DF,Fiorentina,28-278,1992,3,3,270,3.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
81,81,Luca Ceppitelli,it ITA,DF,Cagliari,31-186,1989,8,6,573,6.4,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.06,0.0,0.06,0.06,0.06,Matches
82,82,Alberto Cerri,it ITA,FW,Cagliari,24-303,1996,9,1,139,1.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.6,0.67,0.34,1.01,0.67,1.01,Matches
83,83,Julian Chabot,de GER,DF,Spezia,23-001,1998,19,15,1257,14.0,1,1,1,0,0,9,1,0.07,0.07,0.14,0.07,0.14,0.5,0.5,0.2,0.8,0.04,0.02,0.06,0.04,0.06,Matches
84,84,Giorgio Chiellini,it ITA,DF,Juventus,36-183,1984,7,6,540,6.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
85,85,Federico Chiesa,it ITA,"MF,DF",Juventus,23-111,1997,15,13,1042,11.6,5,3,5,0,0,1,1,0.43,0.26,0.69,0.43,0.69,2.7,2.7,3.5,6.2,0.23,0.3,0.53,0.23,0.53,Matches
86,86,Federico Chiesa,it ITA,DF,Fiorentina,23-111,1997,3,3,240,2.7,1,1,1,0,0,0,0,0.37,0.37,0.75,0.37,0.75,0.7,0.7,0.8,1.6,0.28,0.31,0.59,0.28,0.59,Matches
87,87,Vlad Chiricheș,ro ROU,DF,Sassuolo,31-091,1989,13,13,1040,11.6,2,1,2,0,0,5,0,0.17,0.09,0.26,0.17,0.26,0.9,0.9,0.4,1.3,0.08,0.04,0.11,0.08,0.11,Matches
88,88,Luca Cigarini,it ITA,MF,Crotone,34-238,1986,6,6,454,5.0,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.6,0.9,0.06,0.11,0.17,0.06,0.17,Matches
89,89,Antonio Cioffi,it ITA,FW,Napoli,18-056,2002,1,0,12,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.54,0.54,0.0,0.54,Matches
90,90,Ebrima Colley,gm GAM,"FW,MF",Hellas Verona,21-012,2000,18,3,605,6.7,1,0,1,0,0,1,0,0.15,0.0,0.15,0.15,0.15,1.7,1.7,0.6,2.3,0.25,0.09,0.34,0.25,0.34,Matches
91,91,Omar Colley,gm GAM,DF,Sampdoria,28-112,1992,15,14,1331,14.8,1,0,1,0,0,3,0,0.07,0.0,0.07,0.07,0.07,0.9,0.9,0.0,0.9,0.06,0.0,0.06,0.06,0.06,Matches
92,92,Lorenzo Colombo,it ITA,FW,Milan,18-342,2002,4,1,94,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,0.58,0.0,0.58,0.58,0.58,Matches
93,93,Andrea Consigli,it ITA,GK,Sassuolo,34-017,1987,20,20,1800,20.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
94,94,Andrea Conti,it ITA,DF,Parma,26-348,1994,3,3,270,3.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.04,0.06,0.09,0.04,0.09,Matches
95,95,Andrea Conti,it ITA,DF,Milan,26-348,1994,3,0,28,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.47,0.47,0.0,0.47,Matches
96,96,Alex Cordaz,it ITA,GK,Crotone,38-043,1983,21,21,1890,21.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
97,97,Andreas Cornelius,dk DEN,FW,Parma,27-334,1993,17,13,1155,12.8,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,1.2,2.1,0.07,0.09,0.16,0.07,0.16,Matches
98,98,Joaquín Correa,ar ARG,FW,Lazio,26-184,1994,14,13,991,11.0,2,2,2,0,0,1,0,0.18,0.18,0.36,0.18,0.36,2.9,2.9,0.9,3.8,0.26,0.08,0.34,0.26,0.34,Matches
99,99,Angelo da Costa Júnior,br BRA,GK,Bologna,37-093,1983,6,6,540,6.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
100,100,Douglas Costa,br BRA,"MF,FW",Juventus,30-152,1990,2,0,42,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches
101,101,Mamadou Coulibaly,sn SEN,MF,Udinese,22-010,1999,3,2,184,2.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.06,0.06,0.12,0.06,0.12,Matches
102,102,Alessio Cragno,it ITA,GK,Cagliari,26-230,1994,21,21,1890,21.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.01,0.01,0.0,0.01,Matches
103,103,Domenico Criscito,it ITA,DF,Genoa,34-045,1986,12,10,898,10.0,1,0,0,1,1,1,0,0.1,0.0,0.1,0.0,0.0,0.8,0.0,0.2,0.2,0.08,0.02,0.1,0.0,0.02,Matches
104,104,Bryan Cristante,it ITA,"DF,MF",Roma,25-347,1995,19,9,946,10.5,0,2,0,0,0,4,0,0.0,0.19,0.19,0.0,0.19,1.1,1.1,0.6,1.7,0.11,0.06,0.16,0.11,0.16,Matches
105,105,Giovanni Crociata,it ITA,"DF,MF",Crotone,23-186,1997,2,0,26,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.52,0.52,0.0,0.52,Matches
106,106,Juan Cuadrado,co COL,DF,Juventus,32-263,1988,16,13,1160,12.9,0,5,0,0,0,3,1,0.0,0.39,0.39,0.0,0.39,0.8,0.8,3.8,4.6,0.06,0.29,0.36,0.06,0.36,Matches
107,107,Giuseppe Cuomo,it ITA,DF,Crotone,23-011,1998,8,5,486,5.4,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
108,108,Patrick Cutrone,it ITA,"FW,MF",Fiorentina,23-041,1998,11,0,196,2.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.09,0.0,0.09,0.09,0.09,Matches
109,109,Wylan Cyprien,fr FRA,MF,Parma,26-016,1995,12,2,389,4.3,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.3,0.04,0.04,0.07,0.04,0.07,Matches
