player,nationality,position,squad,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,matches
Simone Bastoni,it ITA,DF,Spezia,24-100,1996,9.8,741,23,225,374,207,17,642,11,18,61.1,11,0,471,2815,1645,62,27,1,15,10,504,470,93.3,18,Matches
Bastos,ao ANG,DF,Lazio,29-323,1991,0.7,53,7,28,20,8,2,51,2,4,50.0,2,0,37,155,69,2,1,0,0,2,36,35,97.2,1,Matches
Rodrigo Becão,br BRA,DF,Udinese,25-025,1996,18.5,977,133,486,496,55,19,946,7,7,100.0,7,1,603,3184,1955,48,3,0,6,8,637,605,95.0,8,Matches
Valon Behrami,ch SUI,MF,Genoa,35-300,1985,5.3,169,11,41,103,30,5,165,3,4,75.0,3,0,87,378,171,8,2,1,2,1,102,77,75.5,5,Matches
Andrea Belotti,it ITA,FW,Torino,27-055,1993,19.8,770,14,49,413,373,97,729,34,65,52.3,34,1,549,2804,1799,100,47,10,55,43,949,568,59.9,146,Matches
Ahmad Benali,ly LBY,MF,Crotone,29-006,1992,6.5,514,22,141,295,110,17,488,8,12,66.7,8,0,350,1792,763,30,12,2,10,10,413,370,89.6,32,Matches
Ismaël Bennacer,dz ALG,MF,Milan,23-074,1997,7.4,570,19,131,379,101,2,554,14,17,82.4,15,0,434,2322,1129,49,14,0,6,9,428,407,95.1,10,Matches
Rodrigo Bentancur,uy URU,MF,Juventus,23-253,1997,13.6,1181,61,314,723,207,5,1141,14,24,58.3,16,1,790,3524,1557,38,21,1,9,12,888,854,96.2,17,Matches
Domenico Berardi,it ITA,"FW,MF",Sassuolo,26-196,1994,14.4,879,30,121,358,463,48,829,15,23,65.2,15,4,640,3725,2035,117,29,15,25,20,761,644,84.6,91,Matches
Álex Berenguer,es ESP,MF,Torino,25-224,1995,1.5,66,4,8,37,30,1,63,2,4,50.0,3,1,45,319,230,9,6,0,2,3,56,46,82.1,8,Matches
Bartosz Bereszyński,pl POL,DF,Sampdoria,28-216,1992,14.5,860,65,319,371,205,6,723,12,16,75.0,12,1,449,2089,1098,43,9,2,9,11,485,449,92.6,16,Matches
Federico Bernardeschi,it ITA,"MF,DF",Juventus,26-363,1994,4.8,276,12,44,107,141,21,249,10,13,76.9,10,1,187,1127,585,22,8,5,9,7,234,196,83.8,40,Matches
Daniel Bessa,it ITA,MF,Hellas Verona,28-030,1993,0.7,44,2,5,21,20,1,42,0,0,,0,0,31,168,59,4,1,0,1,3,44,34,77.3,2,Matches
Cristiano Biraghi,it ITA,DF,Fiorentina,28-165,1992,18.9,1322,61,286,539,562,37,1035,10,22,45.5,11,1,745,3694,2183,116,33,6,13,8,860,787,91.5,55,Matches
Davide Biraschi,it ITA,DF,Genoa,26-226,1994,4.5,321,17,145,164,29,0,281,2,6,33.3,2,0,211,814,486,10,1,0,4,5,213,211,99.1,2,Matches
Jeremie Boga,ci CIV,"FW,MF",Sassuolo,24-041,1997,10.8,543,14,94,232,274,39,538,51,81,63.0,55,2,497,2909,1532,81,22,10,32,29,574,446,77.7,68,Matches
Giacomo Bonaventura,it ITA,MF,Fiorentina,31-175,1989,13.8,713,20,118,393,254,29,685,17,26,65.4,18,0,522,2787,1413,76,22,4,16,15,633,510,80.6,53,Matches
Federico Bonazzoli,it ITA,FW,Torino,23-268,1997,3.5,114,1,5,59,58,15,106,3,6,50.0,3,0,80,355,107,6,2,1,9,5,134,83,61.9,29,Matches
Federico Bonazzoli,it ITA,FW,Sampdoria,23-268,1997,1.5,39,0,3,24,17,5,37,2,2,100.0,2,0,28,258,156,6,3,1,1,3,41,25,61.0,10,Matches
Kevin Bonifazi,it ITA,DF,Udinese,24-270,1996,11.6,661,115,363,302,37,10,635,4,4,100.0,4,0,431,2351,1138,26,7,0,4,1,423,418,98.8,2,Matches
Leonardo Bonucci,it ITA,DF,Juventus,33-288,1987,17.2,1312,183,664,697,41,17,1270,0,0,,0,0,844,4262,2526,33,3,0,7,1,1022,1004,98.2,6,Matches
Mehdi Bourabia,ma MAR,MF,Sassuolo,29-190,1991,5.2,403,25,103,255,63,5,388,6,10,60.0,6,0,254,867,479,20,5,1,3,9,298,280,94.0,7,Matches
Gleison Bremer,br BRA,DF,Torino,23-332,1997,17.0,1136,158,623,527,61,21,1105,2,7,28.6,3,0,732,4346,2166,43,8,0,5,7,767,752,98.0,6,Matches
Marcelo Brozović,hr CRO,MF,Inter,28-089,1992,14.9,1347,59,324,797,324,7,1265,6,8,75.0,6,0,907,4864,2118,88,25,2,8,9,1048,1009,96.3,21,Matches
Gastón Brugman,uy URU,MF,Parma,28-159,1992,8.6,606,25,173,354,114,3,549,7,11,63.6,9,0,322,1585,809,24,7,1,4,5,382,367,96.1,11,Matches
Juan Brunetta,ar ARG,"FW,MF",Parma,23-277,1997,2.3,116,0,8,58,56,10,104,3,6,50.0,3,0,79,521,289,15,3,2,8,2,111,81,73.0,17,Matches
Gianluigi Buffon,it ITA,GK,Juventus,43-016,1978,4.0,143,131,142,1,0,0,108,0,0,,0,0,78,267,113,0,0,0,0,0,78,76,97.4,0,Matches
Alessandro Buongiorno,it ITA,DF,Torino,21-252,1999,3.8,248,25,125,143,13,2,235,0,0,,0,0,169,1093,659,12,3,0,3,2,184,177,96.2,1,Matches
Maxime Busi,be BEL,DF,Parma,21-122,1999,6.2,468,28,179,257,65,4,414,5,11,45.5,6,1,269,1368,841,34,5,0,8,4,315,298,94.6,5,Matches
Martín Cáceres,uy URU,DF,Fiorentina,33-312,1987,13.1,751,50,219,443,141,10,680,1,5,20.0,1,1,454,2393,1496,48,14,0,3,3,517,493,95.4,12,Matches
Felipe Caicedo,ec ECU,FW,Lazio,32-161,1988,8.3,291,4,26,152,126,44,287,10,13,76.9,10,0,181,742,342,15,2,4,15,14,344,226,65.7,63,Matches
Arturo Calabresi,it ITA,"DF,FW",Bologna,24-333,1996,0.2,7,4,6,1,0,0,5,0,0,,0,0,1,0,0,0,0,0,0,0,1,1,100.0,0,Matches
Davide Calabria,it ITA,DF,Milan,24-069,1996,20.5,1445,86,465,745,331,27,1288,11,31,35.5,11,1,875,4357,2664,91,33,5,10,10,922,859,93.2,51,Matches
Riccardo Calafiori,it ITA,DF,Roma,18-270,2002,0.2,15,0,2,8,5,1,12,0,1,0.0,0,0,10,56,45,2,0,0,3,0,9,9,100.0,1,Matches
Mattia Caldara,it ITA,DF,Atalanta,26-284,1994,0.8,49,2,25,24,3,2,47,0,0,,0,0,29,144,23,1,0,0,0,0,25,25,100.0,0,Matches
Luca Caldirola,it ITA,DF,Benevento,30-012,1991,9.1,462,86,295,197,15,6,441,0,0,,0,0,250,1942,1281,19,4,0,0,1,315,308,97.8,3,Matches
Hakan Çalhanoğlu,tr TUR,"MF,FW",Milan,27-005,1994,15.7,1093,18,121,509,530,42,946,17,25,68.0,17,2,707,4260,2380,129,43,13,27,16,922,765,83.0,109,Matches
Fabrizio Caligara,it ITA,MF,Cagliari,20-307,2000,2.0,98,8,29,44,30,1,91,1,4,25.0,1,0,46,174,84,4,2,0,1,5,68,55,80.9,2,Matches
José Callejón,es ESP,FW,Fiorentina,34-002,1987,5.7,218,6,21,118,98,13,207,3,4,75.0,3,0,145,710,391,21,10,1,5,9,222,161,72.5,34,Matches
Antonio Candreva,it ITA,MF,Sampdoria,33-351,1987,14.0,886,24,140,409,428,39,789,19,33,57.6,20,1,614,4374,2511,110,46,11,17,10,758,619,81.7,54,Matches
Gianluca Caprari,it ITA,"MF,FW",Benevento,27-198,1993,14.8,727,7,98,340,354,61,650,29,64,45.3,31,4,545,3344,1733,85,23,13,35,38,669,497,74.3,101,Matches
Francesco Caputo,it ITA,FW,Sassuolo,33-191,1987,12.8,354,4,25,156,184,77,322,2,4,50.0,2,1,212,641,316,20,5,10,24,8,505,275,54.5,114,Matches
Andrea Carboni,it ITA,DF,Cagliari,20-009,2001,4.1,206,28,107,91,17,3,183,0,2,0.0,0,1,93,526,280,9,3,1,1,0,117,110,94.0,3,Matches
Giuseppe Caso,it ITA,MF,Genoa,22-066,1998,0.1,5,1,3,1,1,0,5,1,1,100.0,1,0,4,28,17,0,0,0,0,1,6,2,33.3,0,Matches
Samu Castillejo,es ESP,FW,Milan,26-026,1995,7.6,360,9,57,173,159,26,344,12,21,57.1,15,1,285,1760,864,39,11,7,14,11,321,246,76.6,28,Matches
Gaetano Castrovilli,it ITA,MF,Fiorentina,23-362,1997,16.1,778,23,122,399,326,39,759,15,36,41.7,16,4,583,3597,2105,105,38,9,19,43,615,526,85.5,75,Matches
Danilo Cataldi,it ITA,MF,Lazio,26-191,1994,3.2,273,12,73,147,68,2,251,1,2,50.0,1,0,172,995,513,18,5,0,2,0,205,195,95.1,9,Matches
Federico Ceccherini,it ITA,DF,Hellas Verona,28-278,1992,11.1,619,63,286,319,53,14,588,7,9,77.8,7,0,326,1715,855,33,9,1,3,2,349,333,95.4,6,Matches
Federico Ceccherini,it ITA,DF,Fiorentina,28-278,1992,3.0,147,24,93,63,1,1,141,0,0,,0,0,86,498,251,4,0,0,1,1,84,82,97.6,1,Matches
Luca Ceppitelli,it ITA,DF,Cagliari,31-186,1989,6.4,418,82,233,191,19,7,402,1,3,33.3,1,0,242,1285,672,9,0,0,2,0,281,277,98.6,1,Matches
Alberto Cerri,it ITA,FW,Cagliari,24-303,1996,1.5,91,1,5,40,51,18,87,4,6,66.7,4,0,50,207,103,7,3,2,10,4,119,67,56.3,29,Matches
Julian Chabot,de GER,DF,Spezia,23-001,1998,14.0,952,82,475,521,26,14,905,12,13,92.3,12,0,572,3595,2029,43,5,2,5,3,624,613,98.2,3,Matches
Giorgio Chiellini,it ITA,DF,Juventus,36-183,1984,6.0,455,74,240,224,17,4,431,1,2,50.0,1,0,290,1553,799,12,1,0,0,2,347,340,98.0,3,Matches
Federico Chiesa,it ITA,"MF,DF",Juventus,23-111,1997,11.6,507,12,64,221,272,54,499,16,30,53.3,16,2,400,2309,1507,77,21,21,17,23,483,385,79.7,68,Matches
Federico Chiesa,it ITA,DF,Fiorentina,23-111,1997,2.7,158,5,33,57,77,23,138,8,13,61.5,8,0,116,611,416,26,5,9,5,6,119,104,87.4,16,Matches
Vlad Chiricheș,ro ROU,DF,Sassuolo,31-091,1989,11.6,985,148,506,516,44,11,970,8,12,66.7,9,0,690,3739,2184,55,18,2,1,4,728,713,97.9,2,Matches
Luca Cigarini,it ITA,MF,Crotone,34-238,1986,5.0,412,13,86,251,91,3,373,3,4,75.0,3,0,230,825,480,9,4,1,4,8,303,286,94.4,9,Matches
Antonio Cioffi,it ITA,FW,Napoli,18-056,2002,0.1,13,0,4,7,3,0,13,0,0,,0,0,8,44,11,1,0,0,0,0,11,9,81.8,3,Matches
Ebrima Colley,gm GAM,"FW,MF",Hellas Verona,21-012,2000,6.7,317,3,31,158,163,26,314,14,21,66.7,14,2,250,1427,712,34,21,4,24,23,366,240,65.6,57,Matches
