player,nationality,position,squad,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Paolo Bartolomei,it ITA,MF,Spezia,31-176,1989,3.6,7,2,3,1,3,1,2,50.0,1,73,12,16.4,19,36,18,3,0,0,3,0,7,1,0,Matches
Daniele Baselli,it ITA,MF,Torino,28-338,1992,0.8,3,3,1,2,0,1,3,33.3,2,20,9,45.0,8,9,3,1,0,0,1,1,4,1,0,Matches
Alessandro Bastoni,it ITA,DF,Inter,21-306,1999,17.6,26,16,9,16,1,10,16,62.5,6,172,49,28.5,78,74,20,25,12,0,13,13,39,34,0,Matches
Simone Bastoni,it ITA,DF,Spezia,24-100,1996,9.8,36,18,21,13,2,15,29,51.7,14,151,43,28.5,60,72,19,11,0,0,11,10,46,17,0,Matches
Bastos,ao ANG,DF,Lazio,29-323,1991,0.7,4,2,2,1,1,0,1,0.0,1,23,9,39.1,15,7,1,3,0,0,3,0,4,1,0,Matches
Rodrigo Becão,br BRA,DF,Udinese,25-025,1996,18.5,40,21,24,15,1,13,23,56.5,10,243,83,34.2,140,83,20,29,13,0,16,26,66,60,2,Matches
Valon Behrami,ch SUI,MF,Genoa,35-300,1985,5.3,12,6,4,7,1,4,11,36.4,7,139,31,22.3,48,74,17,10,0,0,10,4,16,8,0,Matches
Andrea Belotti,it ITA,FW,Torino,27-055,1993,19.8,26,21,2,15,9,5,18,27.8,13,236,64,27.1,33,106,97,21,1,0,20,4,30,11,0,Matches
Ahmad Benali,ly LBY,MF,Crotone,29-006,1992,6.5,18,13,11,7,0,7,24,29.2,17,124,34,27.4,54,50,20,7,1,0,6,3,21,6,0,Matches
Ismaël Bennacer,dz ALG,MF,Milan,23-074,1997,7.4,22,12,11,11,0,7,16,43.8,9,148,39,26.4,57,77,14,8,0,0,8,9,31,5,0,Matches
Rodrigo Bentancur,uy URU,MF,Juventus,23-253,1997,13.6,39,22,14,19,6,11,27,40.7,16,256,78,30.5,77,132,47,33,9,0,24,19,58,23,1,Matches
Domenico Berardi,it ITA,"FW,MF",Sassuolo,26-196,1994,14.4,19,10,9,5,5,5,35,14.3,30,211,74,35.1,78,79,54,20,1,0,19,16,35,28,0,Matches
