player,nationality,position,squad,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_match,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,matches
Frédéric Sammaritano,fr FRA,"FW,MF",Dijon,34-327,1986,20,820,41,38.0,9.1,8,68,0,12,23,2,0.50,6,13,-7,-0.77,+0.04,7.2,17.8,-10.7,-1.17,+0.17,Matches
Renato Sanches,pt POR,MF,Lille,23-179,1997,13,724,56,33.5,8.0,8,82,3,5,14,0,2.15,15,7,+8,+0.99,-0.20,11.7,8.3,+3.3,+0.41,-0.50,Matches
Morgan Sanson,fr FRA,MF,Marseille,26-179,1994,12,826,69,41.7,9.2,10,78,6,2,26,0,1.75,13,9,+4,+0.44,+0.51,11.8,13.6,-1.8,-0.19,-0.43,Matches
Baptiste Santamaria,fr FRA,MF,Angers,25-341,1995,3,270,90,12.5,3.0,3,90,3,0,,0,2.00,2,2,0,0.00,+0.38,4.9,2.9,+2.0,+0.66,+0.88,Matches
Pablo Sarabia,es ESP,"FW,MF",Paris S-G,28-278,1992,18,891,50,41.3,9.9,8,87,7,10,19,0,2.11,20,6,+14,+1.41,-0.50,22.7,13.6,+9.1,+0.92,-0.46,Matches
Bouna Sarr,gn GUI,DF,Marseille,29-013,1992,2,76,38,3.8,0.8,0,,0,2,38,0,0.50,1,1,0,0.00,-0.14,2.1,1.6,+0.5,+0.55,+0.52,Matches
Sidy Sarr,sn SEN,MF,Nîmes,24-253,1996,7,332,47,16.0,3.7,4,77,2,3,9,2,0.71,4,8,-4,-1.08,+0.31,4.5,7.1,-2.6,-0.70,+0.46,Matches
Matthieu Saunier,fr FRA,DF,Lorient,31-006,1990,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Téji Savanier,fr FRA,MF,Montpellier,29-053,1991,17,"1,315",77,60.9,14.6,16,80,8,1,37,0,1.59,29,24,+5,+0.34,+1.41,23.3,23.9,-0.5,-0.04,+1.11,Matches
Aurélien Scheidler,fr FRA,FW,Dijon,22-254,1998,10,342,34,15.8,3.8,3,82,1,7,14,6,0.40,1,9,-8,-2.11,-1.56,2.1,10.8,-8.7,-2.29,-1.20,Matches
Morgan Schneiderlin,fr FRA,MF,Nice,31-097,1989,16,"1,328",83,64.2,14.8,15,87,13,1,26,1,1.38,17,18,-1,-0.07,+0.30,16.9,21.0,-4.1,-0.28,-0.17,Matches
Marvin Senaya,fr FRA,DF,Strasbourg,20-016,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Jean Seri,ci CIV,MF,Bordeaux,29-209,1991,1,34,34,1.6,0.4,0,,0,1,34,0,0.00,0,2,-2,-5.29,-5.29,0.1,1.3,-1.2,-3.23,-2.83,Matches
Mahame Siby,fr FRA,MF,Strasbourg,24-221,1996,3,13,4,0.6,0.1,0,,0,3,4,9,3.00,1,0,+1,+6.92,+7.26,0.8,0.1,+0.7,+4.77,+4.65,Matches
Abdoulaye Sidibé,fr FRA,MF,Saint-Étienne,19-004,2002,1,11,11,0.5,0.1,0,,0,1,11,0,1.00,0,1,-1,-8.18,-7.68,0.0,0.9,-0.9,-7.08,-7.08,Matches
Djibril Sidibé,fr FRA,DF,Monaco,28-199,1992,16,"1,049",66,48.6,11.7,11,83,9,5,27,0,2.19,25,17,+8,+0.69,+0.12,18.7,10.0,+8.7,+0.75,-0.06,Matches
Kaj Sierhuis,nl NED,FW,Reims,22-292,1998,15,539,36,25.0,6.0,6,69,1,9,14,8,1.07,9,7,+2,+0.33,+0.56,7.2,9.9,-2.7,-0.45,+0.13,Matches
Caio Henrique Oliveira Silva,br BRA,DF,Monaco,23-197,1997,17,"1,142",67,52.9,12.7,12,82,6,5,31,1,2.24,32,12,+20,+1.58,+2.02,27.8,9.6,+18.1,+1.43,+1.38,Matches
Florent da Silva,fr FRA,FW,Lyon,17-317,2003,1,3,3,0.1,0.0,0,,0,1,3,1,3.00,0,0,0,0.00,-1.25,0.1,0.0,+0.1,+1.55,+0.31,Matches
Gabriel Silva,br BRA,DF,Saint-Étienne,29-276,1991,1,85,85,3.9,0.9,1,85,0,0,,2,0.00,0,1,-1,-1.06,-0.54,0.7,0.6,+0.1,+0.12,+0.16,Matches
Mohamed Simakan,fr FRA,DF,Strasbourg,20-286,2000,19,"1,615",85,74.8,17.9,19,85,15,0,,0,1.05,25,31,-6,-0.33,-0.17,26.0,25.4,+0.6,+0.04,-0.43,Matches
Usman Simbakoli,fr FRA,FW,Lille,19-063,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Moses Simon,ng NGA,"MF,FW",Nantes,25-216,1995,19,"1,281",67,59.3,14.2,14,81,7,5,30,0,0.63,13,24,-11,-0.77,-0.16,18.1,21.9,-3.8,-0.27,+0.29,Matches
Xavi Simons,nl NED,MF,Paris S-G,17-298,2003,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
Ibrahima Sissoko,fr FRA,MF,Strasbourg,23-109,1997,24,"1,768",74,81.9,19.6,20,85,12,4,17,0,1.04,29,25,+4,+0.20,+2.73,29.8,23.8,+5.9,+0.30,+0.87,Matches
Nelson Sissoko,fr FRA,DF,Saint-Étienne,23-343,1997,9,474,53,21.9,5.3,6,75,4,3,8,8,0.56,3,14,-11,-2.09,-1.98,4.1,8.9,-4.8,-0.90,-1.11,Matches
Petar Škuletić,rs SRB,"FW,MF",Montpellier,30-229,1990,8,91,11,4.2,1.0,0,,0,8,11,11,1.25,3,4,-1,-0.99,-0.82,3.1,2.9,+0.3,+0.27,+0.78,Matches
Islam Slimani,dz ALG,FW,Lyon,32-240,1988,5,75,15,3.5,0.8,0,,0,5,15,0,2.40,1,1,0,0.00,-1.29,1.4,1.3,+0.1,+0.07,-1.22,Matches
Noé Sommer,fr FRA,MF,Strasbourg,19-251,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Brandon Soppy,fr FRA,"DF,MF",Rennes,18-358,2002,6,366,61,17.7,4.1,3,79,2,3,43,13,1.83,7,3,+4,+0.98,+0.83,5.6,2.8,+2.8,+0.68,+0.41,Matches
Florian Sotoca,fr FRA,FW,Lens,30-111,1990,23,"1,777",77,82.3,19.7,21,82,11,2,26,1,1.43,27,30,-3,-0.15,-1.09,28.6,22.2,+6.4,+0.32,+0.12,Matches
Cheick Souaré,fr FRA,MF,Marseille,18-163,2002,1,10,10,0.5,0.1,0,,0,1,10,2,1.00,0,0,0,0.00,-0.14,0.0,0.1,-0.1,-0.93,-0.99,Matches
Rayan Souici,fr FRA,DF,Saint-Étienne,22-351,1998,1,5,5,0.2,0.1,0,,0,1,5,3,0.00,0,0,0,0.00,+0.54,0.0,0.0,0.0,0.00,+0.04,Matches
Adama Soumaoro,fr FRA,DF,Lille,28-240,1992,3,145,48,6.7,1.6,1,90,1,2,28,7,2.33,4,0,+4,+2.48,+1.46,5.2,0.9,+4.3,+2.65,+2.05,Matches
Boubakary Soumaré,fr FRA,MF,Lille,21-352,1999,21,"1,139",54,52.7,12.7,12,82,7,9,17,2,2.24,22,10,+12,+0.95,-0.37,19.6,9.6,+10.0,+0.79,+0.10,Matches
