player,nationality,position,squad,age,birth_year,minutes_90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
Youcef Attal,dz ALG,DF,Nice,24-272,1996,5.4,1,4,3,75.0,0.74,0.55,0.25,0.33,20.6,0,0,0,0.2,0.2,0.06,+0.8,+0.8,Matches
Jean-Kévin Augustin,fr FRA,FW,Nantes,23-242,1997,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ludovic Baal,gf GUF,DF,Brest,34-265,1986,3.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Loïc Bade,fr FRA,DF,Lens,20-308,2000,17.0,0,6,2,33.3,0.35,0.12,0.00,0.00,12.3,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
Stéphane Bahoken,cm CMR,FW,Angers,28-261,1992,11.2,5,40,16,40.0,3.56,1.43,0.13,0.31,15.7,0,0,1,5.6,4.8,0.12,-0.6,+0.2,Matches
Mitchel Bakker,nl NED,DF,Paris S-G,20-238,2000,15.1,0,1,1,100.0,0.07,0.07,0.00,0.00,12.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Dilane Bakwa,fr FRA,"FW,MF",Bordeaux,18-171,2002,0.6,0,3,2,66.7,4.82,3.21,0.00,0.00,22.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Leonardo Balerdi,ar ARG,"DF,MF",Marseille,22-018,1999,6.5,1,8,2,25.0,1.22,0.31,0.13,0.50,8.8,0,0,0,1.0,1.0,0.13,0.0,0.0,Matches
Fodé Ballo-Touré,fr FRA,DF,Monaco,24-041,1997,6.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Abdoulaye Bamba,ci CIV,DF,Angers,30-294,1990,10.3,0,1,1,100.0,0.10,0.10,0.00,0.00,15.6,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
Jonathan Bamba,fr FRA,MF,Lille,24-324,1996,22.6,6,41,13,31.7,1.81,0.57,0.15,0.46,21.8,1,0,0,3.5,3.5,0.09,+2.5,+2.5,Matches
Robson Bambu,br BRA,DF,Nice,23-093,1997,9.6,0,2,1,50.0,0.21,0.10,0.00,0.00,14.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Simon Banza,fr FRA,FW,Lens,24-184,1996,10.4,3,24,9,37.5,2.31,0.86,0.13,0.33,12.7,0,0,0,3.5,3.5,0.15,-0.5,-0.5,Matches
Danilo Barbosa,br BRA,DF,Nice,24-351,1996,2.8,0,2,0,0.0,0.72,0.00,0.00,,20.0,1,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
Melvin Bard,fr FRA,DF,Lyon,20-099,2000,3.4,0,2,1,50.0,0.58,0.29,0.00,0.00,16.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Toma Bašić,hr CRO,MF,Bordeaux,24-080,1996,21.3,4,34,16,47.1,1.59,0.75,0.12,0.25,20.5,4,0,0,2.5,2.5,0.07,+1.5,+1.5,Matches
Cristian Battocchio,it ITA,"MF,FW",Brest,29-003,1992,3.9,0,5,1,20.0,1.27,0.25,0.00,0.00,22.6,1,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches
Paul Baysse,fr FRA,DF,Bordeaux,32-271,1988,19.7,1,7,1,14.3,0.36,0.05,0.14,1.00,10.5,0,0,0,0.6,0.6,0.08,+0.4,+0.4,Matches
Haris Belkebla,dz ALG,MF,Brest,27-016,1994,20.7,0,5,0,0.0,0.24,0.00,0.00,,22.3,0,0,0,0.5,0.5,0.10,-0.5,-0.5,Matches
Jean-Ricner Bellegarde,fr FRA,"MF,FW",Strasbourg,22-231,1998,15.4,0,18,4,22.2,1.17,0.26,0.00,0.00,17.1,0,0,0,1.6,1.6,0.09,-1.6,-1.6,Matches
Hatem Ben Arfa,fr FRA,"MF,FW",Bordeaux,33-343,1987,13.8,2,26,10,38.5,1.89,0.73,0.08,0.20,20.6,4,0,0,2.1,2.1,0.08,-0.1,-0.1,Matches
Salim Ben Seghir,fr FRA,DF,Nice,17-355,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Wissam Ben Yedder,fr FRA,FW,Monaco,30-185,1990,18.4,11,47,14,29.8,2.55,0.76,0.11,0.36,16.0,4,6,6,11.2,6.6,0.14,-0.2,-1.6,Matches
Samy Benchama,fr FRA,MF,Montpellier,20-233,2000,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Darío Benedetto,ar ARG,FW,Marseille,30-272,1990,15.2,4,34,12,35.3,2.24,0.79,0.09,0.25,16.0,0,1,1,7.2,6.4,0.19,-3.2,-3.4,Matches
Walter Benítez,ar ARG,GK,Nice,27-331,1993,23.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Loris Benito,ch SUI,DF,Bordeaux,29-037,1992,18.7,0,4,0,0.0,0.21,0.00,0.00,,9.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Bilal Benkhedim,fr FRA,FW,Saint-Étienne,19-299,2001,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Djamel Benlamri,dz ALG,DF,Lyon,31-050,1989,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Yassine Benrahou,fr FRA,MF,Nîmes,22-020,1999,6.2,0,12,2,16.7,1.95,0.32,0.00,0.00,23.5,3,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
Valon Berisha,xk KVX,MF,Reims,28-006,1993,15.1,0,17,2,11.8,1.12,0.13,0.00,0.00,21.2,3,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches
Paul Bernardoni,fr FRA,GK,Angers,23-301,1997,24.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Juan Bernat,es ESP,DF,Paris S-G,27-349,1993,2.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Dimitry Bertaud,fr FRA,GK,Montpellier,22-252,1998,5.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Giulian Biancone,fr FRA,"DF,MF",Monaco,20-319,2000,1.0,0,1,0,0.0,0.98,0.00,0.00,,19.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
El Bilal Touré,ml MLI,"FW,MF",Reims,19-133,2001,9.3,2,10,5,50.0,1.08,0.54,0.20,0.40,12.4,0,0,0,1.4,1.4,0.14,+0.6,+0.6,Matches
Ludovic Blas,fr FRA,"MF,FW",Nantes,23-044,1997,17.5,5,36,10,27.8,2.05,0.57,0.14,0.50,17.0,0,0,0,3.3,3.3,0.09,+1.7,+1.7,Matches
Antonin Bobichon,fr FRA,"FW,MF",Angers,25-152,1995,5.0,0,13,3,23.1,2.62,0.61,0.00,0.00,22.3,1,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
Sacha Boey,fr FRA,DF,Rennes,20-153,2000,1.4,0,1,0,0.0,0.73,0.00,0.00,,14.2,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
Sacha Boey,fr FRA,DF,Dijon,20-153,2000,14.0,0,6,0,0.0,0.43,0.00,0.00,,24.9,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Quentin Boisgard,fr FRA,"FW,MF",Lorient,23-333,1997,11.8,2,20,7,35.0,1.70,0.59,0.10,0.29,20.3,2,0,0,1.7,1.7,0.09,+0.3,+0.3,Matches
Sven Botman,nl NED,DF,Lille,21-032,2000,24.0,0,6,2,33.3,0.25,0.08,0.00,0.00,19.2,1,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
Denis Bouanga,ga GAB,"FW,MF",Saint-Étienne,26-094,1994,19.0,3,57,20,35.1,3.00,1.05,0.02,0.05,19.3,3,2,3,7.7,5.4,0.10,-4.7,-4.4,Matches
Hicham Boudaoui,dz ALG,"MF,FW",Nice,21-143,1999,10.5,1,9,3,33.3,0.86,0.29,0.11,0.33,18.7,0,0,0,1.6,1.6,0.18,-0.6,-0.6,Matches
Ryad Boudebouz,dz ALG,"MF,FW",Saint-Étienne,30-360,1990,6.0,0,9,2,22.2,1.49,0.33,0.00,0.00,24.1,1,0,2,2.1,0.6,0.07,-2.1,-0.6,Matches
Sofiane Boufal,ma MAR,"FW,MF",Angers,27-149,1993,4.2,1,9,4,44.4,2.13,0.95,0.11,0.25,17.5,2,0,0,1.0,1.0,0.11,0.0,0.0,Matches
Farid Boulaya,dz ALG,"MF,FW",Metz,27-354,1993,19.6,5,54,23,42.6,2.76,1.17,0.09,0.22,26.7,17,0,1,3.9,3.1,0.06,+1.1,+1.9,Matches
Ismaëlben Boura,fr FRA,DF,Lens,20-183,2000,6.8,0,2,0,0.0,0.29,0.00,0.00,,18.2,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches
Benjamin Bourigeaud,fr FRA,MF,Rennes,27-030,1994,17.0,4,42,14,33.3,2.47,0.82,0.10,0.29,20.3,7,0,0,4.1,4.1,0.10,-0.1,-0.1,Matches
John Boye,gh GHA,DF,Metz,33-296,1987,21.4,1,9,1,11.1,0.42,0.05,0.11,1.00,7.0,0,0,0,1.7,1.7,0.19,-0.7,-0.7,Matches
Umut Bozok,tr TUR,"FW,MF",Lorient,24-147,1996,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Domagoj Bradarić,hr CRO,DF,Lille,21-065,1999,13.3,0,2,2,100.0,0.15,0.15,0.00,0.00,20.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Lilian Brassier,fr FRA,DF,Brest,21-103,1999,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Anthony Briançon,fr FRA,DF,Nîmes,26-077,1994,12.0,0,3,2,66.7,0.25,0.17,0.00,0.00,20.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Jimmy Briand,fr FRA,FW,Bordeaux,35-195,1985,5.5,1,11,2,18.2,2.02,0.37,0.00,0.00,14.0,0,1,1,1.6,0.8,0.08,-0.6,-0.8,Matches
Dylan Bronn,tn TUN,DF,Metz,25-239,1995,24.0,1,10,2,20.0,0.42,0.08,0.00,0.00,23.2,0,1,2,1.9,0.4,0.04,-0.9,-0.4,Matches
Lucas Buadés,fr FRA,FW,Nîmes,23-047,1997,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Patrick Burner,fr FRA,DF,Nice,24-308,1996,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Patrick Burner,fr FRA,DF,Nîmes,24-308,1996,10.2,0,5,1,20.0,0.49,0.10,0.00,0.00,21.5,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
Marcin Bułka,pl POL,GK,Paris S-G,21-132,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jimmy Cabot,fr FRA,FW,Angers,26-301,1994,8.0,1,9,4,44.4,1.12,0.50,0.11,0.25,19.7,0,0,0,1.1,1.1,0.13,-0.1,-0.1,Matches
Anthony Caci,fr FRA,DF,Strasbourg,23-227,1997,17.5,0,3,0,0.0,0.17,0.00,0.00,,25.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
