player,nationality,position,squad,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,matches
Abdoulaye Bamba,ci CIV,DF,Angers,30-294,1990,10.3,2,0,0,8,4,0,24,11,11,0,1,0,82,6,8,42.9,Matches
Jonathan Bamba,fr FRA,MF,Lille,24-324,1996,22.6,0,0,0,19,45,2,37,21,21,0,0,0,183,10,27,27.0,Matches
Robson Bambu,br BRA,DF,Nice,23-093,1997,9.6,3,1,0,17,8,1,0,10,11,0,0,0,86,11,16,40.7,Matches
Simon Banza,fr FRA,FW,Lens,24-184,1996,10.4,3,0,0,23,23,5,8,3,4,0,0,0,46,37,43,46.3,Matches
Danilo Barbosa,br BRA,DF,Nice,24-351,1996,2.8,2,0,0,3,5,0,0,1,3,0,0,0,34,5,2,71.4,Matches
Melvin Bard,fr FRA,DF,Lyon,20-099,2000,3.4,0,1,0,5,5,0,11,2,7,1,0,0,60,11,11,50.0,Matches
Toma Bašić,hr CRO,MF,Bordeaux,24-080,1996,21.3,5,0,0,29,23,2,25,15,16,0,0,0,134,21,24,46.7,Matches
Cristian Battocchio,it ITA,"MF,FW",Brest,29-003,1992,3.9,0,0,0,1,2,0,7,3,3,0,0,0,36,1,3,25.0,Matches
Paul Baysse,fr FRA,DF,Bordeaux,32-271,1988,19.7,4,1,1,10,8,0,0,25,12,0,0,0,174,38,24,61.3,Matches
Haris Belkebla,dz ALG,MF,Brest,27-016,1994,20.7,3,0,0,26,28,0,8,21,35,0,1,0,198,18,23,43.9,Matches
Jean-Ricner Bellegarde,fr FRA,"MF,FW",Strasbourg,22-231,1998,15.4,2,0,0,22,32,0,23,10,25,3,0,0,118,14,29,32.6,Matches
Hatem Ben Arfa,fr FRA,"MF,FW",Bordeaux,33-343,1987,13.8,2,0,0,19,26,4,24,3,10,1,0,0,59,4,6,40.0,Matches
Salim Ben Seghir,fr FRA,DF,Nice,17-355,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
Wissam Ben Yedder,fr FRA,FW,Monaco,30-185,1990,18.4,2,0,0,5,21,10,18,6,12,1,0,0,88,26,50,34.2,Matches
Samy Benchama,fr FRA,MF,Montpellier,20-233,2000,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,Matches
Darío Benedetto,ar ARG,FW,Marseille,30-272,1990,15.2,3,1,1,15,17,10,15,3,0,0,0,0,53,22,50,30.6,Matches
Walter Benítez,ar ARG,GK,Nice,27-331,1993,23.0,1,0,0,0,2,0,0,0,0,0,0,0,89,0,0,,Matches
Loris Benito,ch SUI,DF,Bordeaux,29-037,1992,18.7,4,0,0,26,11,1,24,26,26,0,0,0,156,26,17,60.5,Matches
Bilal Benkhedim,fr FRA,FW,Saint-Étienne,19-299,2001,0.8,0,0,0,1,1,0,4,0,0,0,0,0,10,0,2,0.0,Matches
Djamel Benlamri,dz ALG,DF,Lyon,31-050,1989,0.8,0,0,0,0,4,0,0,2,0,0,0,0,3,1,0,100.0,Matches
Yassine Benrahou,fr FRA,MF,Nîmes,22-020,1999,6.2,2,0,0,3,12,0,14,4,3,0,0,0,39,1,9,10.0,Matches
Valon Berisha,xk KVX,MF,Reims,28-006,1993,15.1,2,0,0,12,12,0,15,15,24,0,0,0,121,10,7,58.8,Matches
Paul Bernardoni,fr FRA,GK,Angers,23-301,1997,24.0,1,0,0,1,8,0,0,0,0,0,1,0,98,0,0,,Matches
Juan Bernat,es ESP,DF,Paris S-G,27-349,1993,2.2,2,0,0,6,1,0,1,1,2,0,0,0,11,0,5,0.0,Matches
Dimitry Bertaud,fr FRA,GK,Montpellier,22-252,1998,5.3,0,0,0,0,2,0,0,0,0,0,0,0,26,0,0,,Matches
