player,nationality,position,squad,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
Ismaël Traoré,ci CIV,DF,Angers,34-179,1986,23.0,999,1168,85.5,21213,8296,276,295,93.6,547,594,92.1,164,258,63.6,3,0.7,+2.3,7,55,6,1,49,Matches
Miguel Trauco,pe PER,DF,Saint-Étienne,28-172,1992,12.9,669,855,78.2,12362,5837,304,328,92.7,279,334,83.5,73,154,47.4,1,1.5,-0.5,18,55,18,8,72,Matches
Alexis Trouillet,fr FRA,MF,Nice,20-052,2000,0.7,46,56,82.1,871,189,18,20,90.0,21,24,87.5,6,10,60.0,0,0.4,-0.4,2,6,2,0,5,Matches
Adrien Truffert,fr FRA,"DF,MF",Rennes,19-085,2001,12.1,584,700,83.4,9443,2576,294,323,91.0,240,285,84.2,40,70,57.1,3,1.4,+1.6,13,26,13,9,44,Matches
Marvin Tshibuabua,fr FRA,DF,Saint-Étienne,19-036,2002,0.5,15,17,88.2,367,134,4,5,80.0,5,5,100.0,6,7,85.7,0,0.0,0.0,0,0,0,0,0,Matches
Matthieu Udol,fr FRA,DF,Metz,24-330,1996,12.0,483,611,79.1,8570,3587,212,242,87.6,225,259,86.9,38,86,44.2,1,1.5,-0.5,14,18,17,7,43,Matches
Hwang Ui-jo,kr KOR,"FW,MF",Bordeaux,28-169,1992,15.3,239,296,80.7,3588,483,139,161,86.3,89,104,85.6,9,15,60.0,2,1.2,+0.8,7,8,8,4,13,Matches
Marco Verratti,it ITA,MF,Paris S-G,28-100,1992,12.6,1348,1452,92.8,21701,6328,722,748,96.5,489,514,95.1,106,144,73.6,1,1.4,-0.4,13,156,26,2,110,Matches
Kevin Volland,de GER,"FW,MF",Monaco,28-198,1992,18.3,328,482,68.0,5261,1099,160,226,70.8,101,141,71.6,38,56,67.9,7,4.4,+2.6,21,29,14,0,41,Matches
Franklin Wadja,cm CMR,MF,Lorient,25-288,1995,0.3,14,19,73.7,240,96,7,8,87.5,6,10,60.0,1,1,100.0,0,0.0,0.0,0,1,0,0,0,Matches
Timothy Weah,us USA,"MF,FW",Lille,20-357,2000,4.9,111,155,71.6,1556,389,60,76,78.9,41,56,73.2,2,10,20.0,0,0.2,-0.2,1,8,1,1,7,Matches
Yoane Wissa,cd COD,"FW,MF",Lorient,24-163,1996,18.3,326,446,73.1,5006,1244,167,204,81.9,125,161,77.6,21,53,39.6,1,1.1,-0.1,14,22,15,2,40,Matches
Xeka,pt POR,MF,Lille,26-095,1994,7.9,420,467,89.9,7870,1849,178,190,93.7,189,204,92.6,48,61,78.7,2,1.8,+0.2,10,50,7,0,38,Matches
Yusuf Yazıcı,tr TUR,"FW,MF",Lille,24-015,1997,8.6,235,346,67.9,3840,1236,137,160,85.6,63,92,68.5,26,71,36.6,3,3.2,-0.2,28,16,13,0,32,Matches
Burak Yılmaz,tr TUR,FW,Lille,35-213,1985,14.9,277,370,74.9,3995,575,169,203,83.3,85,112,75.9,16,27,59.3,4,2.3,+1.7,16,13,2,0,17,Matches
Wilitty Younoussa,cm CMR,"DF,MF",Dijon,19-157,2001,0.2,6,7,85.7,116,56,2,2,100.0,3,3,100.0,1,1,100.0,0,0.2,-0.2,2,1,1,1,2,Matches
Zaydou Youssouf,fr FRA,MF,Saint-Étienne,21-217,1999,9.0,271,335,80.9,5638,1497,111,125,88.8,111,126,88.1,45,79,57.0,0,0.5,-0.5,8,23,7,3,24,Matches
Arber Zeneli,xk KVX,"MF,FW",Reims,25-354,1995,9.4,194,269,72.1,3115,730,104,130,80.0,71,88,80.7,13,35,37.1,3,1.9,+1.1,16,10,9,2,20,Matches
Mehdi Zerkane,dz ALG,"FW,MF",Bordeaux,21-213,1999,6.8,262,311,84.2,4007,998,155,171,90.6,89,104,85.6,13,22,59.1,0,0.3,-0.3,7,20,4,0,17,Matches
Kévin Zohi,ml MLI,"FW,MF",Strasbourg,24-056,1996,4.3,123,161,76.4,2098,459,65,78,83.3,44,49,89.8,9,22,40.9,0,0.1,-0.1,2,10,5,2,15,Matches
