,Unnamed: 0,player,nationality,position,squad,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,npxg_xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches
25,25,Victorien Angban,ci CIV,MF,Metz,24-137,1996,21,19,1472,16.4,0,1,0,0,0,4,0,0.0,0.06,0.06,0.0,0.06,0.3,0.3,0.5,0.7,0.02,0.03,0.05,0.02,0.05,Matches
26,26,Houssem Aouar,fr FRA,MF,Lyon,22-228,1998,19,16,1261,14.0,3,3,1,2,2,2,1,0.21,0.21,0.43,0.07,0.29,7.1,5.5,2.8,8.3,0.5,0.2,0.7,0.4,0.6,Matches
27,27,Adil Aouchiche,fr FRA,"MF,FW",Saint-Étienne,18-213,2002,21,14,1117,12.4,2,3,2,0,0,1,0,0.16,0.24,0.4,0.16,0.4,2.5,2.5,3.3,5.9,0.21,0.27,0.47,0.21,0.47,Matches
28,28,Dennis Appiah,fr FRA,DF,Nantes,28-249,1992,13,9,878,9.8,0,2,0,0,0,2,0,0.0,0.21,0.21,0.0,0.21,0.1,0.1,0.9,0.9,0.01,0.09,0.1,0.01,0.1,Matches
29,29,Luiz Araújo,br BRA,MF,Lille,24-256,1996,16,11,961,10.7,3,2,3,0,0,3,0,0.28,0.19,0.47,0.28,0.47,2.7,2.7,1.9,4.5,0.25,0.17,0.43,0.25,0.43,Matches
30,30,Karim Aribi,dz ALG,FW,Nîmes,26-234,1994,9,2,241,2.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,1.2,0.37,0.09,0.46,0.37,0.46,Matches
31,31,Roger Assalé,ci CIV,"FW,MF",Dijon,27-092,1993,10,6,437,4.9,0,1,0,0,0,0,1,0.0,0.21,0.21,0.0,0.21,0.2,0.2,0.6,0.7,0.03,0.12,0.15,0.03,0.15,Matches
32,32,Youcef Attal,dz ALG,DF,Nice,24-272,1996,10,7,489,5.4,1,0,1,0,0,0,0,0.18,0.0,0.18,0.18,0.18,0.2,0.2,0.0,0.3,0.05,0.01,0.05,0.05,0.05,Matches
33,33,Jean-Kévin Augustin,fr FRA,FW,Nantes,23-242,1997,3,0,36,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
34,34,Ludovic Baal,gf GUF,DF,Brest,34-265,1986,5,3,287,3.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.15,0.15,0.0,0.15,Matches
35,35,Loïc Bade,fr FRA,DF,Lens,20-308,2000,19,17,1530,17.0,0,0,0,0,0,6,1,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.5,0.03,0.0,0.03,0.03,0.03,Matches
36,36,Stéphane Bahoken,cm CMR,FW,Angers,28-261,1992,18,12,1010,11.2,5,1,5,0,1,4,0,0.45,0.09,0.53,0.45,0.53,5.6,4.8,1.0,5.8,0.5,0.09,0.58,0.43,0.52,Matches
37,37,Mitchel Bakker,nl NED,DF,Paris S-G,20-238,2000,20,15,1356,15.1,0,2,0,0,0,1,0,0.0,0.13,0.13,0.0,0.13,0.1,0.1,1.5,1.6,0.0,0.1,0.1,0.0,0.1,Matches
38,38,Dilane Bakwa,fr FRA,"FW,MF",Bordeaux,18-171,2002,7,0,56,0.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.16,0.06,0.22,0.16,0.22,Matches
39,39,Leonardo Balerdi,ar ARG,"DF,MF",Marseille,22-018,1999,8,7,589,6.5,1,0,1,0,0,4,0,0.15,0.0,0.15,0.15,0.15,1.0,1.0,0.0,1.0,0.16,0.0,0.16,0.16,0.16,Matches
40,40,Fodé Ballo-Touré,fr FRA,DF,Monaco,24-041,1997,14,6,568,6.3,0,3,0,0,0,2,0,0.0,0.48,0.48,0.0,0.48,0.0,0.0,0.7,0.7,0.0,0.1,0.1,0.0,0.1,Matches
41,41,Abdoulaye Bamba,ci CIV,DF,Angers,30-294,1990,11,11,931,10.3,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6,0.0,0.05,0.06,0.0,0.06,Matches
42,42,Jonathan Bamba,fr FRA,MF,Lille,24-324,1996,24,23,2035,22.6,6,8,6,0,0,0,0,0.27,0.35,0.62,0.27,0.62,3.5,3.5,3.7,7.2,0.15,0.16,0.32,0.15,0.32,Matches
43,43,Robson Bambu,br BRA,DF,Nice,23-093,1997,12,10,863,9.6,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.01,0.01,0.01,0.01,0.01,Matches
44,44,Simon Banza,fr FRA,FW,Lens,24-184,1996,22,8,937,10.4,3,2,3,0,0,3,0,0.29,0.19,0.48,0.29,0.48,3.5,3.5,0.8,4.3,0.34,0.08,0.41,0.34,0.41,Matches
45,45,Danilo Barbosa,br BRA,DF,Nice,24-351,1996,4,3,250,2.8,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.3,0.09,0.01,0.1,0.09,0.1,Matches
46,46,Melvin Bard,fr FRA,DF,Lyon,20-099,2000,10,3,309,3.4,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.02,0.04,0.06,0.02,0.06,Matches
47,47,Toma Bašić,hr CRO,MF,Bordeaux,24-080,1996,24,24,1919,21.3,4,0,4,0,0,5,0,0.19,0.0,0.19,0.19,0.19,2.5,2.5,1.1,3.7,0.12,0.05,0.17,0.12,0.17,Matches
48,48,Cristian Battocchio,it ITA,"MF,FW",Brest,29-003,1992,15,2,355,3.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.7,0.14,0.05,0.19,0.14,0.19,Matches
49,49,Paul Baysse,fr FRA,DF,Bordeaux,32-271,1988,21,20,1772,19.7,1,1,1,0,0,4,1,0.05,0.05,0.1,0.05,0.1,0.6,0.6,0.2,0.7,0.03,0.01,0.04,0.03,0.04,Matches
50,50,Haris Belkebla,dz ALG,MF,Brest,27-016,1994,23,23,1864,20.7,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.6,1.1,0.02,0.03,0.05,0.02,0.05,Matches
51,51,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Strasbourg,22-231,1998,22,18,1385,15.4,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,1.6,1.6,1.0,2.6,0.1,0.07,0.17,0.1,0.17,Matches
52,52,Hatem Ben Arfa,fr FRA,"MF,FW",Bordeaux,33-343,1987,15,15,1240,13.8,2,4,2,0,0,2,0,0.15,0.29,0.44,0.15,0.44,2.1,2.1,3.1,5.1,0.15,0.22,0.37,0.15,0.37,Matches
53,53,Salim Ben Seghir,fr FRA,DF,Nice,17-355,2003,1,0,7,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
54,54,Wissam Ben Yedder,fr FRA,FW,Monaco,30-185,1990,23,22,1658,18.4,11,4,5,6,6,2,0,0.6,0.22,0.81,0.27,0.49,11.2,6.6,3.0,9.6,0.61,0.16,0.77,0.36,0.52,Matches
55,55,Samy Benchama,fr FRA,MF,Montpellier,20-233,2000,1,0,3,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
56,56,Darío Benedetto,ar ARG,FW,Marseille,30-272,1990,21,17,1369,15.2,4,3,3,1,1,3,1,0.26,0.2,0.46,0.2,0.39,7.2,6.4,2.0,8.4,0.47,0.13,0.6,0.42,0.55,Matches
57,57,Walter Benítez,ar ARG,GK,Nice,27-331,1993,23,23,2070,23.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
58,58,Loris Benito,ch SUI,DF,Bordeaux,29-037,1992,20,19,1684,18.7,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.7,0.9,0.01,0.04,0.05,0.01,0.05,Matches
59,59,Bilal Benkhedim,fr FRA,FW,Saint-Étienne,19-299,2001,3,1,73,0.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.26,0.26,0.0,0.26,Matches
60,60,Djamel Benlamri,dz ALG,DF,Lyon,31-050,1989,4,0,72,0.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
61,61,Yassine Benrahou,fr FRA,MF,Nîmes,22-020,1999,13,7,554,6.2,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,1.3,1.8,0.09,0.21,0.3,0.09,0.3,Matches
