player,nationality,position,squad,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,gca_og_for,matches
Leonardo Balerdi,ar ARG,"DF,MF",Marseille,22-018,1999,6.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Fodé Ballo-Touré,fr FRA,DF,Monaco,24-041,1997,6.3,11,1.74,11,0,0,0,0,0,3,0.48,3,0,0,0,0,0,0,Matches
Abdoulaye Bamba,ci CIV,DF,Angers,30-294,1990,10.3,15,1.45,13,0,1,0,0,1,0,0.00,0,0,0,0,0,0,0,Matches
Jonathan Bamba,fr FRA,MF,Lille,24-324,1996,22.6,75,3.32,54,9,4,1,6,1,12,0.53,10,1,1,0,0,0,0,Matches
Robson Bambu,br BRA,DF,Nice,23-093,1997,9.6,2,0.21,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Simon Banza,fr FRA,FW,Lens,24-184,1996,10.4,18,1.73,12,0,1,2,2,1,3,0.29,3,0,0,0,0,0,0,Matches
Danilo Barbosa,br BRA,DF,Nice,24-351,1996,2.8,2,0.72,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Melvin Bard,fr FRA,DF,Lyon,20-099,2000,3.4,6,1.75,5,0,0,0,1,0,1,0.29,0,0,0,0,1,0,0,Matches
Toma Bašić,hr CRO,MF,Bordeaux,24-080,1996,21.3,35,1.64,21,4,4,0,3,3,2,0.09,0,0,2,0,0,0,0,Matches
Cristian Battocchio,it ITA,"MF,FW",Brest,29-003,1992,3.9,13,3.30,9,3,1,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Paul Baysse,fr FRA,DF,Bordeaux,32-271,1988,19.7,5,0.25,4,1,0,0,0,0,1,0.05,1,0,0,0,0,0,0,Matches
Haris Belkebla,dz ALG,MF,Brest,27-016,1994,20.7,25,1.21,19,1,2,1,2,0,1,0.05,0,0,0,0,1,0,0,Matches
Jean-Ricner Bellegarde,fr FRA,"MF,FW",Strasbourg,22-231,1998,15.4,34,2.21,17,3,4,4,4,2,6,0.39,2,0,0,1,3,0,0,Matches
Hatem Ben Arfa,fr FRA,"MF,FW",Bordeaux,33-343,1987,13.8,52,3.77,22,13,9,4,3,1,7,0.51,2,2,2,0,1,0,0,Matches
Salim Ben Seghir,fr FRA,DF,Nice,17-355,2003,0.1,1,12.86,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Wissam Ben Yedder,fr FRA,FW,Monaco,30-185,1990,18.4,58,3.15,38,0,8,7,4,1,10,0.54,7,0,0,2,1,0,0,Matches
Samy Benchama,fr FRA,MF,Montpellier,20-233,2000,0.0,1,30.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Darío Benedetto,ar ARG,FW,Marseille,30-272,1990,15.2,27,1.78,17,0,3,2,3,2,6,0.39,4,0,0,0,1,1,0,Matches
Walter Benítez,ar ARG,GK,Nice,27-331,1993,23.0,1,0.04,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
