player,nationality,position,squad,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Jean-Kévin Augustin,fr FRA,FW,Nantes,23-242,1997,0.4,1,1,0,1,0,1,1,100.0,0,8,4,50.0,0,7,1,0,0,0,0,0,1,0,0,Matches
Ludovic Baal,gf GUF,DF,Brest,34-265,1986,3.2,6,3,4,2,0,1,2,50.0,1,56,12,21.4,31,21,4,8,1,0,7,2,8,8,0,Matches
Loïc Bade,fr FRA,DF,Lens,20-308,2000,17.0,48,26,36,12,0,18,34,52.9,16,173,75,43.4,104,68,1,32,11,0,21,34,82,111,1,Matches
Stéphane Bahoken,cm CMR,FW,Angers,28-261,1992,11.2,7,5,1,4,2,1,4,25.0,3,171,44,25.7,11,70,90,7,0,0,7,6,13,7,0,Matches
Mitchel Bakker,nl NED,DF,Paris S-G,20-238,2000,15.1,35,24,22,8,5,13,19,68.4,6,140,52,37.1,44,58,38,32,2,0,30,9,44,19,0,Matches
Dilane Bakwa,fr FRA,"FW,MF",Bordeaux,18-171,2002,0.6,2,2,0,2,0,0,0,,0,16,2,12.5,5,9,2,1,0,0,1,1,3,0,0,Matches
Leonardo Balerdi,ar ARG,"DF,MF",Marseille,22-018,1999,6.5,12,6,10,1,1,3,8,37.5,5,68,22,32.4,42,25,1,13,3,0,10,9,21,38,0,Matches
Fodé Ballo-Touré,fr FRA,DF,Monaco,24-041,1997,6.3,20,14,12,7,1,5,13,38.5,8,82,28,34.1,34,33,15,11,0,0,11,2,22,10,0,Matches
Abdoulaye Bamba,ci CIV,DF,Angers,30-294,1990,10.3,22,11,15,5,2,6,16,37.5,10,119,39,32.8,73,31,15,18,0,0,18,11,33,23,1,Matches
Jonathan Bamba,fr FRA,MF,Lille,24-324,1996,22.6,30,21,10,15,5,9,48,18.8,39,291,91,31.3,61,124,106,25,0,0,25,21,51,10,0,Matches
Robson Bambu,br BRA,DF,Nice,23-093,1997,9.6,18,11,16,2,0,7,11,63.6,4,86,35,40.7,51,27,8,9,5,0,4,10,28,50,0,Matches
Simon Banza,fr FRA,FW,Lens,24-184,1996,10.4,11,4,1,4,6,1,9,11.1,8,126,32,25.4,9,59,58,16,1,0,15,3,14,6,0,Matches
Danilo Barbosa,br BRA,DF,Nice,24-351,1996,2.8,5,3,4,1,0,3,7,42.9,4,20,7,35.0,11,8,1,3,1,0,2,1,6,13,1,Matches
Melvin Bard,fr FRA,DF,Lyon,20-099,2000,3.4,12,7,7,5,0,7,13,53.8,6,65,26,40.0,31,27,7,10,1,0,9,2,14,14,0,Matches
Toma Bašić,hr CRO,MF,Bordeaux,24-080,1996,21.3,22,16,11,10,1,4,35,11.4,31,341,82,24.0,109,186,46,20,3,0,17,15,37,31,0,Matches
Cristian Battocchio,it ITA,"MF,FW",Brest,29-003,1992,3.9,5,3,1,4,0,2,8,25.0,6,50,10,20.0,9,32,9,2,0,0,2,3,8,5,0,Matches
Paul Baysse,fr FRA,DF,Bordeaux,32-271,1988,19.7,16,12,11,5,0,2,7,28.6,5,141,54,38.3,93,46,2,24,16,0,8,25,41,101,2,Matches
Haris Belkebla,dz ALG,MF,Brest,27-016,1994,20.7,53,35,25,24,4,15,46,32.6,31,384,102,26.6,145,195,44,34,6,0,28,21,74,25,0,Matches
Jean-Ricner Bellegarde,fr FRA,"MF,FW",Strasbourg,22-231,1998,15.4,34,25,11,11,12,8,19,42.1,11,223,65,29.1,68,104,51,18,2,1,16,10,44,13,1,Matches
Hatem Ben Arfa,fr FRA,"MF,FW",Bordeaux,33-343,1987,13.8,11,10,1,8,2,1,6,16.7,5,123,46,37.4,10,57,56,1,0,0,1,3,14,0,0,Matches
Salim Ben Seghir,fr FRA,DF,Nice,17-355,2003,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
Wissam Ben Yedder,fr FRA,FW,Monaco,30-185,1990,18.4,14,12,2,6,6,3,8,37.5,5,193,54,28.0,11,100,82,15,2,0,13,6,20,3,0,Matches
Samy Benchama,fr FRA,MF,Montpellier,20-233,2000,0.0,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,Matches
Darío Benedetto,ar ARG,FW,Marseille,30-272,1990,15.2,4,0,1,2,1,1,9,11.1,8,141,29,20.6,7,72,62,12,3,0,9,3,7,14,0,Matches
Walter Benítez,ar ARG,GK,Nice,27-331,1993,23.0,0,0,0,0,0,0,1,0.0,1,2,1,50.0,2,0,0,1,0,0,1,0,0,0,2,Matches
Loris Benito,ch SUI,DF,Bordeaux,29-037,1992,18.7,37,26,25,9,3,20,33,60.6,13,194,57,29.4,99,70,25,30,7,0,23,26,63,56,0,Matches
